Tue Aug 18 17:40:50 PDT 2015 --  Yo al ver el hastag #MotivosParaViolarALosMuertos pic.twitter.com/Eb7CItWfBO
Fri Aug 14 16:33:39 PDT 2015 --  Faltaron tantas cosas por decir.
Thu Aug 13 15:21:21 PDT 2015 --  Tan extraña y complicada, intento comprenderte olvidando que eres mujer.
Thu Aug 13 15:07:54 PDT 2015 --  La dignidad se acaba en el preciso momento en que te dejan en visto y pones un pinche emoji para ver si pega y te habla ella.
Wed Aug 12 03:29:03 PDT 2015 --  Buenos días, cabrones.
Mon Aug 10 13:05:09 PDT 2015 --  Así se ven los de primer semestre. pic.twitter.com/HDGNHv83jV
Sun Aug 09 06:51:36 PDT 2015 --  #CampañaAdmirable 9 de agosto de 1945, EE.UU lanza su segunda bomba atómica sobre Nagasaki http://hoyvenezuela.info/hoy-9-de-octubre-en-venezuela-y-en-el-mundo/ … pic.twitter.com/CdhgGiNZBO
Thu Aug 06 09:52:49 PDT 2015 --  ¡Ahuevo! Me tocó un horario chingón. Sólo espero no despertar sin piernas mañana.
Wed Aug 05 19:47:38 PDT 2015 --  #TodoMexicoEsTigre! es vergonzoso ver que River gana el campeonato sin fútbol. Se dedicaron a tirar patadas, a ensuciar el juego. Terrible.
Wed Aug 05 18:20:36 PDT 2015 --  ¿Donde puedo ver el partido? ¿Algún Link? #LibertadoresxFOX
Mon Aug 03 21:09:44 PDT 2015 --  No sé, no me gusta mi vida :(
Sun Aug 02 08:00:21 PDT 2015 --  #HOYENLAHISTORIA ¿Quién inventó realmente el teléfono? Conoce más http://goo.gl/n86JNB  pic.twitter.com/zAvtD5lacC
Wed Jul 29 19:59:42 PDT 2015 --  ¡¡¡CAMPEONES!!! El #PSG se lleva la International Champions Cup. #MUPSG pic.twitter.com/SJVHTtDFaC
Mon Jul 27 10:17:53 PDT 2015 --  #FueraPiojo #Martinoli Andamos mal... pic.twitter.com/prn1jVC7YY
Sun Jul 26 22:15:15 PDT 2015 --  ¿Qué te digo? Perdí el interés.
Sun Jul 26 15:32:32 PDT 2015 --  Llegando a mi vacación y encuentro esto: pic.twitter.com/HWwX59u7vq
Sun Jul 26 13:23:32 PDT 2015 --  Encontrar a alguien con quien puedas ser completamente como eres.
Sun Jul 26 12:47:36 PDT 2015 --  Existe un rincón del universo que con toda seguridad puedes mejorar y eres tú mismo. (Aldous Huxley) pic.twitter.com/vqvbwXNRSI
Sun Jul 26 12:30:21 PDT 2015 --  ¡Es el cumpleaños del excelente músico @MickJagger! Te dejamos más información de él aquí http://bit.ly/1erfyrt  pic.twitter.com/Mm0auE9THx
Sun Jul 26 08:57:53 PDT 2015 --  Me queda una gran lección, mi perspectiva cambia y eso es lo importante.
Sun Jul 26 01:59:27 PDT 2015 --  La fiesta es chida.
Fri Jul 24 08:58:23 PDT 2015 --  Desde el Kinder la conozco, la sigo viendo, la verdad es que fue mi primer amor :3 #CuentaTuHistoriaDeKinder
Thu Jul 23 12:50:56 PDT 2015 --  En Estados Unidos ser gordo es súper chingón, te dicen "Big Mike" o "Fat Joe". En México eres "El mantecas" o "El Milton, Mil toneladas".
Thu Jul 23 19:05:36 PDT 2015 --  Disfrutaba hablar contigo... ahora quizás deba dejar de hacerlo.
Wed Jul 22 20:05:22 PDT 2015 --  Estamos en la Final, Gracias Afición, #SomosTigres #TodoMexicoEsTigre pic.twitter.com/HQzmjlMavO
Wed Jul 22 20:11:30 PDT 2015 --  ESTOY LLORANDO. pic.twitter.com/cN5bfVfI6h
Wed Jul 22 19:44:49 PDT 2015 --  Y ahora comienza lo bueno *se frota las manos*
Tue Jul 21 22:00:52 PDT 2015 --  JAJAJAJAJAJJAJAJAJAJA NO MAMEN AJAJA pic.twitter.com/KgDMtedvj3
Mon Jul 20 15:39:51 PDT 2015 --  JAJAJA OJALÁ CON ESTO YA LOS SUPEREN pic.twitter.com/XPYtAYPIzU
Mon Jul 20 17:07:32 PDT 2015 --  #SiTuvieraUnSuperPoder haría que el mundo entienda la importancia de la coma. pic.twitter.com/UzzRxZZIJR
Mon Jul 20 15:44:05 PDT 2015 --  Stephen Hawking lanza el mayor programa de búsqueda de extraterrestres de la historia » http://bit.ly/1KhuZxS  pic.twitter.com/nu0PvGFhqj
Sun Jul 19 23:05:29 PDT 2015 --  Lo malo de estudiar Ingeniería es que son la 1:05 Am, estamos de vacaciones y no tenemos sueño.
Sun Jul 19 19:24:51 PDT 2015 --  Bien pasados de verga con el "penal" :( así no sabe la victoria #MéxicoCostaRica
Sun Jul 19 19:11:35 PDT 2015 --  El amor es Campbell y yo soy Jonathan Dos santos
Sun Jul 19 19:11:24 PDT 2015 --  Ojalá te hubieras aferrado a nuestro amor como Jonathan Dos Santos a la playera de Campbell.
Sun Jul 19 10:37:52 PDT 2015 --  #Ingeniería :3 https://twitter.com/HistoryLA/status/622820779240071169 …
Thu Jul 16 10:16:16 PDT 2015 --  Uno debe comenzar su día seguro; sin miedos; cual león de la verdad que ataca a la gacela de la mentira.
Thu Jul 16 10:45:28 PDT 2015 --  ¡Lo logré!
Thu Jul 16 10:28:04 PDT 2015 --  Con toda la actitud en el Bus jajaja
Thu Jul 16 07:31:02 PDT 2015 --  Puro mame intenso desde que se fugó el Chapo. Ahora estoy listo para el nuevo mame de hoy.
Wed Jul 15 22:17:44 PDT 2015 --  Ya eres fierro de otro pariente.
Wed Jul 15 17:46:00 PDT 2015 --  Increíblemente el efecto ya es mínimo, pero sigue ahí.
Wed Jul 15 17:41:04 PDT 2015 --  Creo que lo logré...
Wed Jul 15 12:42:19 PDT 2015 --  ¿Por qué López-Dóriga tuitea como morrita de secundaria? pic.twitter.com/uDxs7Np83n
Wed Jul 15 11:39:01 PDT 2015 --  No les parecen raros ya tantos Mames tan seguidos, Desde el sábado que el chapo se escapo no ha habido un día que no saquen algo nuevo.
Wed Jul 15 11:15:50 PDT 2015 --  —El chapo. Se peló. —Memo Ochoa. Se peló. —Joan Sebastian. Se peló. —La toalla de Paty Navidad. Se peló. —Lopez Dóriga. Me la pela.
Wed Jul 15 10:03:52 PDT 2015 --  Mucho éxito para @TigresOficial esta noche y un gran abrazo para Ricardo Ferretti. La Copa Libertadores es un torneo que merece seriedad.
Wed Jul 15 09:44:03 PDT 2015 --  "La Juventus esta al mismo nivel del Real Madrid". ¿Estas de acuerdo con estas declaraciones de Khedira? pic.twitter.com/Dnok3xHRUs
Tue Jul 14 19:17:54 PDT 2015 --  #MeEncantariaQueVos Dejaras de ser así pic.twitter.com/2g9GZt6Xsn
