Fri Aug 28 22:43:12 PDT 2015 --  "There would be a day when u r STANDING IN THE HALL OF FAME!!" -Hall Of Fame
Fri Aug 28 22:41:31 PDT 2015 --  "U can be the greatest,u can be the best" -hall of fame
Fri Aug 28 04:24:48 PDT 2015 --  If u make a mistake, fix it. Don't give up!
Fri Aug 28 00:56:20 PDT 2015 --  Hv u ever had that feeling like u r buried 6 feet tall coz no one seems to hear u? I know I hv
Fri Aug 28 00:51:58 PDT 2015 --  Whenever I talk to someone,dun interrupt me n don't talk me over, because sometimes I will get extremely angry I will slit yr throat out
Fri Aug 28 00:46:41 PDT 2015 --  Don't u dare give me those sympathetic eyes I juz wanna scoop them out
Fri Aug 28 00:44:33 PDT 2015 --  U don't know how privilege u r of u still got yr mom&dad
Fri Aug 21 17:15:08 PDT 2015 --  a kid asked me "what is love?" i said "when a puppy licks your face" he laughed, but then i added, "even after you left him alone all day"
Sun Aug 23 13:52:33 PDT 2015 --  "you should talk more!" me: *tries to talk* - gets ignored - gets interrupted - gets talked over - no one pays attention - no one cares
Fri Aug 28 00:41:08 PDT 2015 --  You seem so close yet so far… like the stars hanging in the sky…
Tue Aug 04 02:37:19 PDT 2015 --  We are all in the same game, just different levels. Same hell, just different devils. pic.twitter.com/TGZl6kQGTB
Fri Aug 14 19:59:26 PDT 2015 --  没有人想辛苦一辈子。
Thu Aug 27 07:01:09 PDT 2015 --  You don’t need a certain number of friends. You just need a number of friends you can be certain of.
Thu Aug 27 04:35:25 PDT 2015 --  Cherish yr family, who knows when they will live u… tomorrow? Maybe today? Who know?
Mon Aug 24 06:09:31 PDT 2015 --  pic.twitter.com/ck6LuvWtUj
Sat Aug 22 14:08:26 PDT 2015 --  When your parents leave your bedroom without closing your door pic.twitter.com/tAKVk9b3HD
Sun Aug 23 02:48:40 PDT 2015 --  #BestCoupleEver pic.twitter.com/VirAj1GMmV
Sun Aug 23 02:46:52 PDT 2015 --  It's okay to fall, as long as you get back up again.
Sat Aug 22 07:18:05 PDT 2015 --  i wish i could be a youtuber but too awkward don’t have a nice camera not attractive enough not interesting enough not creative in any way
