Sat Aug 29 08:33:55 PDT 2015 --  Majlis kawen nak buat waktu mlm
Sat Aug 29 01:03:47 PDT 2015 --  Kalau Najib nak jadi pm yg sempoi dan kelakar. Dia sendiri pakai baju kuning follow demo #bersih4.0 . Lulz. Funny u
Fri Aug 28 09:03:53 PDT 2015 --  Msalah bila shopping 1) ada duit,saiz xde 2) ada saiz,duit xde 3) ada sale,duit xde 4) ada duit,sale xde 5) xda duit,xda saiz,xda sale.haha
Sat Aug 29 03:54:08 PDT 2015 --  I heard 150 000 people gathered for the rally https://twitter.com/HafizRayyan/status/637556244341899264 …
Thu Aug 27 06:04:47 PDT 2015 --  3 steps to dance in a club by @faridzuanfuad 1) cook 2) wash the dishes 3) put the dishes back pic.twitter.com/Keke33zwDV
Fri Aug 28 01:42:35 PDT 2015 --  Beza duduk rumah and kolej . Rumah : bangun tidur , lapar ada makanan Kolej :bangun tidur , lapar pandang dinding
Fri Aug 28 21:34:17 PDT 2015 --  Kl sentral now pic.twitter.com/odqcniNIQw
Sat Aug 29 00:35:12 PDT 2015 --  Tahun 1945 atok nenek kita turun jalanraya lawan British. Harini kita lawan pemerintah angkuh lagak British! #Bersih4 pic.twitter.com/mu9IVCST8J
Fri Aug 28 15:40:11 PDT 2015 --  Today is the day you make a fresh start.
Fri Aug 28 05:28:19 PDT 2015 --  Bila jiran kau bergaduh laki bini "Pahal tu?" "Nak kawin lagi lettew. Jantan tak guna." "Loan kete pun bini bayar" pic.twitter.com/ks55EwxLsQ
Fri Aug 28 04:22:17 PDT 2015 --  -Ngumpat- Leha: Nape kaler dia lain mcm tu? Emma: Dgr cite time tuan dia masak kek batik dia trmasuk dlm kuali huhu pic.twitter.com/3AbMRDtrAH
Fri Feb 27 08:03:23 PST 2015 --  Legend makanan di dulu. Sekarang susah nak dapat. Rindu nak makan pic.twitter.com/1ivmpMOpQ0
Wed Aug 26 22:04:35 PDT 2015 --  Aduh iphone6s nak keluar iphone 6c nak keluar iphone7s pun nak keluar. Kalau semua nak keluar, habis tu siapa nak jaga rumah?! (Okay tak?)
Fri Aug 28 03:58:39 PDT 2015 --  Mcm mana matrempit nak maju kalau masyakarat perangai mcm ni? Whats wrong with the world mama. pic.twitter.com/swb2iCRqcs
