Fri Aug 21 09:04:46 PDT 2015 --  Anyone? pic.twitter.com/XcVBpdmq8Y
Thu Aug 20 19:39:57 PDT 2015 --  Like we didn't see that coming
Tue Aug 11 14:26:38 PDT 2015 --  @HammerAngie likes to dubsmash pic.twitter.com/iMljojANqJ
Wed Aug 05 13:01:44 PDT 2015 --  pic.twitter.com/sTOgBR0EZQ
Tue Aug 04 15:36:42 PDT 2015 --  Happy birthday wacko ily have a great day @Tarahammer143 pic.twitter.com/aKWgJ1v81K
Tue Aug 04 10:47:28 PDT 2015 --  @Tarahammer143 happy birthday you lil cutie, miss you so so much pic.twitter.com/TY94CLNSzB
Tue Aug 04 10:20:18 PDT 2015 --  @Tarahammer143 happy birthday!! Hope your day is great pic.twitter.com/u5RhNe3Olm
Tue Aug 04 10:29:15 PDT 2015 --  happy birthday bestfraannnd ilysm but I like your mom better you know thathope your day is great babe!!Love you sm pic.twitter.com/pbxKgywv11
Mon Aug 03 21:35:32 PDT 2015 --  Happy birthday sister! I love you and hope you have a great day. You're so extremely photogenic. pic.twitter.com/eZYRBKPYTd
Mon Aug 03 06:44:00 PDT 2015 --  Happy birthday! ily @arargenti
Thu Jul 16 21:28:37 PDT 2015 --  Happy Birthday Tor!! I love you sfm hope you have a wonderful day, you deserve it girlie @AlongiVictoria
Thu Jul 16 18:41:50 PDT 2015 --  #GrowingUpWithStrictParents that complain your lazy & always home, yet tell you no when you ask to go places. pic.twitter.com/JcN7wn08wu
Wed Jun 03 18:18:10 PDT 2015 --  DO YOU pic.twitter.com/REPeghrtMs
Wed Jul 01 21:25:36 PDT 2015 --  GOALS http://twitter.com/FreddyAmazin/status/616326577157046272/video/1 …
Thu Jun 25 12:29:59 PDT 2015 --  @HammerAngie @Tarahammer143 https://twitter.com/lnsanetweets/status/614118403238961152 …
Sun Jun 21 16:32:57 PDT 2015 --  All you ever do is complain, it's not cute at all
