Sat Aug 29 08:19:57 PDT 2015 --  Let's goooo 🏼🏼🏼 pic.twitter.com/ZHDCli9jXJ
Sat Aug 29 05:48:04 PDT 2015 --  Don't wake me up 45 minutes early just because you need the extra time to get ready. I had a plan and now it's fucking ruined. Thanks.
Thu Aug 27 20:30:15 PDT 2015 --  pic.twitter.com/2GLpiumkUP
Fri Aug 28 02:30:14 PDT 2015 --  pic.twitter.com/8lUOchb8xV
Sat Aug 29 00:18:42 PDT 2015 --  Hmm well tomorrow should be a fun morning
Sat Aug 29 00:13:28 PDT 2015 --  Yep, gettin to that level where I start saying sorry for everything even when it's not needed. Should probably back out but I'm dumb so
Fri Aug 28 20:29:18 PDT 2015 --  So who is gonna party hardy with me tomorrow when I get to Kent? AKA watch Harry Potter movies all night and stuff our faces?
Fri Aug 28 18:50:42 PDT 2015 --  I always think packing will take like 5 minutes. I am always wrong. #procrastination
Fri Aug 28 17:38:48 PDT 2015 --  I think his elbow may have been a liiiiiittle over. That's just me tho https://twitter.com/_collegehumor_/status/637408447345131522 …
Fri Aug 28 10:46:37 PDT 2015 --  Almost all packed and ready. 1 more day. 🏼
Fri Aug 28 10:40:38 PDT 2015 --  Only thing I miss about highschool is free textbooks
Wed Aug 26 11:51:36 PDT 2015 --  90s movies always used to end like pic.twitter.com/eGiZ0ADa1E
Thu Aug 27 20:55:59 PDT 2015 --  We are doing this. @AicheleZ @taynichs @bunnyboo_lol @_klstarch https://twitter.com/unreveaisecrets/status/634067410572607488 …
Thu Aug 27 20:50:28 PDT 2015 --  when i clean my room http://twitter.com/KardashianReact/status/636733197947043840/photo/1pic.twitter.com/WjpVHJt5BP 
Thu Aug 27 17:52:47 PDT 2015 --  Every day at work pic.twitter.com/91LeiNa0jc
Thu Aug 27 09:35:31 PDT 2015 --  This shit looks lit b pic.twitter.com/wKgWlrXwQc
Thu Aug 27 13:45:02 PDT 2015 --  Still sad this scene didn't make it to the film pic.twitter.com/l89IbPIKc3
Thu Aug 27 12:13:27 PDT 2015 --  Was gonna get up at 10 Annnnndddd it's almost 3:30
Thu Aug 27 11:30:08 PDT 2015 --  Google is in denial pic.twitter.com/B9A6VEjD2u
Wed Aug 26 23:25:13 PDT 2015 --  “textbook required for class” we gon see bout that pic.twitter.com/e7opEWHFHH
Wed Aug 26 20:47:13 PDT 2015 --  How the fuck did I get poison ivy AGAIN? I haven't went outside in like forever.
Wed Aug 26 20:26:00 PDT 2015 --  College is like the episode of Drake & Josh when they work in a sushi place & the conveyor belt is too fast and it just keeps coming anyway
Wed Aug 26 20:02:49 PDT 2015 --  me during first day ice breakers https://vine.co/v/eDev0rVvEeZ 
Wed Aug 26 18:03:56 PDT 2015 --  Man I'd rock these on campus. Cmon 🏼 https://twitter.com/marronmatt/status/636684444364054528 …
Wed Aug 26 12:47:56 PDT 2015 --  I'm allergic to crappy food, but you got rid of Jump so that shouldn't be a problem anymore. https://twitter.com/ksudining/status/636624524075761664 …
Wed Aug 26 12:08:17 PDT 2015 --  
Wed Aug 19 10:34:51 PDT 2015 --  i love tumblr pic.twitter.com/1VA188ZLzb
Wed Aug 26 08:04:17 PDT 2015 --  I'm ready to go back to Kent anytime nowwww
Wed Aug 26 08:01:26 PDT 2015 --  Wonder if @joxd4n is ever gonna unlock me, probably not
Wed Aug 26 07:52:30 PDT 2015 --  Maaaannnnn stop dating black guys so I can have a chance here
Wed Aug 26 07:46:35 PDT 2015 --  Ommmggggggg if I see girls complain about dumb guys that don't really care about them one more time I swear I'm gonna quit living.
Tue Aug 25 23:40:04 PDT 2015 --  “I have to remind myself that some birds aren’t meant to be caged.” –Morgan Freeman ‘Shawshank Redemption’ 1994
Wed Jun 24 16:49:42 PDT 2015 --  I've been looking for this video for so long pic.twitter.com/C5JWU7DVyP
Tue Aug 25 20:43:57 PDT 2015 --  Man why you gotta get a new guy so quick. Didn't even get the chance
Tue Aug 25 15:27:06 PDT 2015 --  THIS EXPLAINS EVERYTHING pic.twitter.com/E25XlqmZF0
Tue Aug 25 15:22:03 PDT 2015 --  Wish you'd just stop holding back and distancing yourself.
Tue Aug 25 11:50:53 PDT 2015 --  I think we won cause it says the poll is closed! https://twitter.com/presbwarren/status/636204589147099136 …
Tue Aug 25 11:25:49 PDT 2015 --  have fun with that one
Tue Aug 25 11:01:14 PDT 2015 --  We're in the lead so far! https://twitter.com/presbwarren/status/636204589147099136 …
Tue Aug 25 08:46:39 PDT 2015 --  I wonder how this is gonna go..
Tue Aug 25 08:29:09 PDT 2015 --  Why am I up this earlyyyy
Tue Aug 25 01:51:31 PDT 2015 --  2 people followed me and 2 people unfollowed me // automatically checked by http://fllwrs.com 
Mon Aug 24 19:38:28 PDT 2015 --  It is 10:30 and I am ready for bed what is this
Mon Aug 17 15:14:34 PDT 2015 --  RT and Follow for a chance to win a FREE chipotle burrito/bowl! Must be following to win. Winner will be announced first week we're open!
Mon Aug 24 10:06:40 PDT 2015 --  Nothing to do today, guess I'll just do laundry, put stuff on eBay, and watch criminal minds all day. 🏼
Mon Aug 24 07:29:28 PDT 2015 --  All of the seniors this year look 12 still. Like wtf how are you graduating
Mon Aug 24 07:15:08 PDT 2015 --  Man I can't stop looking at that message.
Mon Aug 24 07:14:38 PDT 2015 --  While everyone is starting or already in school today, I'm sitting here patiently waiting for move in day. Cmon Kent
Mon Aug 24 06:23:05 PDT 2015 --  WHAT'VE YOU DONE pic.twitter.com/fYx6wb8sNL
