Thu Aug 27 18:30:21 PDT 2015 --  لا والله مفيش سراير فاضيه مش هينفع pic.twitter.com/X49EEBNtu0
Thu Aug 27 18:23:56 PDT 2015 --  This happens when you pre-wet paper with a pattern then put ink onto it - TopGIF By @9GAGGifs pic.twitter.com/vOkWyf0GBe
Thu Aug 27 18:23:20 PDT 2015 --  I don't wanna hurt you but you live for the pain.
Thu Aug 27 18:19:26 PDT 2015 --  pic.twitter.com/b89ytQEKQU
Thu Aug 27 18:14:40 PDT 2015 --  ومن استغني ف نحن عنه اغني
Thu Aug 27 18:16:58 PDT 2015 --  - قلت ايه يامعلم؟ - حسبي الله ونعمة الوكيل - ماشي يامعلم pic.twitter.com/NYXLZcAJ9l
Thu Aug 27 18:15:45 PDT 2015 --  الناس اللي بتكتئب اكتئاب هادي في نفسه من غير فرهده حلوين والله
Thu Aug 20 15:19:00 PDT 2015 --  حظى ف صوره. pic.twitter.com/oOG02iLLOW
Thu Aug 27 18:06:08 PDT 2015 --  مهو انت يا تعمل عبيط طول عمرك يا تاخد موقف من الاول معروفة يعنى
Thu Aug 27 18:07:35 PDT 2015 --  أنا عقلي الحقيقي مش عارفة راح فين ، وعقلي الباطن هوا القائم ع تسيير أمور الفترة دي وأنا غير مسؤوله عن تصرفاته ،هذه رسالة مسجلة،
Thu Aug 27 18:07:39 PDT 2015 --  *بتفكر في شكل العيشة الي ممكن اعيشها و كم الحاجات الي ممكن اعملها في حياتي لو مستقلة و بتحسر*
Thu Aug 27 17:13:07 PDT 2015 --  لما بابا يقولي خشي نامي - مش داخلة مش داخلة pic.twitter.com/VKFBAF33FF
Thu Aug 27 15:47:06 PDT 2015 --  لو مش هتقدر تظهر إحترامك لأهلك قدامهم فعلى الاقل بلاش تهزقهم من وراهم هنا.. أي أهل مهما كانوا ظلموا عيالهم مايستاهلوش كدة.
Thu Aug 27 11:07:24 PDT 2015 --  حدث علمي .. انا ال DM اللي جالي ده بيثبت ان فيه كائنات عاقلة ف الفضاء الخارجي .. انا كنت شاكك بس متأكد .. pic.twitter.com/ZXkJrnq2H9
Thu Aug 27 13:10:15 PDT 2015 --  هو لو واحد من الشيخ زايد حب واحدة من الرحاب حتتصنف long distance relationship ؟
Wed Aug 26 11:09:19 PDT 2015 --  لما حد يقعد يشتم عالنت vs لما تزنقه في الحقيقة pic.twitter.com/hTfa0nUOtS
Wed Aug 26 11:56:50 PDT 2015 --  - انا حامل - اخيرا هبقى اب - احنا مش متجوزين ! - الاب الروحي يعني
Wed Aug 26 11:44:44 PDT 2015 --  التمثال ده في مطار القاهرة .. مش عارف ايه هو بالظبط بس شكله فن تجريدي بيعبر عن الست المصرية بعد الجواز pic.twitter.com/0udfINu6HS
