Fri Aug 28 22:09:13 PDT 2015 --  #ALDUBMaiDenHeaven
Fri Aug 28 13:57:42 PDT 2015 --  Happy!! Happy!!!!!!!! #ALDUBMaiDenHeaven
Thu Aug 27 13:57:40 PDT 2015 --  Happy :) #ALDUBGettingCLOSER
Wed Aug 26 13:17:22 PDT 2015 --  murning guys. mayroon kyo kilig s isat isa pagnagkikita kyo on screen. @aldenrichards02 @mainedcm #HappyALDUBWeeksary
Tue Aug 25 15:15:14 PDT 2015 --  #ALDUBAngLihimNiLOLA
Sun Aug 23 15:20:53 PDT 2015 --  Megan Young magkahawig cla ni Maine Mendoza a.k.a Yaya Dub #ALDUBTULOYANGFOREVER
Sun Aug 23 15:06:35 PDT 2015 --  #ALDUBTULOYANGFOREVER tuloy talaga lalo na panagkita cla ng malapitan @EatBulaga @ALDUBnaticss16 @aldubnation
Sat Aug 22 18:13:59 PDT 2015 --  #EBThankYouForALDUB
Thu Aug 20 19:25:12 PDT 2015 --  #ALDUBKeepTheFaith !!!!! Gudluck to all ALDUB:)
Wed Aug 19 01:09:16 PDT 2015 --  #aldubnotalduh
Sun Aug 16 20:16:16 PDT 2015 --  알덴 밀스는 당신을 테스트하기 위해,,, 롤라 Nidora 시험에 대해 당신은 일을 사랑 :) @aldenrichards02 @EatBulaga #AlDubTrueLoveWaits
Sat Aug 15 17:05:08 PDT 2015 --  고맙습니다! 필리핀에 감히 ALDUB 하나가 거기에 팬을 나를 환호 :) #AlDub1stMonthsary
Fri Aug 14 17:20:14 PDT 2015 --  Kamsahamida ALDUB Fans @aldenrichards02 @mainedcm @EatBulaga @ALDUB_NATION16 @Bhousz.Ganda @ALDUB88 #AlDubForYouIWiII
