Fri Aug 28 18:21:47 PDT 2015 --  TE AMO @RataoBorrachudo
Fri Aug 28 18:12:29 PDT 2015 --  :(
Fri Aug 28 17:34:30 PDT 2015 --  UOOOOOOOOOOOWL! http://youtu.be/eNz0yxWnhGA?a 
Fri Aug 28 15:37:49 PDT 2015 --  @LucasRanngel Tem vídeo hj e eu to assim kkkk #CozinhaDaMeninaBurra6 pic.twitter.com/6FvpIGlbvr
Wed Aug 26 17:16:42 PDT 2015 --  @Kefera até pq quem engravidaria na relação seria o gustavo vamo se sincero
Fri Aug 28 15:28:42 PDT 2015 --  Minha primeira e única saga favorita, amor a primeira vista!! #HarryPotter pic.twitter.com/Zcyd1SzPNn
Fri Aug 28 15:37:41 PDT 2015 --  Tyler Posey é maravilhoso
Thu Aug 27 13:51:18 PDT 2015 --  Essa montagem escorreram gotas de testosterona do meu olho! pic.twitter.com/G9aj7GjnLS
Fri Aug 28 08:49:07 PDT 2015 --  É hooooje que a Menina Burra volta de férias e tem novo episódio de #CozinhaDaMeninaBurra!! 🏻… https://instagram.com/p/67sLceRkar/ 
Fri Aug 28 08:45:04 PDT 2015 --  Pessoas ignorantes tendem a acreditar que são brilhantes, enquanto que pessoas inteligentes tendem a se subestimar.
Fri Aug 28 08:45:08 PDT 2015 --  Imagina fazer aniversário quando acaba o horário de verão,daí a pessoa vai fazer 18 anos e volta a ser 23:00 daí a pessoa tem 17 outra vez.
Fri Aug 28 08:47:14 PDT 2015 --  Procurando quem pediu sua opinião pic.twitter.com/gmcrZRNjFU
Fri Aug 28 04:00:02 PDT 2015 --  @Christian_fig o crush respondeu............................................
Thu Aug 27 23:55:02 PDT 2015 --  @cellbitos oi lindo
Fri Aug 28 01:00:14 PDT 2015 --  melhor malhação pic.twitter.com/rJSom79Wxc
Thu Aug 27 20:56:23 PDT 2015 --  olha o nosso nome no jogo pic.twitter.com/BArB5YRVmg
Thu Aug 27 20:06:58 PDT 2015 --  MEO DEOS TEM DEDO NO MEIO NO WHATSAPP VO MANDA ATE PRA MINHA MAE
Mon Aug 17 07:12:11 PDT 2015 --  Acabei de pegar spoiler de life is strange NAOOOOOO #askdesires pic.twitter.com/Jd0PvU4ixI
Sat Aug 22 03:45:46 PDT 2015 --  Quando minha mae chega com comida em casa #askdesires pic.twitter.com/gFfMnqKwYm
Tue Aug 18 11:00:23 PDT 2015 --  vamo pic.twitter.com/OV7ngnjRsr
Thu Aug 06 11:39:31 PDT 2015 --  FAZ ISSO COMIGO NÃO VELHO!
Sun Aug 16 19:59:46 PDT 2015 --  O prêmio de "Melhor Série do Verão" foi para... Teen Wolf #TeenChoiceAwards pic.twitter.com/YBJCxGq75T
Sun Aug 16 19:57:28 PDT 2015 --  Melhor Ator de Série que Roubou a Cena" foi para Dylan O'Brien #TeenChoiceAwards pic.twitter.com/Sg4vO0H05M
Sun Aug 16 18:49:37 PDT 2015 --  VAI TER FOTO OFICIAL SIM!!!! #TeenChoiceAwards #PLL pic.twitter.com/8wS0uN0Qqr
Sun Aug 16 18:47:47 PDT 2015 --  sobre eu ainda me iludir com a ashley e o tyler #TeenChoiceAwards pic.twitter.com/TBAzWxCQEn
Fri Aug 14 15:28:48 PDT 2015 --  Eu pensando o que fazer da minha vida enquanto espero o EP.5 de Life is Strange pic.twitter.com/Wbvd95Y2Du
Tue Aug 11 19:42:48 PDT 2015 --  @cellbitos @DeyaLange OBRIGADO ESPERO QUE TROPECE E DERRUBE O SORVETE
Sat Aug 08 08:31:09 PDT 2015 --  Eu tinha falado semana passada mas to avisando aqui de novo. Hoje não tem vídeo! Mas amanhã tem... Life... is... Strange...
