Wed Aug 19 19:17:11 PDT 2015 --  Had a dream that Obama got struck by lightning. Gave a speech, after being struck, before he died.
Tue Jul 28 13:17:58 PDT 2015 --  this is so sick! pic.twitter.com/PKaPFVVW6n
Sat May 02 21:52:05 PDT 2015 --  #BumgarnerKershaw > #MayweatherPacquiao
Wed Apr 08 15:09:42 PDT 2015 --  If Phil Simms called baseball: "I think you pitch the ball here, Jim."
Mon Mar 30 10:31:21 PDT 2015 --  "Roman! He's not getting tired! You have to hit him back!" #WM31 #WrestleMania @Maffewgregg #Botchamania pic.twitter.com/5bDAZtvbbe
Fri Mar 06 14:03:37 PST 2015 --  Somehow, some way, @TripleH needs to come out @ Mania with some Danzig: Hammer of the Gods. https://www.youtube.com/watch?v=12dLAwVPK20 …
Tue Mar 03 15:36:42 PST 2015 --  http://i.imgur.com/iLoDJ9I.gifv  Fascinating but what tycoon game is this?
Fri Jan 09 15:29:59 PST 2015 --  oh @LordKaT and your gastrointestinal fortitude.
Wed Dec 03 01:39:13 PST 2014 --  I'm sorry to hear that @queenanthai because I always found you to be funny.
Wed Oct 29 21:10:40 PDT 2014 --  Such a festive atmosphere at this moment, you'd think it was Halloween. Must be all that Orange and Black #SFGiants
Thu Aug 28 15:47:09 PDT 2014 --  "That's damn fine coffee you got here in Twin Peaks! And damn good cherry pie!" pic.twitter.com/QRGkgI7KyD
