Sat Aug 29 07:30:27 PDT 2015 --  28 min Liverpool 0-2 West Ham RT if you are laughing at Liverpool
Fri Aug 28 12:34:12 PDT 2015 --  @Mr_Nova_26 oh okay , mamon
Fri Aug 28 20:06:16 PDT 2015 --  Whistle's blown. 2015 #CaliClasico finale? Let's do this. #BeatLA #RivalryWeek pic.twitter.com/KJ3XQh4kaB
Fri Aug 28 20:06:01 PDT 2015 --  Don't waste your time filling up my words, don't tell me why to assume the worst.
Fri Aug 28 15:30:09 PDT 2015 --  "Only at Los Gatos would they be granted 99 million dollars.. and then use it to make a new front lawn. A lawn. In a drought."
Fri Aug 28 13:49:45 PDT 2015 --  when they hot but they turn out to be super fuckin dumb pic.twitter.com/fSENh0IkxC
Thu Aug 27 23:46:03 PDT 2015 --  If you feeling a lil bored with life. Don't pull out. Adds excitement into your life.
Thu Aug 27 14:23:44 PDT 2015 --  Beautiful video.. pic.twitter.com/jv6955g6h5
Thu Aug 27 09:57:01 PDT 2015 --  Beautiful.. pic.twitter.com/NxlSPjqdhM
Thu Aug 27 16:48:43 PDT 2015 --  Second best player in the world.. pic.twitter.com/EoO5phosOK
Thu Aug 27 17:11:04 PDT 2015 --  Never trust a person who says owie
Wed Aug 26 19:03:04 PDT 2015 --  Civil rights activist Amelia Boynton Robinson, who led "Bloody Sunday" march, dies at 104 http://cbsn.ws/1K58T5l  pic.twitter.com/6pz0bq7j9G
Wed Aug 26 10:08:04 PDT 2015 --  such a shame that people who work at Urban Outfitters have the personalities of people who work at Urban Outfitters
Wed Aug 26 10:41:18 PDT 2015 --  Good political litmus test: Ask yourself, "Would I REALLY be surprised if this candidate proposed a Purge or Hunger Games?"
Sat Dec 31 11:28:40 PST 2011 --  I just feel lucky to be making a living doing what I used to love.
Tue Aug 25 19:47:12 PDT 2015 --  Figuring out which hand towel to use in a friend's cluttered bathroom is probably the closest I'll ever get to negotiating a minefield.
Tue Aug 25 14:08:50 PDT 2015 --  “To harbor spiteful feelings against ordinary people for not being heroes is possible only for narrow-minded or embittered man.”- Chekhov
Tue Aug 25 08:42:11 PDT 2015 --  Life is just wanting to be older and then wanting to be younger.
Tue Aug 25 05:22:55 PDT 2015 --  Leicester City in 2nd place is like an elephant on a tree. Nobody knows how they got up there, but everyone knows they r going to fall down.
Mon Aug 24 20:46:02 PDT 2015 --  i never thought i would say "lets just wait until we get all the facts people!" when talking about Gene Simmons.
Mon Jul 19 17:19:04 PDT 2010 --  Many fine things can be done in a day if you don't always make that day tomorrow
Mon Aug 24 10:05:09 PDT 2015 --  It's not enough for the weather to be good where I am, it also has to be shitty where you are.
Mon Aug 24 13:07:56 PDT 2015 --  You don't need to go to the gym. Your face goes better with a terrible body.
Mon Aug 24 07:05:14 PDT 2015 --  My outfit lowkey makes me look like a butch lesbian in the 90s on her honeymoon trip in hawaii but still cute
