Sun Feb 01 12:20:49 PST 2015 --  I've got the @Seahawks winning #SB49! #SeahawksWIN @NFL http://bit.ly/1CfcIQw 
Tue Apr 22 11:59:44 PDT 2014 --  Chloe pic.twitter.com/PbP1eyCliD
Sun Jan 05 16:55:42 PST 2014 --  49ers need to lose Kapernick sucks #49ers
Sun Dec 29 15:44:52 PST 2013 --  This Seahawks game is out of hand Rams are committing major penalties on every play an officials have lost control
Sun Dec 22 23:30:13 PST 2013 --  Friendship isn't about who you have known the longest. It’s about who came, and never left your side.
Wed Jun 13 15:10:43 PDT 2012 --  #ifollowedprincekash
Wed May 30 19:28:10 PDT 2012 --  Real ways to make money using computers and the Internet http://workfromhomesuccess7.ru/creatives/business.php?AFFID=210234&SID=1 …
Wed May 30 10:49:12 PDT 2012 --  Get Back Some Financial Independence Into Your Life. http://successfulworkathomecareers.ru/creatives/business.php?AFFID=210234&SID=1 …
Tue May 29 23:25:49 PDT 2012 --  Earn Money With Your PC http://workfromhomesuccess7.ru/creatives/business.php?AFFID=210234&SID=1 …
Mon May 28 05:56:29 PDT 2012 --  Own Your Own Business http://successfulworkathomecareers.ru/creatives/business.php?AFFID=210234&SID=1 …
Mon May 28 01:14:49 PDT 2012 --  Ways to make, earn or get money on the Internet http://successfulworkathomecareers.ru/creatives/business.php?AFFID=210234&SID=1 …
Sun May 27 16:44:49 PDT 2012 --  Make really good cash from the internet to earn money at home http://getmakemoneyonline.ru/creatives/business.php?AFFID=210234&SID=1 …
Sun May 27 11:38:50 PDT 2012 --  Easiest Way to Make Money Online from Home with Your PC http://extramoneyanswer.ru/creatives/business.php?AFFID=210234&SID=1 …
Sun May 27 02:48:24 PDT 2012 --  Change your financial future http://extramoneyanswer.ru/creatives/business.php?AFFID=210234&SID=1 …
Sat May 26 14:25:02 PDT 2012 --  Make really good cash from the internet to earn money at home http://successfulworkathomecareers.ru/creatives/business.php?AFFID=210234&SID=1 …
Fri Sep 09 18:19:50 PDT 2011 --  @John_Aschmies hey i did not know you were on twitter
Sun Nov 08 14:36:35 PST 2009 --  hoping the seahawks can pull this one
Sun Nov 08 08:09:16 PST 2009 --  Paying bills and watching TV with my kids
Fri Sep 18 16:21:46 PDT 2009 --  Drinking a few beers and hanging with my kids.
Wed Sep 16 18:08:51 PDT 2009 --  Watching tv and my son, wife, and dog sleep.
Wed Sep 16 17:59:41 PDT 2009 --  Watching wipeout
Sun Sep 13 04:26:52 PDT 2009 --  Walking my dog, vedder
Sat Sep 12 16:33:40 PDT 2009 --  Leaving don pablos, dinner was not great.
Sat Sep 12 15:57:48 PDT 2009 --  Eating chips at don pablos
Sat Sep 12 15:02:25 PDT 2009 --  Going to don pablos for dinner
Fri Sep 11 16:37:42 PDT 2009 --  Watching spongebob with my kids
Fri Sep 11 09:00:13 PDT 2009 --  Working
Tue Jun 09 17:46:01 PDT 2009 --  I am watching tv
