Tue Jun 16 13:42:44 PDT 2015 --  Quand t'es mort de rire de ta blague et que t'essaye de la raconter pic.twitter.com/E0GaGX7MED
Fri Aug 28 13:37:33 PDT 2015 --  Quand tu te cognes le petit orteil... https://vine.co/v/ejJA52EIpFU 
Tue Aug 25 13:40:18 PDT 2015 --  #DonneUnSensÀunEmoji 🏼: jsuis mieux que toi, que ta mère , ton père, ton chat, ton poisson rouge
Wed Jul 29 04:47:12 PDT 2015 --  JAMAIS croqués sur terre! Mais bientôt par vous!Nos sablés Beaufort vont vs faire décoller ;) http://bit.ly/1HedIb0  pic.twitter.com/zuPdt5cHtn
Tue Aug 18 19:03:14 PDT 2015 --  ok but the important question here is how long till christmas
Tue Aug 18 22:36:37 PDT 2015 --  Hello again @NikeSupport. I can't find this model on http://Nike.com 
Sat Aug 15 10:49:06 PDT 2015 --  Avada Kadavra à celui qui a créé ce ht #AbatlesHomosexuels pic.twitter.com/paeHqdjNjp
Sat Aug 15 16:07:00 PDT 2015 --  @loThelma Mind if we step in? Those amazing shoes are called Nike Flyknit Racer.
Sat Aug 15 15:56:03 PDT 2015 --  Running in Bilbao pic.twitter.com/kdFmb6Vc1q
Sat Aug 15 15:54:04 PDT 2015 --  Hi @NikeRunning ! Can you help me ? I'm looking for the name of these amaaaaazing shoes pic.twitter.com/8CDnGtTgMK
Sat Aug 08 03:47:13 PDT 2015 --  POUR FÊTER LA #JOURNÉEINTERNATIONALEDUCHAT, CHAQUE FOIS QUE J'CROISE QUELQU'UN, J'LUI FROTTE MA QUEUE SOUS LE NEZ AVANT DE LE GRIFFER.
Sat Aug 08 12:21:02 PDT 2015 --  #JePenseQueAEst mdrrr quand j'ai commencé PLL je me disais que c'était Aria parce que A pour Aria...
Sat Aug 08 12:51:58 PDT 2015 --  #JePenseQueAEst dans ce groupe mdrr pic.twitter.com/1Xp7uPbfpr
Sat Aug 08 12:55:58 PDT 2015 --  #JePenseQueAEst ma vie si c'est une d'elles c'est du foutage de gueule pic.twitter.com/ppGdGlEhqv
Sat Aug 08 14:44:42 PDT 2015 --  Quand je saurais Qui est A jme referais toutes les saisons pour voir ce que j'ai manquer #JePenseQueAEst Wilden ..
Sat Aug 08 15:05:54 PDT 2015 --  #JePenseQueAEst la première lettre de l'alphabet jcrois mais je suis pas sur, mdr..
Wed Oct 23 10:12:47 PDT 2013 --  #EnSoireeYaToujours deux personnes qui sont a deux doigts de s'mettre sur la gl pour le choix du lit.
Sun Oct 27 08:34:28 PDT 2013 --  #EnSoiréeYaToujours une personne qui met des curlys dans le nez des gens qui dorment sur une chaise..
Fri Mar 07 13:33:48 PST 2014 --  #EnSoireeYaToujours le groupe qui s'enferme dans une chambre et qui ressort avec 383673 délires que tu peux pas comprendre
