Fri Aug 28 04:54:00 PDT 2015 --  今年の奈良女企画手の込み用では一番だと思う。
Fri Aug 28 03:09:43 PDT 2015 --  奈良女企画の作成音声だけ聞こえるのてで恐怖倍増
Tue Aug 25 23:21:09 PDT 2015 --  設置中。同期Tおそろい！ pic.twitter.com/hbRDRHw4Zi
Tue Aug 25 15:09:30 PDT 2015 --  おはようございます。 何度もいいますが、ジャンボは寒いですよ。10月位の感じです。
Tue Aug 25 08:58:45 PDT 2015 --  くずのはやっぱりくずのだな
Tue Aug 25 06:47:24 PDT 2015 --  ８人フル乗車な～
Mon Aug 24 22:45:41 PDT 2015 --  途中参加でも連絡なしで迎えに来てもらえると思ってたり…何時でも迎えに来てもらえると思ってたり… もう少し送迎に対して気を使って欲しいなby交通担当
Mon Aug 24 19:49:20 PDT 2015 --  セレナにクルーズコントロールついてた。 結構便利。
Mon Aug 24 16:13:24 PDT 2015 --  今回のレンタカーはセレナになりました(デカイ) 台数足りなかったようです。
Mon Aug 24 15:14:17 PDT 2015 --  準備完了、出発待機
Mon Aug 24 07:47:43 PDT 2015 --  32ページのしおり(オリエン)と８ページのしおり(ジャグ) pic.twitter.com/8GFH05CuCG
Mon Aug 24 04:50:31 PDT 2015 --  準備してたらこれ出てきたので持っていきますね pic.twitter.com/quY3hfK2Hj
Sun Aug 23 17:52:31 PDT 2015 --  ４回生の皆さん院試頑張って下さい。
Sun Aug 23 07:52:12 PDT 2015 --  引っ越しを期にインテリア一新しようとネット見てるけど、どの例にもソファがある。部屋にソファが置いてある家にいったことないんたけど
Fri Aug 21 07:47:27 PDT 2015 --  個人的には京都のにぼじろうの油そばも好き。 百万遍と四条烏丸にあって行きやすいし。
Wed Aug 12 22:28:25 PDT 2015 --  つけ麺な～ この辛さがよい pic.twitter.com/yjiBYBEL2q
Wed Aug 12 16:58:58 PDT 2015 --  広島新庄逆転！
Tue Aug 11 22:10:53 PDT 2015 --  広島へ帰省。 まもなく相生。この乗り換えで座れるかどうかが勝負。
Tue Aug 11 02:14:39 PDT 2015 --  関空なう。 18切符持っていたので、 「５時間どこで時間潰す？」 「関空いこう」 的なのりで来ました pic.twitter.com/8dBIOfWKAP
Mon Aug 10 18:28:56 PDT 2015 --  優勝！ 暑いなら４日間お疲れさまでした pic.twitter.com/6mPDpUkIkO
Mon Aug 10 17:59:33 PDT 2015 --  インターハイの閉会式見に来ました。 pic.twitter.com/x17gSUKxgF
