Thu Aug 27 20:10:21 PDT 2015 --  Sneezing while driving is the scariest thing ever
Tue Aug 25 20:29:44 PDT 2015 --  Waiting for the day when daily icing of my knee will come to an end.
Sun Aug 23 20:46:19 PDT 2015 --  PCD with @acw625
Thu Aug 13 10:52:24 PDT 2015 --  Mind Blown. pic.twitter.com/g1BrMb36lE
Sat Aug 15 08:44:54 PDT 2015 --  pic.twitter.com/JlJHBu7NTd
Fri Aug 14 09:55:42 PDT 2015 --  pic.twitter.com/4EH31eN3aR
Sun Aug 23 07:21:25 PDT 2015 --  @acw625 and food 🏼
Sun Aug 23 07:17:03 PDT 2015 --  Seeing one direction today in my living room with my best friend. Forget soldier field, I have DVD player with concert DVDs @jessjo11
Wed Aug 19 21:48:43 PDT 2015 --  Sameeeee Shawn https://twitter.com/shawnmendes/status/634184987911266304 …
Mon Aug 10 11:50:16 PDT 2015 --  Guess our secret’s out of the mixing bowl. Introducing new #BrownieBatter flavored #Oreo cookies, in stores now! pic.twitter.com/SfDj1wOCcc
Wed Aug 19 14:27:35 PDT 2015 --  Mood went from to just from a message
Tue Aug 18 16:28:01 PDT 2015 --  Well instead of reading I decided to clean my car. My car looks very nice now now I gotta read 15 chapters and do a packet. Yay...
Mon Aug 17 19:00:37 PDT 2015 --  I THOUGHT THIS VIDEO WAS JUST GOING TO BE WHITE GIRLS DANCING WTFFFFFF pic.twitter.com/r3b3Rag0WU
Mon Aug 17 21:56:33 PDT 2015 --  10/25 chapters done. 15 left for tomorrow and the packet that goes with it! #ProcrastinationAtItsBest
Mon Aug 17 19:37:00 PDT 2015 --  Finally got my Bluetooth to work in my car after months of trying to get my music to play off my phone.
Mon Aug 17 19:31:51 PDT 2015 --  When Bae retweets my tweet but doesn't favorite it @jessjo11
Mon Aug 17 19:16:18 PDT 2015 --  Procrastination has been my bestie since forever. I really wonder how and when my summer reading will get done
Thu Aug 13 07:51:41 PDT 2015 --  this is me pic.twitter.com/L1sNXb08RG
Fri Aug 14 07:47:02 PDT 2015 --  how the signs show they love you pic.twitter.com/nyJL5GDveL
Tue Aug 11 20:50:27 PDT 2015 --  Cortisone shots are weird. They kill for the 2 days but then the pain will magically disappear and make u fell all better. Knee kills rn
Tue Aug 11 15:22:56 PDT 2015 --  2nd cortisone shot today... And it's been under a month since the last one
Mon Aug 10 18:14:35 PDT 2015 --  Just updated my library cards that expired in 2013. It's not like I ever nor will ever use it
Sun Aug 09 11:11:35 PDT 2015 --  pic.twitter.com/eEtlqZmuWg
Wed Aug 05 17:30:12 PDT 2015 --  Don't be..... pic.twitter.com/1xoywLoKcX
Wed Aug 05 15:15:14 PDT 2015 --  Gonna get this done for you !! I promise this album will be amazing ..
Wed Aug 05 21:45:03 PDT 2015 --  Season 11 of Grey's Anatomy is coming back on Sept. 24!! Only 6 days after my bday! Thanks for the belated gift Shonda Rhimes! So excited!!
Tue Aug 04 20:02:13 PDT 2015 --  pic.twitter.com/clCJNPhXlU
Tue Aug 04 19:28:04 PDT 2015 --  ZAYN AND PERRIE'S ENGAGEMENT WAS CALLED OFF. THIS MEANS ZAYN IS SINGLE. I STILL HAVE A CHANCE!!
Mon Aug 03 19:52:24 PDT 2015 --  I smell like a 10 layers of sunscreen #BandCampProblems
Sun Aug 02 17:36:56 PDT 2015 --  "12 things I wish I could go back and tell myself freshman year" pic.twitter.com/d9QEIO7Jjo
Sun Aug 02 23:30:15 PDT 2015 --  Sometimes you.... pic.twitter.com/aruDPZOwRs
Sun Aug 02 13:19:18 PDT 2015 --  Power went out... And it only rained for 10 mins...
Sat Aug 01 15:11:10 PDT 2015 --  When it's #NationalGirlfriendDay and you're nobody's girlfriend
Thu Jul 30 22:33:02 PDT 2015 --  Finally we get to say this ! have waited a long time but our new single Drag Me Down is out !!! http://open.spotify.com/album/7LnU0hAOYe9aq91PCKMI7A …
Thu Jul 30 20:50:01 PDT 2015 --  You don't realize improvement until someone brings up the minute you first started and realized u couldn't do it. Now it's like u r a pro
Wed Jul 29 05:15:51 PDT 2015 --  Coffee is magic
Tue Jul 28 17:54:13 PDT 2015 --  So bored that I'm going to read my summer reading book. Maybe this year I won't procrastinate. Hopefully...
Mon Jul 27 22:56:57 PDT 2015 --  Wishing Shawn Mendes had 20 more albums of music
Fri Jul 24 15:44:29 PDT 2015 --  When Karma works in your favor
Thu Jul 23 16:44:16 PDT 2015 --  Fortune cookies are NOT fortunes. They are STATEMENTS. IT IS A STATEMENT COOKIE. This very much upsets me.
Thu Jul 23 08:43:09 PDT 2015 --  #ThankYou1Dfor pic.twitter.com/larprdQ6A9
Thu Jul 23 12:37:23 PDT 2015 --  5 years of One Direction 1st year without zayn
Thu Jul 23 12:32:06 PDT 2015 --  #ThankYou1Dfor all amazing albums and songs!! We love all of them. pic.twitter.com/jfnC7ioPNk
Sat Jul 11 16:11:44 PDT 2015 --  pic.twitter.com/hjKYd7B1YA
Wed Jul 22 18:07:28 PDT 2015 --  Never going to regret anything i did for these boys #5YearsOfOneDirection pic.twitter.com/X4gdbJDIQQ
Wed Jul 22 20:10:02 PDT 2015 --  It always seems like when one thing gets corrected, something else goes wrong. I just need my swing to be perfect but it's improving
Mon Jul 20 13:42:50 PDT 2015 --  Living the single Pringle life
Sun Jul 19 20:36:35 PDT 2015 --  One Direction isn't One Direction without Zayn. It never will be the same again but I support Zayn in every way :) @zaynmalik
Sun Jul 19 20:27:04 PDT 2015 --  I'm really done waiting around.
Fri Jul 17 21:02:17 PDT 2015 --  Drinking coffee late at night is the best
Fri Jul 17 17:15:23 PDT 2015 --  I think today is the most productive day of my life
Thu Jul 16 15:38:30 PDT 2015 --  this shit is not what i signed up for when i watched one direction funniest moments four years ago
Thu Jul 16 15:40:21 PDT 2015 --  100% of the time i have no idea what the hell is going on with this boyband
Thu Jul 16 15:47:12 PDT 2015 --  My leg and arm muscles are so sore from softball yesterday but I'm happy I'm back Chondromalaciapatella got nothing on me
Tue Jul 14 16:28:07 PDT 2015 --  Somehow I always look like the bad person. The minute I start treating them how they treat me, they totally forget what they have done.
Wed Jun 24 12:40:56 PDT 2015 --  pic.twitter.com/bSo9lFlgUz
