Tue Feb 25 23:42:12 PST 2014 --  I'm up like I don't have obligations in the morning lol. #VampLife
Mon Oct 07 08:11:34 PDT 2013 --  Me and my fellow littles yesterday at initiation! #GSU #SouthernNotState #ASC #AdrenalineShowChoir… http://instagram.com/p/fK7Fbdqezl/ 
Thu Sep 05 18:52:05 PDT 2013 --  Chillin in the dorm >.< @ Southern Courtyard http://instagram.com/p/d5rK9rqezA/ 
Sat Aug 17 04:32:33 PDT 2013 --  " @bobbyharriss_: My sister just sent me this saying "I think you have this" pic.twitter.com/mQmDdYQC7x" BAHAHAHA!!!!!
Sat Aug 17 03:55:52 PDT 2013 --  Move in Day. Off to school I go! >.< #GSU17 #SouthernNotState
Thu Aug 01 20:45:33 PDT 2013 --  Who says KFC is the only place that makes popcorn chicken! #homemade #popcornchicken #delicious http://instagram.com/p/cfwKwqKe_1/ 
Sat Jul 27 09:47:53 PDT 2013 --  Why do they sterilize the needle for lethal injections?
Sat Jul 27 08:30:08 PDT 2013 --  Things escalate so quickly these days
Fri Jul 19 10:31:26 PDT 2013 --  Ooooohhhh yeah!!! Beat my first game ever!!! Wooo!!! #PS3 #GodofWar3 #excitement http://instagram.com/p/b9LrP6Ke_C/ 
Sun Jun 30 20:59:05 PDT 2013 --  Who would like to see @TreMelvin on the BET Awards of 2014?
Sun Jun 30 20:01:26 PDT 2013 --  I have to sleep with a blanket no matter how hot it is
Sun Jun 30 20:28:28 PDT 2013 --  "TURN UP MAN, I AIN'T THANKIN' NOBODY"
Sun Jun 30 20:17:12 PDT 2013 --  but why 2chainz look like some shit off the hills have eyes..?
Sun Jun 30 20:07:28 PDT 2013 --  My favorite part of the show fuck everything else >>> Reggae
Sun Jun 23 07:42:06 PDT 2013 --  The original thought behind having bridesmaids was to confuse evil spirits so they couldn’t guess who the actual bride was.
Tue Jun 18 17:00:14 PDT 2013 --  The white powder on chewing gum is actually sweetened marble dust.
Sun Jun 16 20:07:30 PDT 2013 --  Today was my 18th Birthday!!! Wooo >.< #legal #eighteen #birthday #icecreamcake #balloons http://instagram.com/p/apPLRgqe2K/ 
Sun Jun 16 16:53:16 PDT 2013 --  @jadakinss HAPPY BIRTHDAY YOU FABULOUS GIRL YOU
Sun Jun 16 14:13:08 PDT 2013 --  My little sister is all grown up now! Happy 18th Birthday @jadakinss
