Wed Dec 26 16:07:39 PST 2012 --  I still don't understand @twitter #hashtag
Wed Dec 26 15:01:03 PST 2012 --  The coolest @ashley_waite4
Fri Jul 15 23:37:57 PDT 2011 --  I wear jean shorts. #areasonwhyimsingle
Fri Jul 15 06:13:38 PDT 2011 --  @JessicaGlauser hey, I know that guy
Fri Jul 01 23:04:45 PDT 2011 --  My clan lost faith and were devoured by that beast, the clever mistress. I go it alone, to face the treacherous Muse.
Tue Jun 28 11:01:36 PDT 2011 --  I gave her my heart. Lets see what she does with it.
Mon Jun 06 09:50:02 PDT 2011 --  I use the inside of my pockets as napkins.
Tue May 31 15:11:41 PDT 2011 --  Discarded a parasite today. I hope to notice an increase in life-blood.
Fri May 27 06:33:32 PDT 2011 --  Hung out with @Voldemort again last night. He's just a real sweetheart.
Thu May 26 06:24:23 PDT 2011 --  Last night swing dancing #funwhileitlasted. Next week starts contemporary workshop!
Wed May 25 14:09:41 PDT 2011 --  I'm having a good hair day.
Wed Jun 30 19:32:17 PDT 2010 --  Just downloaded @OwlCity Umbrella Beach remix. Get your copy here: http://repub.lc/oc
Wed May 05 09:42:21 PDT 2010 --  Just downloaded the @owlcity 'Umbrella Beach' Remix Free. Go to http://repub.lc/oc to download and find out info about OC Live from London!
Mon Apr 13 12:56:57 PDT 2009 --  I'm way excited for the Tea Party on Wednesday! I'm going to beg someone to take my shift. I'll be there!!
Sat Apr 11 15:37:15 PDT 2009 --  I was tired of not knowing what Twitter was, so... I signed up! Now if only I could find my friends...
