Mon Aug 17 00:35:01 PDT 2015 --  #مفیش احلی من هیگ pic.twitter.com/SDUk8BcPWm
Wed Jul 08 05:50:05 PDT 2015 --  فاما الیتیم فلا تقهر
Mon Mar 23 01:57:18 PDT 2015 --  #الدنيا مش مستاهله #hoso pic.twitter.com/1WSHgwIQAf
Fri Nov 14 05:25:38 PST 2014 --  ؟!
Tue Sep 23 09:48:50 PDT 2014 --  اهداف مباراة الزمالك الأخيرة أمام طلائع الجيش اليوم 6-1 يوتيوب مباشرة http://www.ajyalnews.com/sports/2014/11979.html …
Tue Sep 02 10:06:56 PDT 2014 --  pic.twitter.com/9W8PbJB9A2
Thu Jul 31 11:58:48 PDT 2014 --  يوم لا ينفع مال ولا بنون الا من اتي الله بقلب سليم
Fri Apr 04 04:13:39 PDT 2014 --  ilove you
Thu Apr 03 22:26:49 PDT 2014 --  قال تعالى: { وَمَن يَعْمَلْ سُوءاً أَوْ يَظْلِمْ نَفْسَهُ ثُمَّ يَسْتَغْفِرِ اللّهَ يَجِدِ اللّهَ غَفُوراً رَّحِيماً } النساء110
Thu Apr 03 22:26:28 PDT 2014 --  أثنى الله على المستغفرين بأوقات السحر فقال: [وَالْمُسْتَغْفِرِينَ بِالأَسْحَارِ] استغفروا لأنفسكم ووالديكم غفر الله لي ولكم
Thu Apr 03 22:26:00 PDT 2014 --  قَالَ اللَّهُ تَعَالَى : { وَبِالأَسْحَارِ هُمْ يَسْتَغْفِرُونَ } أستغفر الله العظيم وأتوب إليه أستغفر الله العظيم وأتوب إليه
Thu Apr 03 22:25:35 PDT 2014 --  أستغفرالله أستغفرالله أستغفراللهأستغفرالله أستغفرالله أستغفرالله أستغفرالله أستغفرالله أستغفرالله أستغفرالله
Thu Apr 03 22:24:56 PDT 2014 --  ومن يتوكل علي الله فهو حسبه صدق الله صدق الله العظيم
Tue Mar 11 02:32:11 PDT 2014 --  ده كلام بقي ده اسمه كلام بتخاف..ليه من الايام معقول..يا حبيبي انساك انساك..ياحبيبي ازاي ومعاك..العمر الجاي دي سنين بحلم بلقاك لو حبك نار
Tue Mar 11 01:06:22 PDT 2014 --  pic.twitter.com/mXVYTmRz0K
Mon Mar 10 23:49:43 PDT 2014 --  يمتلئ تويتر بالمواعظ وتخلو المساجد من / المصلين .!!
Mon Mar 10 23:49:25 PDT 2014 --  لآ تتردد فيّ آلعوّدهہ إلى آلله مَهمآ لوثتكَ آلخطآيا وآلذنوبّ ؛ فَ آلذي ستركَ وأنت تحتَ سقفِ آلمعصّيہ لن يفضحكَ وأنت تحتَ جنآحِ آلتوبہ
Mon Mar 10 23:48:57 PDT 2014 --  من باع الثمـين بلا ثمن اشترى الرخيص بأغلى ثمن " أعد قراتها بتأمل !!
Mon Mar 10 23:39:58 PDT 2014 --  تاريخ الحضارة البشرية وكل ما أبدعه الإنسان على مر العصور.. كل ذلك الجمال أصبح اليوم في خطر.. الجهل اليوم أقوى وسيحطم كل شيء !
Mon Mar 10 11:21:18 PDT 2014 --  ، لم أتغير على أحد ولكن أحب راحه بالي من يرى أني قد تغيرت ف لينظر لنفسه ماذا فعل ..♡̷̷̷̷̷̷̷"
Mon Mar 10 11:20:33 PDT 2014 --  pic.twitter.com/ZF1vRFCOTi
Mon Mar 10 10:59:04 PDT 2014 --  الا بذكر الله تطمئن القلوب صدق الله العظيم
Mon Mar 10 10:56:55 PDT 2014 --  Download the free Twitter app https://about.twitter.com/ar/download  عبر @twitter
