Wed Aug 12 09:00:27 PDT 2015 --  That moment when you wake up and you try to use your mouthwash as toothpaste. Ugh.
Wed Aug 12 00:34:57 PDT 2015 --  When I ask "Who's up" on Snapchat, and I don't get a reply, but I see 8 people have viewed it, I expect a response! You ain't sneaky!!!
Wed Aug 12 00:19:54 PDT 2015 --  Colorado sure sounds nice right about now. Actually, anywhere out of Batesville for an extended amount of time sounds good about now as well
Wed Aug 12 00:16:05 PDT 2015 --  Yet, if you want someone to be honest about you, can you really blame them for their opinion? It's as if you were asking to start shit!
Wed Aug 12 00:14:59 PDT 2015 --  Actually, people who do TBH stuff pick the ones they'd respond to because it's good things. Nobody wants to hear bad things said about them!
Wed Aug 12 00:13:51 PDT 2015 --  Have you ever wanted to do a TBH but then back out because you're too blunt or because you really don't want to be honest to some people?
Wed Aug 12 00:12:03 PDT 2015 --  Actually, probably not. I'll end up getting distracted and shit. Ask me questions and I may just get back to you though!
Wed Aug 12 00:09:25 PDT 2015 --  I feel like the more I drink, the more honest tweets I'll end up producing about random things.
Wed Aug 12 00:05:53 PDT 2015 --  I was never like this in the Army. Now that I'm out, nothing gets me going like it used to.
Wed Aug 12 00:04:38 PDT 2015 --  I realize that I have no drive. I lack motivation. All I'm doing is going through the motions towards an end-result.
Mon Aug 10 17:30:08 PDT 2015 --  There's always someone who does something that makes you want to end up getting drunk by 8:00pm. You are successful in ruining my day.
Tue Aug 04 08:57:00 PDT 2015 --  And if I don't last, then I owe her my number. #WinWinSituation @RondaRousey
Tue Aug 04 08:52:49 PDT 2015 --  I've never been in a fight before, but if I can last more than 30 seconds in the ring with @RondaRousey then she owes me a date.
Tue Aug 04 01:09:02 PDT 2015 --  Right now I'm deep in the feels. My grandpa was my rock. The one that showed me love like no other. I… https://instagram.com/p/59EcpmEinv/ 
Wed Jul 22 16:41:36 PDT 2015 --  #MichaelBradley will be the one to save us. He's getting closer and closer to getting the equalizer
Wed Jul 22 16:11:51 PDT 2015 --  Dadgum #Bradley for a gooooooaaaaaaaallllll #USAvsJAM #CONCACAF
Wed Jul 22 15:29:36 PDT 2015 --  Nothing ever to do on my day off.
Wed Jul 22 15:24:42 PDT 2015 --  Maybe threeeeeeeee @BlvrShagnasty
Wed Jul 22 15:24:30 PDT 2015 --  Or two. @BlvrShagnasty
Wed Jul 22 15:24:13 PDT 2015 --  I enjoy having a beer with one of my closest buds @BlvrShagnasty
Wed Jul 22 12:23:20 PDT 2015 --  #WordOfAdvice to all the fellows out there: Refrain from hugging anyone right after you wake up. #Awkward @joranderdanson
Mon Jul 20 10:24:34 PDT 2015 --  put your mcd's french fries to your ears and you will hear pumping basslines, pulsating synthesizers and cheesy vocals: it's the trance fats
Sun Jul 19 14:23:46 PDT 2015 --  its funny bc people think im quiet but im just listening to everyones convos and figuring out ur weaknesses to destroy u later in life
Sun Jul 19 20:07:54 PDT 2015 --  I swear I'm good at Baggo.Even though it takes me until the end of the second game of a double elim. tourney after one loss to figure it out
Sun Jul 12 17:55:56 PDT 2015 --  This whole not smoking thing is killing me. Not so much as cigarettes killing me, but it's still pretty bad. #CanBreatheAgain
Sun Jul 12 17:54:46 PDT 2015 --  I wish I could get paid to watch Netflix all day. I mean, I technically was paid in the army to get drunk #SalaryLife
Sat Jul 11 13:50:05 PDT 2015 --  This speaks Volumes pic.twitter.com/DIDxvucrsZ
Sat Jul 11 14:37:35 PDT 2015 --  Here I am. Back in bed. Because apparently nothing happens when I'm off work. By God when I am at work, my phone is blowing up. #LifeLogic
Sat Jul 11 10:40:10 PDT 2015 --  The last time someone dropped me a pin, some back woods, Hills Have Eyes rednecks almost got a hold of me @Chris_Top_Her_
Sat Jul 11 10:11:21 PDT 2015 --  What is there to do on a Saturday?! I need ideas people! Preferably within the confines of my bed but I'm almost willing to compromise.
Sat Jul 11 09:51:08 PDT 2015 --  But holy shit. Ambien will kick your ass
Sat Jul 11 09:50:10 PDT 2015 --  Just to let you guys knows, I wasn't abusing drugs. I am prescribed Ambien through the VA as needed for sleep.
Sat Jul 11 00:37:57 PDT 2015 --  This shit is tough. It looks like everything in my room is swaying
Sat Jul 11 00:28:56 PDT 2015 --  Maybe drinking Pineapple juice and shells and cheeze will make the experience better?
Sat Jul 11 00:28:23 PDT 2015 --  Currently, my body is being sluggish. I want walk correctly without going from wall to wall
Sat Jul 11 00:27:51 PDT 2015 --  Currently doing an experiment with Ambien. Took one 10mg pill.
Fri Jul 10 23:22:20 PDT 2015 --  I don't need a therapist whenever my dad knows exactly what to say. Instead of paying hundreds of dollars, his fee is love.
Fri Jul 10 23:21:40 PDT 2015 --  If it wasn't for my dad, I don't know where I'd be. Either in a bad part of life or 6 feet under.
Fri Jul 10 22:06:22 PDT 2015 --  And I'm somewhat content.
