Sat Aug 29 03:33:52 PDT 2015 --  at least it's light out, thank god
Sat Aug 29 03:20:23 PDT 2015 --  after leas than 3 hours of sleep every part of me is in denial about having work at 7
Fri Aug 28 22:28:40 PDT 2015 --  this toll is $3.50? are you fucking kidding
Fri Aug 28 19:24:01 PDT 2015 --  airlines are always advertising their leg room. personally i care much more about elbow room
Fri Aug 28 15:45:17 PDT 2015 --  i gotta get one of those phone screen protectors that make it so people around you can't see your phone screen
Fri Aug 28 15:41:45 PDT 2015 --  the randos i'm sitting with have the window closed. i chose poorly *sigh*
Fri Aug 28 15:36:26 PDT 2015 --  my flight outta denver boarded at 4:20 heh heh
Fri Aug 28 13:57:33 PDT 2015 --  we missed our flight by 2 minutes last week, so to make up for it we're an hour and a half early this time
Thu Aug 27 20:53:44 PDT 2015 --  we're parked so my parents can nap. i'm wide awake, but since i'm not 21 i can't drive the rental car. *sigh*
Wed Aug 26 20:58:57 PDT 2015 --  drives me nuts when people are indirect. if there's something you wanna say fucking say it, none of this hinting crap
Wed Aug 26 20:33:45 PDT 2015 --  Even after years of spending time with them, I'm juuuust not sure whether my soulmate is Anthem or Ermias.
Wed Aug 26 20:28:25 PDT 2015 --  not that having a fire alarm would likely save me, because fun fact i slept through a fire alarm in preschool
Wed Aug 26 20:26:40 PDT 2015 --  there's no fire alarm in this hotel room. i really hope i don't die in a fire tonight
Wed Aug 26 17:01:00 PDT 2015 --  sometimes i think the only thing that i have in common with other parts of the country is NPR
Wed Aug 26 15:45:17 PDT 2015 --  THAT IS SO COOL https://twitter.com/stephen_wolfram/status/636596061046444032 …
Wed Aug 26 06:15:44 PDT 2015 --  Our Society has been different since the Plague/Flood/Rebellion.
Tue Aug 25 22:27:51 PDT 2015 --  i miss massachusetts, where i am not at risk of puncturing the earth's surface and dying the in 300° acid that lies beneath
Tue Aug 25 19:25:47 PDT 2015 --  i once wrote you postcards, you never wrote back, you promised me you would and i'm still waiting on that
Tue Aug 25 12:22:43 PDT 2015 --  morrocco would be cool too
Tue Aug 25 12:16:23 PDT 2015 --  i also really wanna see the fjords
Tue Aug 25 08:30:08 PDT 2015 --  my mom wandered off without her cell phone. i'm trying to track her down and it feels like i'm back in the 90s
Mon Aug 24 22:36:11 PDT 2015 --  do you ever jusy kinda bare your soul a little and the person is dismissive and you kinda just wanna die
Mon Aug 24 22:09:13 PDT 2015 --  i cant wait to see the world
Mon Aug 24 22:09:08 PDT 2015 --  when i graduate i wanna take trains around america and europe and asia and hike and camp and stay in youth hostels and eat weird groceries
Mon Aug 24 13:46:43 PDT 2015 --  If you think someone doesn't like you, take initiative and decide that you don't like them either.
Mon Aug 24 08:43:40 PDT 2015 --  This is a lot of responsibility, being 16 and being the only one who recognizes the problems with totalitarianism.
Mon Aug 24 06:02:04 PDT 2015 --  In my view, corporations should not be allowed to make a profit by building more jails and keeping more Americans behind bars. #Bernie2016
Sat Aug 22 19:42:31 PDT 2015 --  why does EVERYTHING have meat on it? god forbid i don't want my salad lettuce pre-soaked in chicken stock or my veggie soup to have bacon
Sat Aug 22 19:13:22 PDT 2015 --  i don't like seeing my spirit animal's disembodied head mounted on a wall. or any other animal's for that matter
Sat Aug 22 17:53:45 PDT 2015 --  old picture of shay @WalkTwoEarths https://twitter.com/bastilledan/status/635227305141489664 …
Sat Aug 22 10:12:21 PDT 2015 --  Wait. I mean, my love for Ermias. Which one of them will make this decision harder
Sat Aug 22 10:06:56 PDT 2015 --  I have to make a choice: whether my love for Anthem is more important than the rebellion.
