Thu Aug 27 16:47:27 PDT 2015 --  My family really does deserve a reality show lol too much personality in this house
Thu Aug 27 00:11:22 PDT 2015 --  We men are stupid we'll fuck up something good just for some good time, and then try to comeback like nothing happened...
Fri Aug 28 21:32:36 PDT 2015 --  i hope you stutter when you try to say "i love you" to anyone that isn't me
Fri Aug 28 20:28:08 PDT 2015 --  lmfao her makeup is fucked up
Fri Aug 28 16:07:51 PDT 2015 --  So blessed that I have a boyfriend who thinks I'm beautiful with or without makeup and won't judge me either way. It's for me anyways
Fri Aug 28 15:06:56 PDT 2015 --  Lord Jesus once again let's appreciate her existence pic.twitter.com/krSsNp0gfn
Fri Aug 28 14:25:34 PDT 2015 --  My baby's birthday is coming up !!! I need to start saving ...
Sat Dec 20 21:23:45 PST 2014 --  just because pic.twitter.com/8ahviYuVqJ
Wed Aug 26 19:37:20 PDT 2015 --  When you write a whole paragraph explaining how/what you feel to someone & then you just delete the text bc you feel like they won't care.
Sat Aug 08 00:38:48 PDT 2015 --  " I love you " pic.twitter.com/5oRVgnQ0OX
Thu Aug 27 21:25:15 PDT 2015 --  Baby daddy right there @Missabaabe @taylor_botello https://twitter.com/whitesox/status/637055717824942080 …
Thu Aug 27 18:31:02 PDT 2015 --  Trey Songz | Slow Motion pic.twitter.com/6jQkKEL2xX
Thu Aug 27 18:06:29 PDT 2015 --  How are people able to look someone they love in the face and lie to them? I don't understand
Wed Aug 26 22:25:56 PDT 2015 --  I'm more than enough for someone.
Wed Aug 26 21:54:02 PDT 2015 --  So true pic.twitter.com/rrF6XzPWMJ
Wed Aug 26 20:23:37 PDT 2015 --  When you're scared to open and let someone in because the last person who was let in just destroyed everything you had for relationships
Wed Aug 26 21:55:43 PDT 2015 --  The next person I date has to at least be in there early 20's .. like I'm tired of dating ppl my age like they all just play fucken games
Wed Aug 26 20:50:01 PDT 2015 --  let me motherfucking love you
Wed Aug 26 14:31:49 PDT 2015 --  #daddybreezy pic.twitter.com/NBOrSc0pMw
Wed Aug 26 12:32:20 PDT 2015 --  People don’t want you until someone else has you.
Sun Aug 23 12:16:15 PDT 2015 --  stuck between "what if" and "fuck it"
Mon Aug 24 18:01:52 PDT 2015 --  THIS #RelationshipGoals pic.twitter.com/2UXMrwo1Np
Mon Aug 17 22:01:22 PDT 2015 --  do you ever look at someone and just think man I want to treat you like no one else has before
Tue Aug 25 15:44:36 PDT 2015 --  body wants sex heart wants love mind wants both
Mon Aug 24 20:46:43 PDT 2015 --  turns out it was all a lie, but at least for a short while, it was a beautiful lie.
Thu Aug 20 17:00:03 PDT 2015 --  Imagine a boy praying to God that he marries you.
Sun Aug 23 22:48:16 PDT 2015 --  am I the only one that looks forward to babying and spoiling my future husband ? Like I love that shit lol
Mon Aug 24 07:32:59 PDT 2015 --  I hope there is ugly guys in my class so I don't have to worry about looking good
Sun Aug 23 20:08:59 PDT 2015 --  This line gets everybody hype. pic.twitter.com/MrKuD6vAxQ
Fri Aug 21 18:44:29 PDT 2015 --  yes pic.twitter.com/byb6B6wTJL
Sun Aug 23 16:57:25 PDT 2015 --  Some of you are to blind to realize what you have in front of you, until it's to late
Sun Aug 23 13:38:38 PDT 2015 --  If u think they're sending you mixed signals, they're not. They don't fuck w/ u like that. Signals aren't mixed when they want really you.
Sun Aug 23 14:28:10 PDT 2015 --  late nights like this pic.twitter.com/5TxVxmzGtW
Sun Aug 23 16:52:35 PDT 2015 --  Can't believe I was so blind to believe your bullshit
Thu Aug 20 22:40:55 PDT 2015 --  Getchu a Joshua pic.twitter.com/63dlYVDmRW
Sun Aug 23 12:56:10 PDT 2015 --  Yeah… Bring it on is on! This is my shit
Sat Aug 22 22:35:11 PDT 2015 --  Parenthood dope. It has the power to change ya for the better pic.twitter.com/09NmsamO3F
Wed Aug 19 15:41:28 PDT 2015 --  pic.twitter.com/T98w6nuPTb
Thu Jul 09 20:19:23 PDT 2015 --  Wouldn't let my girl go to this pic.twitter.com/KpRBqW26s6
Tue Aug 18 19:31:51 PDT 2015 --  how you gonnna get mad when I pull a you on you?
Mon Aug 17 23:21:19 PDT 2015 --  got no time to be with a friendly ass nigga, I want a stuck up, don't talk/look at me, my gf will beat both our asses typa nigga
