Sun Aug 16 00:54:30 PDT 2015 --  "Dreams are secrets waiting to be revealed."-Me. Need more quotes????? follow and message me
Sat Aug 15 05:32:10 PDT 2015 --  when you think that your gf that follows you on here is ignoring you on purpose and is starting to hate your guts @SavannahSamuels i <3 u
Fri Aug 07 05:30:28 PDT 2015 --  Check me out! I'm a #VIP in #SmallWorlds, Booyah! http://www.smallworlds.com 
Fri Jul 24 02:38:21 PDT 2015 --  i have 150.-.
Thu Jun 18 10:35:06 PDT 2015 --  @meatwagon22 he looks just like you pic.twitter.com/lSuJrN2pCh
Thu Jun 18 07:17:06 PDT 2015 --  to hear the story of my black ops 2 name and black ops Skeletal Flash and i'll give u a hint i die i get out a better class
Thu Jun 18 07:06:01 PDT 2015 --  Retweet to hear the story
Thu Jun 18 07:05:45 PDT 2015 --  Well what happend was i re-earned my name as Skeletal Flash
Thu Jun 18 07:02:29 PDT 2015 --  Hey guess what happened to me today on call of duty black ops 2?
Tue Jun 16 09:14:54 PDT 2015 --  7 Days to Die: Fortress Meatius #18: http://youtu.be/Yi5_CA9MwCs?a  via @YouTube
Sun Feb 01 08:44:49 PST 2015 --  I just won a Master Chef White Dishwasher in #SmallWorlds Spin to Win Deluxe! What's the best thing you've won? http://www.smallworlds.com 
Sun Feb 01 08:44:41 PST 2015 --  I just won a Master Chef White Gas Range in #SmallWorlds Spin to Win Deluxe! What's the best thing you've won? http://www.smallworlds.com 
Sun Feb 01 08:44:31 PST 2015 --  I just won a Master Chef White Wall Unit in #SmallWorlds Spin to Win Deluxe! What's the best thing you've won? http://www.smallworlds.com 
Sat Jan 31 00:37:09 PST 2015 --  lol just got back on twitter enjoying the posts
Sun Dec 28 19:03:32 PST 2014 --  lol old me is below new me is missing in a monkey's ass pic.twitter.com/sGQQy1EK0u
Sun Dec 28 18:58:42 PST 2014 --  yolo and ummmmm merry late christmas :) lol srry its late
Sat Dec 13 05:29:34 PST 2014 --  anybody else tired???
Sat Dec 13 05:13:16 PST 2014 --  holy shit what is up with you people and dirty tweets you guys are making me like twitter more and more
Sat Dec 13 05:06:41 PST 2014 --  yo what up all my followers ummmm i just woke up so don't piss me off :) thanks BTW quit smoking payote
