Sun Jul 05 13:12:06 PDT 2015 --  Η παραίτηση του Α. Σαμαρά από την ηγεσία της ΝΔ είναι γεγονός.
Sat Jul 04 23:51:22 PDT 2015 --  Σήμερα αν δείτε κοπέλες με τουαλέτες και μακιγιάζ στις ουρές μπροστά από τις κάλπες μην εκπλαγείτε. Με τόσες κάμερες και μικρόφωνα ...
Thu Jul 02 07:30:18 PDT 2015 --  Swap integers pic.twitter.com/olNZTRmmoc
Wed Jul 01 06:22:39 PDT 2015 --  Μα αυτή η χώρα να μην έχει έναν σωστό πολιτικό. Ισχύει τελικά ότι αυτοί οι πολιτικοί μας αξίζουν. Μήπως ήρθε η ώρα να αλλάξουμε όλοι μας;
Wed Jul 01 06:13:35 PDT 2015 --  μάλλον θα αρχίσω να ετοιμάζω τα δικά μου σχέδια Β αφού δεν τα έφτιαξε η κυβέρνηση για μένα ...
Wed Jul 01 04:33:42 PDT 2015 --  εδώ θέλω να κάτσετε όλοι,μην πάθετε εγκεφαλικό..θέμα ο Δήμος Πειραιά.. συνολικές οφειλές Δημόσιο/Ασφ Ταμεία 0,6 δις!! pic.twitter.com/VdYSQ71lKy
Mon Jun 29 06:13:03 PDT 2015 --  The European workers who work the longest hours http://i100.io/oEAZJHb  pic.twitter.com/WRwgh4nMnY
Mon Apr 13 21:19:32 PDT 2015 --  Μήπως να κοινοποιήσουμε το θερινό ωράριο των πλοίων από παραμεθόριες περιοχές για να γνωρίζουν οι λαθρομετανάστες πότε να περνάν τα σύνορα;
Sat Apr 11 10:40:34 PDT 2015 --  Φέτος το #Πάσχα ας τσουγκρίσουμε στο σπίτι & όχι στο δρόμο.Ταξιδεύουμε με ασφάλεια #hellenicpolice pic.twitter.com/B8JktbcGZT
Fri Feb 20 09:47:27 PST 2015 --  First substantial rumors about agreement between Trojka and Greek government in the current Eurogroup.
Tue Feb 17 14:16:15 PST 2015 --  In case of #grexit SYRIZA will slam the door so hard that the EU will collapse @paulmasonnews
Tue Feb 17 14:14:55 PST 2015 --  Paul Mason πριν λιγο στις #360moires :" η Μερκελ προσπαθεί να τους ενώσει όλους+να βρει λύση, ο μεγάλος εχθρός της Ελλάδας ειναι ο Ραχόι."
Mon Feb 16 13:29:48 PST 2015 --  Παρά το τελεσίγραφο του Eurogroupο ο Υπ. Οικονομικών δήλωσε πεπεισμένος ότι σίγουρα θα υπάρξει συμφωνία σε 2 μέρες. Τί δε γνωρίζουμε;
Mon Feb 16 12:12:56 PST 2015 --  Ο κ. Βαρουφάκης είπε κάτι φοβερό: "Αποσύρθηκε κείμενο που μπορούσα να υπογράψω". Γιατί οι Ευρωπαίοι το απέσυραν και επέλεξαν τον εκβιασμό;
