Sat Aug 29 08:58:48 PDT 2015 --  Time for Brendan to go. #LFC
Fri Aug 28 21:36:29 PDT 2015 --  If you want a vibrant thriving downtown you have to let it be vibrant and thriving...and that might just be past your bed time.
Fri Aug 28 21:35:04 PDT 2015 --  Just witnessed a mob of ALE/Fire Marshall/Raleigh PD hit Calavera over this sidewalk mess. I live above this building. Let them be
Fri Aug 28 21:27:19 PDT 2015 --  Please vote these backwards City Council members out of office in the next election. Let Raleigh Live.
Fri Aug 28 21:26:23 PDT 2015 --  For the record. As a DT Raleigh resident...this policing of the sidewalks/makeshift barriers is the biggest eyesore/cluster ever.
Thu Aug 27 09:03:25 PDT 2015 --  Tonight..if you like free things. Come hang https://twitter.com/newreveille/status/636920476816814080 …
Tue Aug 25 17:06:07 PDT 2015 --  Playing this on Thursday with @NewReveille . It's free and stuff. Come hang pic.twitter.com/IS0FlBXHfo
Tue Aug 25 07:36:32 PDT 2015 --  Mo-August
Mon Aug 24 07:51:59 PDT 2015 --  This is why I've been burying my money in the forest. Who's laughing now?
Fri Aug 21 12:28:42 PDT 2015 --  Goat is Famous. https://twitter.com/railhawksfc/status/634802245977047040 …
Thu Aug 20 18:43:33 PDT 2015 --  Free beers, Jimmy Johns, and Soccer. Come. https://twitter.com/ocsraleigh/status/634514930956402688 …
Mon Aug 17 15:41:26 PDT 2015 --  If you see this bike...Punch the rider immediately, and give me a call. #Thieves pic.twitter.com/mwrIfgwOJm
Mon Aug 17 15:39:09 PDT 2015 --  Evidently someone stole my bike? Who even does that anyone? Come on Raleigh.
Sat Aug 15 11:18:52 PDT 2015 --  Yo Raleigh! Support your local club. Viewing party for @RailHawksFC away at 4pm tomorrow @londonbridgepub . Spread the word
Fri Aug 14 16:43:35 PDT 2015 --  Any rad shows in Raleigh tonight?
Fri Aug 14 05:40:27 PDT 2015 --  Once in a while Starbucks, I visit your overpriced store for an orange refresher. Today I learn you've discontinued this treat. We're over.
Thu Aug 13 18:09:33 PDT 2015 --  After these new patio laws...they might as well just cancel fall.
Sun Aug 09 10:00:21 PDT 2015 --  Worth the 6am wake up and four hour drive. https://twitter.com/lfc/status/630422030018609154 …
Sun Aug 09 09:45:00 PDT 2015 --  OH SWEET HOLY GOD I LOVE YOU PHIL COUTINHO!
Sun Aug 09 07:05:06 PDT 2015 --  Not only is Sahko not starting...he's not on the bench...Can on the bench as well. Gees #LFC https://twitter.com/lfc/status/630378251337207808 …
Sun Aug 09 03:44:55 PDT 2015 --  Leaving OBX at 6:30am to catch the Liverpool season opener with @LFCRaleigh #YNWA
Wed Aug 05 23:28:48 PDT 2015 --  Ended the night with a stirring rendition of Eddie Money's 'Take me home tonight.' You're welcome #OBXKaraoke
Wed Aug 05 21:23:24 PDT 2015 --  They didn't have my Missy Elliot song...so I sang PYT... Vacation. #OBXKaraoke
Wed Aug 05 21:22:36 PDT 2015 --  There's a dude who acts wicked calm...then he sings, he acts like the highest person I've Ever seen #OBXKaraoke
Wed Aug 05 21:21:49 PDT 2015 --  There's a dude singing Miss Murder...in boat shoes. #OBXKaraoke
Wed Aug 05 21:21:19 PDT 2015 --  I'm at #OBXKaraoke
Tue Aug 04 17:41:24 PDT 2015 --  I've never played this before....but Imma try. Join if you'd like. https://twitter.com/ocsraleigh/status/628716695381757953 …
Sat Aug 01 19:13:08 PDT 2015 --  We'll miss you @WesleyTKnight , you've played every minute since I started this club. Thanks. @RailHawksFC https://twitter.com/ocsraleigh/status/627663057154654208 …
Fri Jul 31 19:19:57 PDT 2015 --  My favorite bar just bought the bar next door. Congrats @londonbridgepub #Inception
Wed Jul 29 10:22:06 PDT 2015 --  Huge home game on Saturday vs Tampa Bay. Help us spread the word. @RailHawksFC pic.twitter.com/KLwsnpXm4M
Tue Jul 28 13:34:42 PDT 2015 --  Never been more scared on an elevator. #WheresSherryBerry ? pic.twitter.com/GG0gCFIpb0
Tue Jul 28 12:21:45 PDT 2015 --  The team's fan pelt the opposition with glass and Miguel can't get away with a single punch? Where is the justice. https://twitter.com/espnfc/status/626105527370678272 …
