Fri Aug 14 11:55:49 PDT 2015 --  Si usted me odia sin conocerme.. Conozcame!! Para que me odie mas
Sun Jul 26 21:06:59 PDT 2015 --  Respeto muuuy cañón la congruencia... la gente incongruente me caga
Wed Jul 22 20:31:14 PDT 2015 --  PEEEEEEENAAAAALLLLL!!!!!
Tue Jul 21 09:19:42 PDT 2015 --  ¡Vive una experiencia al estilo #MisiónImposible #NaciónSecreta! Te esperamos HOY en Cinépolis Plaza Universidad. pic.twitter.com/q7DIZSo7Ka
Tue Jul 21 09:39:07 PDT 2015 --  No se pierdan el programa estará buenísimo. https://twitter.com/XEMarile/status/623530635458691072 …
Tue Jul 21 09:54:41 PDT 2015 --  No olviden votar por su meme favorito de ayer a ver quien es el ganador https://www.facebook.com/yosstop/posts/835819626501361 …
Tue Jul 21 10:00:56 PDT 2015 --  —¿Te puedo llamar? —Perdí el celular. —¿Entonces a tu casa? —Perdí mi casa.
Tue Jul 21 00:02:58 PDT 2015 --  Las malas noticias me la pelan, yo siempre la libro
Mon Jul 20 21:31:33 PDT 2015 --  Pobre @DebRyanShow ahora no lo bajan de rata, todo por conseguirse amigas GATOTAS, por eso prefiero ser "mamona" que tener esa gentuza cerca
Tue Jul 21 09:41:55 PDT 2015 --  Pobre Sookie, se le caen y se le caen los dientitos jaja
Mon Jul 20 20:03:33 PDT 2015 --  Un jugador se lesiona si no calienta bien, si es mucho esfuerzo, en una entrada fuerte y en cualquier partido en Estados Unidos. #Llanero
Tue Jul 07 17:08:05 PDT 2015 --  Situación sentimental: aquí dándole de tragar a los pinches zancudos. pic.twitter.com/2RpPiHALjj
Tue Jul 07 14:53:56 PDT 2015 --  "No pues esta cabron" –Y siempre cuando me platican algo y me vale verga
Mon Jul 06 18:51:29 PDT 2015 --  . @neymarjr supuestamente en estado de ebriedad, en una fiesta en Brasil durante sus vacaciones VIDEO: https://youtu.be/1DUUWEzhbD8 
Mon Jul 06 19:45:32 PDT 2015 --  Y que nos llueve!! #wrigleyfield https://instagram.com/p/40ZKt_uyI0/ 
Fri Mar 20 10:54:33 PDT 2015 --  Solo uno jajaja pic.twitter.com/llTc3ljqPg
