Mon Aug 24 16:32:14 PDT 2015 --  Find me soon You... "quiver"
Mon Aug 24 15:26:30 PDT 2015 --  For @papusaloca pic.twitter.com/1Zsqzdr8qi
Mon Aug 24 15:21:44 PDT 2015 --  I wasted my time with many a fool. Turns out I was the foolish one. I pushed him away, and I know now I loved and was loved. #toolatenow
Fri Aug 07 12:58:16 PDT 2015 --  Nobody's imperfect enough for me.
Sat Aug 22 20:04:13 PDT 2015 --  I came here to be the person I am not je judged and to be honest say dirty shit. Need to grow the audience a bit
Thu Aug 20 16:21:51 PDT 2015 --  Before the inkjob. I think I made a good choice. Something to take your eyes off my perfect tits. pic.twitter.com/kU4ZrR5TRT
Wed Aug 19 13:33:56 PDT 2015 --  Going big. Instagram. Kinda confused. Hope they like me
Mon Aug 17 07:16:03 PDT 2015 --  3 2 1...
Fri Aug 14 14:04:20 PDT 2015 --  I'm bi-curious but the women always understand more so than the men ever will, comments?
Fri Aug 14 13:44:24 PDT 2015 --  We are all here. pic.twitter.com/ykmgW59Qjm
Fri Aug 14 13:24:49 PDT 2015 --  Seems like yesterday that I had to eat all that ice cream. Had someone to share it with then. #steppedonheart pic.twitter.com/umlS5hYw2r
Fri Aug 14 13:21:35 PDT 2015 --  Go ahead and take it. Just make sure you crush me after. Thief.
Fri Aug 14 09:06:08 PDT 2015 --  Bottom line, men love breasts, babies love breasts & hell yea! women love their breasts, let's face it; we're a breast loving species
Fri Aug 14 13:02:15 PDT 2015 --  This can go only nowhere. Downhill from here is a certainty. Wouldn't you do anything for me? pic.twitter.com/JEZG1amIgS
