Tue Jul 28 08:40:27 PDT 2015 --  When I step on the floor, people should know who I represent, who I believe in 🏾️🏽
Sat Jun 27 19:40:20 PDT 2015 --  Love me sum @Ieshiasmall24 ..im a Maryland fan now...where Ever she plays i support..do your thang mama.. @EssenceGirlsBB1
Wed Jun 24 12:07:57 PDT 2015 --  5 #FGB 2016 Players already committed! The most in FL or GA pic.twitter.com/vuAsiMXA7V
Tue Jun 23 20:53:34 PDT 2015 --  THE LBD LEGACY CONTINUES
Tue Jun 23 20:53:07 PDT 2015 --  Shantrice Solomon..the 11th winter haven player to win the player of year award..ooo and there's many more to come pic.twitter.com/aHNpjGo1vu
Tue Jun 23 20:51:28 PDT 2015 --  Me n cuzo T-Mac..i picked up my 4th coach of the year award.. He was inducted into the polk county hall of fame.. pic.twitter.com/LbpI4mLwXc
Tue Jun 23 15:44:50 PDT 2015 --  #Pcasa15 shout out to coach talbot winter haven AD and coach Haggins Kathleen track coach.. #bestADever
Tue Jun 23 15:37:19 PDT 2015 --  #pcasa15..t-mac thanks for all you do 4 the winter haven girls progam.. #tmacandLBD
Tue Jun 23 15:37:17 PDT 2015 --  N we are still the best of friends @ladyhornet93
Tue Jun 23 15:37:17 PDT 2015 --  So awesome 2 watch coach @ladyhornet93 do her thing..i always was learn something from her..i remember the epic battles we had whhs n hch..
Wed Jun 03 15:34:25 PDT 2015 --  Maddison Wells is the 1st BCS verbal commit from Winter Haven since 2008 and Tiffant Hayes so proud of Maddison! #FGB
Tue Jun 02 14:21:22 PDT 2015 --  5'7/G/2015 Shaterrika O’Neal of Winter Haven HS (FL) committed to @FGCU_WBB, per her coach @LBDDEVILS. #WingsUp
Thu May 28 12:00:20 PDT 2015 --  2016 Maddison Wells of @LBDDEVILS is nearing a visit date with an American Conference program all the scoop on @KallinaScouting
Wed May 27 11:30:23 PDT 2015 --  My God son doing big things pic.twitter.com/XM3Ly1KKG1
Wed May 27 11:29:50 PDT 2015 --  My God son doing big things pic.twitter.com/LWY5Gh45Hg
