Fri Aug 28 15:20:03 PDT 2015 --  RT for Calum and RJ #ShesKindaHotVMA pic.twitter.com/cbsWXmOryv
Tue Aug 25 15:31:56 PDT 2015 --  Check out my answer to todays assignment at http://Nabisco5SOS.com !Turn in yours now for a chance to WIN #Nabisco5SOS pic.twitter.com/Sy4mgGg5Ku
Thu Jul 16 15:52:51 PDT 2015 --  I adore you guys. I hope you know that
Fri Jul 10 22:02:24 PDT 2015 --  Wow ! Crazy isn't it ... Love ittttttt https://twitter.com/louis_tomlinson/status/619656053039497217 …
Mon Jul 06 09:39:02 PDT 2015 --  HAPPY BIRTHDAY @Ashton5SOS congratulations on being so muscular, ruggedly handsome, luscious and getting funnier every day. see you soon
Mon Jun 29 19:07:25 PDT 2015 --  Hair cut the other day with curly hair pic.twitter.com/X1FVKHcbpW
Mon Jun 22 20:06:26 PDT 2015 --  brakoda haircut (:
Mon Jun 22 20:07:38 PDT 2015 --  brakoda haircut !!
Sat Jun 20 13:45:04 PDT 2015 --  Ok retweet for a follow / fav for a dm
Fri Jun 12 18:52:45 PDT 2015 --  rt for a dm
Fri Jun 12 15:00:35 PDT 2015 --  go watch @WALKsquad on younow !!
Tue Jun 02 12:27:05 PDT 2015 --  Hey @AlterThePress I want to win tickets to see @5SOS in Louisville, Kentucky #5SOSATP
Sun May 24 19:01:02 PDT 2015 --  @LovedayBryanna Happy birthday! Bob Dylan, Carter Reynolds and Christian DelGrosso have the same bday as you!
Sun May 24 19:07:01 PDT 2015 --  Happy Birthday to one of the sweetest girls I know Love you so much Breezy @LovedayBryanna pic.twitter.com/6saLWgl3WL
Sun May 10 08:54:45 PDT 2015 --  come see me and @imdakotabrooks in NJ and take cute pics w/ us with the "brakoda pass" we will be @pressplayontour over the summer!
Thu Apr 16 13:46:54 PDT 2015 --  Rt if we should come back to the East Coast pic.twitter.com/WagdbajZyt
Thu Dec 25 16:13:08 PST 2014 --  Follow Spree for Christmas?! :)
Sun Dec 21 18:16:33 PST 2014 --  Come see @Simonbritton_ live on @YouNow! Watch: http://www.younow.com/Simonbritton_/29543191/2408397/12/b … http://twitter.com/LovedayBryanna/status/546851755519004674/photo/1pic.twitter.com/GzmKZ3fSsu 
Sun Dec 21 18:09:59 PST 2014 --  Thou shalt watch @Simonbritton_ live on @YouNow! http://www.younow.com/Simonbritton_/29543191/2408397/12/b … http://twitter.com/LovedayBryanna/status/546850102841593856/photo/1pic.twitter.com/PIK7wSGZFR 
