Fri Aug 28 12:44:55 PDT 2015 --  First week of school and I'm already relieved it's a Friday
Thu Aug 27 07:16:09 PDT 2015 --  If we’re dating, you can have your freedom… You’re not my prisoner. Just stay loyal and be honest. That’s all I ask.
Tue Aug 25 06:16:58 PDT 2015 --  Update: the summer before my senior year I didnt get to work this out, go my own way, bet on it, or crash a talent show #disappointing
Fri Aug 21 11:17:09 PDT 2015 --  I think I've found the best vine ever made https://vine.co/v/OvBFObqzuXw 
Mon Aug 17 14:30:42 PDT 2015 --  Incoming seniors: pic.twitter.com/wNsmhPOGSP
Sun Aug 16 20:28:23 PDT 2015 --  Sometimes I feel like I should be artsy and cute then other times I feel like I should be a rebel. Then I realize I'm too lazy for either
Sun Aug 16 08:41:29 PDT 2015 --  Yeah these shorts fit me as long as I don't sit down, step up, or eat
Sat Aug 15 22:29:49 PDT 2015 --  Texting friends in different time zones when it's 1:30 for them. LOL
Wed Aug 12 18:43:36 PDT 2015 --  Me: watches movies just to listen to the score
Tue Aug 11 14:45:58 PDT 2015 --  #NowImMad @McDonalds style pic.twitter.com/yKkADKpvkN
Tue Aug 04 19:01:11 PDT 2015 --  I burned my neck. Yes. My my whole neck. I have issues. Thank you, band camp.
Fri Jul 31 12:37:57 PDT 2015 --  Shoutout to fast food workers working drive through who make the customers drinks as they order them and then have the order canceled
Wed Jul 29 13:43:53 PDT 2015 --  I want donuts. I need donuts. I can't have donuts. I work at a donut shop.
Mon Jul 27 17:25:38 PDT 2015 --  Little late in the game but I guess Twitter is a thing among the youth?
