Sat Aug 29 04:37:45 PDT 2015 --  I need me one pic.twitter.com/rajSZoMDAz
Fri Aug 28 23:28:31 PDT 2015 --  I never understood girls who go to the gym just to chill & take pictures to flex on social media when they really aren't working out lmao
Fri Aug 28 21:31:28 PDT 2015 --  #Virgo knows clearly what they want and dont want.
Fri Aug 28 01:03:39 PDT 2015 --  When she yells at you cause you wouldn't give her your phone pic.twitter.com/RypXZtr4Ap
Thu Aug 20 20:01:44 PDT 2015 --  NIGGAS ROASTING BIRDS IM OUT pic.twitter.com/nvo3ZxNLZJ
Thu Aug 27 07:28:37 PDT 2015 --  one thing i learned is if someone shows you their true colors believe it
Thu Aug 27 11:51:25 PDT 2015 --  Wondering how to grow on twitter? I gained 1 follower in the past day. This is the app: http://www.crowdfireapp.com/?r=td 
Wed Aug 26 11:52:06 PDT 2015 --  Growing and engaging with the right tweeps - gained 1 new follower in the past day, courtesy http://www.crowdfireapp.com/?r=td 
Tue Aug 25 17:03:13 PDT 2015 --  If your girlfriend doesn't drive you crazy then you got the wrong girl bruh.
Tue Aug 25 17:48:49 PDT 2015 --  All I need a bae for is good sex and snacks but a little love and affection would be nice too
Fri Aug 21 21:24:11 PDT 2015 --  When you accidentally send the screenshot to the person you screenshotted
Thu Aug 20 20:00:58 PDT 2015 --  "You put two and two together Cole here forever."
Thu Aug 20 21:00:37 PDT 2015 --  "Born sinner, was never born to be perfect."
Tue Aug 25 11:51:19 PDT 2015 --  Stats for the day have arrived. 3 new unfollowers. Stats via http://www.crowdfireapp.com/?r=td .
Mon Aug 24 09:20:38 PDT 2015 --  Don't put the key to your happiness in someone else's pocket.
Mon Aug 24 11:51:22 PDT 2015 --  7 amazing followers in the last day and there will be more tomorrow. Growing with http://www.crowdfireapp.com/?r=td 
Mon Aug 24 04:32:15 PDT 2015 --  I feel like I never get enough sleep
Fri Aug 21 21:50:32 PDT 2015 --  When you give your problems to God, and he come through & does his thangggggggg
Sun Aug 23 10:36:35 PDT 2015 --  This Niqqa https://twitter.com/Ezby/status/635479331867893760 …
Sun Aug 23 09:52:10 PDT 2015 --  Really, I'm okay with staying in my room minding my business not being bothered
Sat Aug 22 19:58:10 PDT 2015 --  Some People Come Into Your Life Just To Teach You How To Let Go .. #royalkvngdom .
Fri Aug 21 17:15:14 PDT 2015 --  Can't be catching feelings nowadays, cause mf's will pretend to like you one day then stop fucking with you the next.
