Fri Aug 28 15:55:53 PDT 2015 --  so FRICkin shady holy. I wanted Jackie back so bad #REDOTHECOMP
Sat Aug 22 18:27:00 PDT 2015 --  Wiz Khalifa arrested for riding hover board in LA airport. pic.twitter.com/cNJhHwpG9x
Wed Aug 26 08:22:44 PDT 2015 --  my whole state is on fire and we are no longer discreet
Mon Aug 24 11:19:19 PDT 2015 --  me on the second day of school https://vine.co/v/eieAUqzV11m 
Fri Aug 21 12:52:18 PDT 2015 --  do you ever hear a song and you start singing with it and then you're like wtf when did I learn this
Fri Aug 21 12:51:09 PDT 2015 --  when a little kid tries to hide from you, you pretend you don't know where they are. that's how it works
Fri Aug 14 01:03:19 PDT 2015 --  OOH THIS IS AN SOSO DONT WANT A SECOND GUESS THIZ IS THE BOTTOM FUCKING HALF
Fri Aug 14 00:52:23 PDT 2015 --  now it's burnin up I'm gonna cry even more as if I didn't think this outlined my 2nd grade "relationship problems" oh boy someone hold me
Fri Aug 14 00:51:31 PDT 2015 --  "everybody bought our 7th album" FUCK YEAH THEY DID WHO YOU THINK WE PLAYIN DEY GETTIN BACK AGAIN
Fri Aug 14 00:50:33 PDT 2015 --  "AND YOUR GREAT GREAT GREAT GRAND DAUGHTER IS DOING FINE (DOING FINE)" how out of the whole population they met their granddaughter? like
Fri Aug 14 00:49:20 PDT 2015 --  "NOT MUCH HAS CHANGED BUT THEY LIVE UNDERWATER" YEAH PETER LIKE THATS NOT JUST A BIG DRASTIC CHANGE TO OUR MODERN LAND OR ANYTHING
Fri Aug 14 00:48:24 PDT 2015 --  I'VE BEEN TO THE YEAR 3000
Fri Aug 14 00:48:15 PDT 2015 --  stood there with my neighbor called Peter and flex capacitor he toLD me he buILT A TIME MACHINE LIKE ONE IN A FILM IVE SEEEEENNN
Fri Aug 14 00:46:14 PDT 2015 --  CRYING TO "THE YEAR 3000" BECAUSE I MISS BEING 6 AND ROCKING TO THE JONAS BROTHERS SHUT UP
Wed Aug 12 07:31:34 PDT 2015 --  All this kerfuffle over a tattoo. If it was black and white saying a clever phrase in a language I can't speak no one would've said anything
Sun Aug 09 19:29:32 PDT 2015 --  mom goes to whole foods ONE TIME and wants to go "all organic" #whatthehell
Thu Aug 06 12:18:59 PDT 2015 --  wanna tear myself to shreds ell oh ELLLLLLLLLLL
Tue Aug 04 13:12:32 PDT 2015 --  When you check the #ArchThatBackChallenge and only see people calling these nonexistent participants hoes pic.twitter.com/6cjMIN3Vn8
Wed Aug 05 22:23:33 PDT 2015 --  80% wanna be with you forever 18% wanna hide out in a cave 2% wanna stab myself in both my eyes. yaay
