Fri Aug 28 08:24:54 PDT 2015 --  Time 4 breakfast pic.twitter.com/IobVRPH8WB
Thu Aug 27 09:50:57 PDT 2015 --  God knows...
Mon Aug 24 02:55:15 PDT 2015 --  Volvemos a la rutina #BuenLunes pic.twitter.com/jhAU7TSUBY
Sun Aug 23 21:50:44 PDT 2015 --  Como si en estos momentos estuviera de humor para estar saliendo con otra...
Sun Aug 23 21:35:55 PDT 2015 --  Solo fuerzas .
Sun Aug 23 19:45:01 PDT 2015 --  Etapas de Twitter: 1. Creas la cuenta. 2. No entiendes. 3. No entras por unos meses. 4. Vuelves a entrar. 5. Te vuelves adicto.
Sun Aug 23 20:30:08 PDT 2015 --  El fracaso es parte de la vida; si no fracasas, no aprendes y si no aprendes, no cambias.
Sun Aug 23 20:50:02 PDT 2015 --  El miedo no es un impedimento para seguir adelante...
Sun Aug 23 19:43:06 PDT 2015 --  Solo necesito fuerzas... Solo necesito eso... Ya no quiero volver a caer...
Sun Aug 23 11:31:01 PDT 2015 --  Amor en tiempos de videojuegos <3 pic.twitter.com/x4Oz7MRu3S
Sat Aug 22 16:31:27 PDT 2015 --  A fight to the death pic.twitter.com/hFUtvsYDkt
Sat Aug 22 23:35:21 PDT 2015 --  Luffy Imitations pic.twitter.com/Y054foEUGH
Sun Aug 23 02:20:19 PDT 2015 --  When the game you're playing is too easy on insane mode pic.twitter.com/Veb8qbwdjQ
Sun Aug 23 07:43:42 PDT 2015 --  La espectacular imagen del Volcán @Popocatepetl_MX esta mañana, con nube lenticular, cubierto de nieve y fumando... pic.twitter.com/rRntr07P0b
Sun Aug 23 07:47:15 PDT 2015 --  Let it Go, Be Free, Shit. pic.twitter.com/H1RyhruVsC
Sun Aug 23 07:24:26 PDT 2015 --  Después de año y medio creo que es aceptable que tenga miedo...
Sun Jul 19 19:30:04 PDT 2015 --  Científicos de la NASA definen microsegundo como el tiempo que tarda el semáforo en ponerse verde y el pendejo de atrás en tocar el claxon.
Sat Aug 22 05:30:28 PDT 2015 --  Hay días en los que simplemente no encuentro la fuerza para seguir, y este es un día de esos...
Thu Aug 20 00:52:20 PDT 2015 --  Todo estará bien
Wed Aug 19 22:17:56 PDT 2015 --  Otra vez me salieron ronchas en la piel -.-
Wed Aug 19 20:48:06 PDT 2015 --  " @tmullergarcia: @ChapultepecCDMX es el bosque urbano más antiguo de América Latina y de mayor tradición en el mundo pic.twitter.com/eKU8AMkG7n
Wed Aug 19 07:02:50 PDT 2015 --  Los colores del amanecer de hoy en el Puerto de #Veracruz: pic.twitter.com/OWufTvuL52
Mon Aug 17 03:35:46 PDT 2015 --  Attack on Titan pic.twitter.com/JhjjVPTBU0
Mon Aug 17 12:01:51 PDT 2015 --  Another stick figures! (sorry for the low quality.) pic.twitter.com/QdyQg993zw
Sun Aug 16 13:16:29 PDT 2015 --  @SirPotasio Muchísimas felicidades! Sigue siendo la increíble persona que eres! pic.twitter.com/atWrrEkZLI
Sun Aug 09 16:04:05 PDT 2015 --  [500px Editors' Choice] Erupcion Volcán Calbuco 2 by fjnegroni http://buff.ly/1DFe9tq  pic.twitter.com/owImVXuylL
Sun Aug 16 10:19:22 PDT 2015 --  #ÁnguloXperia @sonyxperiamx pic.twitter.com/H0shBSs9SF
Sun Aug 16 10:05:00 PDT 2015 --  Pero eso solo pasa en las películas -.-
Sun Aug 16 10:04:16 PDT 2015 --  En lugar de estar haciendome bestia en la computadora, podría estar con mi novia en algún parque y pasando una agradable tarde u.u
Sun Aug 16 08:14:42 PDT 2015 --  Despues de 1 semana de preocupaciones, empieza a hacer efecto..
Sun Aug 16 06:11:54 PDT 2015 --  Si no.la vieron.... Ayer espectáculo en la Ciudad de México. Doble #Arcoiris visto desde @Coyoacan_ vía @bastidalex pic.twitter.com/O9GxJeuxvd
Sun Aug 16 06:50:16 PDT 2015 --  #Tepoztlán te espera para que vivas un día increíble... No lo pienses más y descúbrelo! #MorelosEsTUDestinoEnVerano pic.twitter.com/feXy9rUGqA
Sat Aug 15 13:39:14 PDT 2015 --  No es bueno necesitar y depender de alguien, nacimos solos, aprendamos a ser felices también solos, a apreciar nuestra soledad... es bueno.
Sat Aug 15 10:30:08 PDT 2015 --  Respirar hondo y decir "no importa, no voy a estar mal".
Sat Aug 15 07:48:43 PDT 2015 --  Gastly haunter gengar evolution pic.twitter.com/CD1XdZSZAf
Fri Aug 14 20:47:01 PDT 2015 --  Te amo... Hasta mañana...
Fri Aug 14 19:58:57 PDT 2015 --  https://www.youtube.com/watch?v=hhgxpeikxxQ … No te pases jajaja xD
Fri Aug 14 18:22:49 PDT 2015 --  De tantos problemas que tengo, de que todos están enojados conmigo, siento como si una ulcera en mi estomago fuera a explotat
Fri Aug 14 18:21:21 PDT 2015 --  Esta noche me voy a dormir temprano porque se me da la gana y lo voy a tuitear porque se me da la gana...
