Thu Aug 20 17:14:04 PDT 2015 --  Duro como un muerto en su tumba que murio de miedo por el valor de vivir
Fri Aug 28 10:28:01 PDT 2015 --  Abres un paquete de chicles, y de repente todo el mundo es tu mejor amigo.
Fri Aug 28 09:28:01 PDT 2015 --  Típico : Empieza a llover y tu mama grita.... La ropaaaaaaa!!
Fri Aug 28 18:24:59 PDT 2015 --  Yo se que en algun lado esta esa persona para mi
Fri Aug 28 16:58:53 PDT 2015 --  Que ganas de que sea verano
Fri Aug 28 16:20:52 PDT 2015 --  Me comeria un kilo de helado
Fri Aug 28 11:30:07 PDT 2015 --  No me gusta que estas mala conmigo
Thu Aug 27 22:06:48 PDT 2015 --  A tratar de dormir
Thu Aug 27 20:40:13 PDT 2015 --  Te necesito
Thu Aug 27 20:33:27 PDT 2015 --  Como me gustaria dormirme y despertarme en verano
Thu Aug 27 20:31:18 PDT 2015 --  Saber que hay alguien mas boludo que vos, eso es lindo
Thu Aug 27 19:55:38 PDT 2015 --  Exacto https://twitter.com/PrestaHumor/status/637040725314674688 …
Thu Aug 27 19:21:28 PDT 2015 --  Mañana es viernes!
Thu Aug 27 18:55:56 PDT 2015 --  Al fin!
Thu Aug 27 17:16:57 PDT 2015 --  Como odio que no me conteste
Wed Aug 26 08:10:06 PDT 2015 --  Vamos vamos, #SanLorenzo, siempre te voy a seguir... pic.twitter.com/cIGzT8QJtj
Wed Aug 26 08:06:44 PDT 2015 --  Tu sonrisa me inspira
Wed Aug 26 07:55:15 PDT 2015 --  Viernes veni!!!!
Thu Aug 20 08:12:40 PDT 2015 --  Fin de semana.....Veni!
Tue Aug 18 18:43:30 PDT 2015 --  - Qué queremos!? - La cura contra los celos!! - Y cuándo la queremos? - No sé, preguntale a tu amiguita.
Sun Jul 12 13:51:32 PDT 2015 --  —¿Te desmayaste? —¡No!, me gusta escuchar el movimiento de las placas tectónicas.
Sun Aug 09 14:51:19 PDT 2015 --  El truco para cantar bien es nunca quitarte los auriculares.
Sat Aug 15 15:41:16 PDT 2015 --  Esta noche salida con amigos
Thu Aug 13 15:00:10 PDT 2015 --  Si quiere contratar un plan más caro, marque 1. Si quiere dar de baja su linea, marque (x-330y)²+(y+12º)³=55 y dé una mortal para atrás
Thu Aug 13 18:30:09 PDT 2015 --  - Alumno si sigue así nos vamos a ver en vacaciones - NAAAAAA ¿EN SERIO? ¿VOS TAMBIÉN VAS A PINAMAR?
Fri Aug 14 20:17:13 PDT 2015 --  Si todos lo q busco esta en voz........
Fri Aug 14 15:52:02 PDT 2015 --  Quiero q tu seas la mujer de mi vida
Fri May 29 17:28:06 PDT 2015 --  La lógica de las minas es así: Me fui a comprar una malla pero vi unos zapatos tan lindos que me compré una cartera.
Tue Jun 30 19:17:02 PDT 2015 --  -Señor, ¿va a querer bolsita? -No, dejá, me llevo todo haciendo malabares con la chota, la concha de tu madre, culiado.
Mon Jul 27 15:17:03 PDT 2015 --  -Hola. -Hola, ¿cómo te llamás? -Laur -SE TE VE LA TANGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA CHI CHI CHI CHI -Laureana. -ANDÁ, FORRA CAGAMAMBO.
Mon Jul 27 17:22:01 PDT 2015 --  -¿Quiénes, hijo? -Mamá, mamá, en la escuela dicen que podés ver el futuro.
Mon Jul 27 17:52:06 PDT 2015 --  -Papá, me di cuenta de que me gustan las chicas. -Muy bien, hijo, así me gusta. ¿Cómo te diste cuenta? -Las grandes me hacen doler.
Thu Jul 30 17:37:06 PDT 2015 --  Los estudios dicen que 1 de cada 4 hombres es gay. O sea que en mi grupo de amigos alguno se la come. Ojalá sea Hernán, porque le re doy.
Fri Jul 31 10:42:07 PDT 2015 --  Me llora un ojo. Debo estar medio triste.
Sun Aug 02 13:00:20 PDT 2015 --  Sos tan fea que cuando te ven los albañiles se ponen a trabajar.
Mon Aug 03 14:43:06 PDT 2015 --  -Soy ciego. -Ah, mirá.
Thu Aug 06 09:57:01 PDT 2015 --  -Chano merece que lo caguen a trompadas. -La verdad que sí porque podría haber matado a alguien en ese choque. -¿Qué choque?
