Thu Aug 27 22:18:24 PDT 2015 --  I'm gonna try going gluten free to help prevent acne.
Wed Aug 26 10:27:58 PDT 2015 --  Sometimes a positive attitude is the best cure. Other times a flame thrower is.
Mon Aug 24 16:39:00 PDT 2015 --  It's sucks to know someone falls out of love with you. Even if you're not together it's still hurts that they don't care
Sat Aug 22 10:46:11 PDT 2015 --  Drink a glass a lemon water in the morning. Wait about a half hour before eating after. It will help with digestion and weight loss.
Fri Aug 21 11:38:42 PDT 2015 --  Clay masks are a magic magnet.
Fri Aug 21 09:28:06 PDT 2015 --  So far so good. Guys I recommend you take the solve my acne quiz by @Neutrogena
Sun Aug 16 09:14:28 PDT 2015 --  Just started using neutrogena acne stress control cream wash. So far so good. It smells really nice too. Finger crossed
Fri Aug 14 11:05:13 PDT 2015 --  I'm in love with oatmeal masks! So perfect
Thu Aug 13 21:33:30 PDT 2015 --  THIS IS SO IMPORTANT!!! pic.twitter.com/StkwubCSpB
Thu Aug 13 20:43:22 PDT 2015 --  I think nighttime is the most beautiful and under appreciated things. It's so calm that you just feel at peace
Thu Aug 13 18:39:20 PDT 2015 --  Nerve wracking, yes. But I had to do it. Come check out my latest video on YT...https://www.youtube.com/watch?v=L8Mf8qgWBhQ … #ComingOut pic.twitter.com/BpYBtnUvnN
Thu Aug 13 12:01:42 PDT 2015 --  My dream to endorse @revlon cosmetics on a channel and do collab videos with @bubzbeauty and Cassandra Bankson. They are my idols.
Thu Aug 13 11:56:25 PDT 2015 --  Hey guys I would love to start my own health YouTube Channel. So I need to get more followers. Please help and RT. love you all. Stay gold!
Thu Aug 13 11:51:57 PDT 2015 --  Im trying so hard to maintain my health, energy and happiness. Some days are hard but remember there's air in your lungs. Don't waste it.
Thu Aug 13 11:48:25 PDT 2015 --  Maca root is good for breast development, acne treatment, and energy. There are no side effects and it's all natural!!!
Tue Aug 11 10:10:16 PDT 2015 --  Goal body. pic.twitter.com/VhThuOmDjU
Tue Aug 11 10:08:50 PDT 2015 --  Some advice for everyone! http://twitter.com/gymhacks/status/407294291456057344/photo/1pic.twitter.com/drry1opWoK 
Tue Aug 04 06:53:05 PDT 2015 --  BBQ shrimp with guacamolee pic.twitter.com/VqW6adGruw
Sat Apr 04 06:37:47 PDT 2015 --  When boys pic.twitter.com/DVDQKzmQY0
