Thu Aug 27 21:03:09 PDT 2015 --  so good to be back with this babe pic.twitter.com/k9gMKA3lI7
Thu Aug 27 14:53:20 PDT 2015 --  You're welcome https://twitter.com/mikniday_/status/637011200362938368 …
Wed Aug 26 05:59:06 PDT 2015 --  Anna is my favorite person ever
Wed Aug 26 04:32:40 PDT 2015 --  “But the Lord is faithful, and he will strengthen you and protect you from the evil one.” 2 Thessalonians 3:3
Tue Aug 25 22:04:19 PDT 2015 --  Sometimes not knowing what is in store for the future is the scariest thing you can think of.. #LetGoAndLetGod
Mon Aug 24 14:37:37 PDT 2015 --  She is a cutie @ Dallas Baptist University https://instagram.com/p/6yA4TriQ45NWWvMjDwuCKCoFLNQfwgcuYb7jY0/ …
Mon Aug 24 05:49:17 PDT 2015 --  I'm a sophomore in college... Whatt
Thu Aug 20 19:14:47 PDT 2015 --  Taking her to Cowboys cause she has never been @ Cowboys Red River https://instagram.com/p/6oNa0ACQ9WclT3V0n9zYSSeH4A1we7gGoOyOo0/ …
Thu Aug 20 12:28:41 PDT 2015 --  Happy Birthday to my fave person of all time. pic.twitter.com/XU2duQzKGd
Tue Jul 28 06:46:05 PDT 2015 --  Kanye's smile has a timer pic.twitter.com/1C7fO0mLHq
Wed Aug 19 21:17:48 PDT 2015 --  Babygirl Did That pic.twitter.com/kGYgAUcqe0
Wed Aug 19 21:10:03 PDT 2015 --  all you need is good friends, good food, and good music
Wed Aug 19 16:34:38 PDT 2015 --  Fake friends are no different than shadows, they stick around during your brightest moments, but disappear during your darkest hours.
Tue Aug 18 18:32:46 PDT 2015 --  If you have faith when you pray, you will be given whatever you ask for. -Matthew 21:22
Tue Aug 18 18:58:57 PDT 2015 --  Watching full house because
Tue Aug 18 08:10:19 PDT 2015 --  im in the mood to receive a check for nine hundred thousand dollars & also a few bags of sour gummy worms
Tue Aug 18 08:25:08 PDT 2015 --  pic.twitter.com/37HbW6MRbx
Tue Aug 18 08:31:22 PDT 2015 --  Grease, 1978 pic.twitter.com/mNFMWwmVx9
Mon Aug 17 09:14:13 PDT 2015 --  how to make someone's day 101: pic.twitter.com/80Y7Nyw0rZ
Mon Aug 17 09:05:49 PDT 2015 --  Had a daddy/daughter date in the sky this morning. My father is a heck of… https://instagram.com/p/6fZWFTCQxHQu0vuw67RJT7TYKe7OnaqS5NgGw0/ …
Mon Aug 17 08:55:29 PDT 2015 --  Should be packing but getting distracted... My life
Sat Aug 15 13:20:16 PDT 2015 --  is everything expensive or am i just poor
Sat Aug 15 07:27:15 PDT 2015 --  Let God take the wheel this morning
Fri Aug 14 21:26:45 PDT 2015 --  If the world hates you, keep in mind that it hated me first. -John 15:18
Fri Aug 14 11:31:32 PDT 2015 --  crying pic.twitter.com/OdAS9pR2sO
Fri Aug 14 20:03:03 PDT 2015 --  Lol okay DBU https://twitter.com/whitepeepsdo/status/609764854312730624 …
Fri Aug 14 12:52:48 PDT 2015 --  Do not be anxious about anything, but in everything, by prayer and petition, with thanksgiving, present your requests 2 God. -Phil 4:6
Fri Aug 14 12:30:17 PDT 2015 --  Where to find free food on your birthday pic.twitter.com/cFq7oo9tZ7
Fri Aug 14 12:08:46 PDT 2015 --  Love these beautiful girls who have impacted my life in such a positive way https://instagram.com/p/6X_5epCQ4de_2Q5CnxjTK9J5gGnhm16sqq6uk0/ …
Fri Aug 14 11:45:51 PDT 2015 --  Jesus is the best thing that ever happened to me ✝
Thu Aug 13 09:47:00 PDT 2015 --  Got a little haircut pic.twitter.com/X6KDhwtWpX
Wed Aug 12 18:26:00 PDT 2015 --  i’m so surprised i’m not in better shape i run away from my responsibilities almost everyday
Wed Aug 12 17:12:29 PDT 2015 --  Dear friends entering their first year of college... Do NOT buy your textbooks from your campus bookstores. Amazon and chegg are lifesavers
Wed Aug 12 16:53:54 PDT 2015 --  One of the best gifts we can give ourselves is time alone with God.
Wed Aug 12 16:45:23 PDT 2015 --  In the end, we only regret the chances we didn't take.
Fri Aug 07 08:59:16 PDT 2015 --  I wanna go to Bora Bora pic.twitter.com/gMHu01fTm1
