Thu Aug 27 14:21:29 PDT 2015 --  You're just🏼
Thu Aug 27 01:02:49 PDT 2015 --  Your compromise to a lingering relationship disagreement doesn... More for Aquarius http://bit.ly/whBNNw 
Wed Aug 26 01:02:48 PDT 2015 --  It might seem as if a long-lasting phase of inner growth is co... More for Aquarius http://bit.ly/whBNNw 
Tue Aug 18 02:59:43 PDT 2015 --  Would actually love to go on the Ellen show @TheEllenShow
Tue Aug 18 01:02:46 PDT 2015 --  You can feel the easy breezes of the airy Libra Moon, yet you ... More for Aquarius http://bit.ly/whBNNw 
Mon Aug 17 07:43:27 PDT 2015 --  pic.twitter.com/IVBEJaJWIE
Mon Aug 17 01:02:42 PDT 2015 --  You might try to slog your way through an obstacle course at w... More for Aquarius http://bit.ly/whBNNw 
Sun Aug 16 05:01:13 PDT 2015 --  Knowing I start my driving lessons in 5 months makes me extremely exited
Sun Aug 16 01:02:47 PDT 2015 --  You might have revealed your opinion too quickly about an impo... More for Aquarius http://bit.ly/whBNNw 
Sat Aug 15 10:12:06 PDT 2015 --  Bored isn't even the word
Sat Aug 15 07:09:49 PDT 2015 --  OPEN THIS pic.twitter.com/SnfFNdZHGy
Sat Aug 15 05:37:02 PDT 2015 --  SO fed up
Sat Aug 15 01:02:50 PDT 2015 --  There are so many overly cheerful people around you today that... More for Aquarius http://bit.ly/whBNNw 
Fri Aug 14 13:03:27 PDT 2015 --  Choosing weed over your girlfriend lol #RelationshipGoals
Fri Aug 14 01:02:47 PDT 2015 --  Fresh currents of cosmic energy could quickly reinvigorate a s... More for Aquarius http://bit.ly/whBNNw 
Thu Aug 13 01:02:53 PDT 2015 --  Somehow you can get away with the craziest of ideas today. In ... More for Aquarius http://bit.ly/whBNNw 
Wed Aug 12 06:30:01 PDT 2015 --  Really ain't feeling results day
Wed Aug 12 01:02:46 PDT 2015 --  You may have some explaining to do about your radical approach... More for Aquarius http://bit.ly/whBNNw 
Tue Aug 11 01:02:45 PDT 2015 --  Paying attention to the subtle nuances of changing feelings ca... More for Aquarius http://bit.ly/whBNNw 
Mon Aug 10 13:16:48 PDT 2015 --  I really fucking hate myself sometimes
Mon Aug 10 01:02:44 PDT 2015 --  Although you may not be actively seeking new information now, ... More for Aquarius http://bit.ly/whBNNw 
Sun Aug 09 09:12:54 PDT 2015 --  Hate knowing I'm always 2nd best, like I'm not even that sometimes..
Sun Aug 09 07:50:28 PDT 2015 --  Me🏼 https://twitter.com/wealilknowa/status/630388275564384256 …
Sun Aug 09 01:46:18 PDT 2015 --  I feel and look extremely fucking rough right now
Sun Aug 09 01:02:42 PDT 2015 --  You're ready for fun and frivolities now that the Moon is pran... More for Aquarius http://bit.ly/whBNNw 
Sat Aug 08 01:02:44 PDT 2015 --  It's like you're on a rocket ship that cannot quite accelerate... More for Aquarius http://bit.ly/whBNNw 
Fri Aug 07 01:02:40 PDT 2015 --  Someone may present such an amazing idea today that it's hard ... More for Aquarius http://bit.ly/whBNNw 
Thu Aug 06 01:02:40 PDT 2015 --  Playing nicely with others today propels you along your profes... More for Aquarius http://bit.ly/whBNNw 
Wed Aug 05 01:02:45 PDT 2015 --  Your first order of business today is delivering on your recen... More for Aquarius http://bit.ly/whBNNw 
Tue Aug 04 01:02:44 PDT 2015 --  Your current success depends on your ability to combine your u... More for Aquarius http://bit.ly/whBNNw 
Mon Aug 03 01:02:46 PDT 2015 --  Your career objectives may be in direct conflict with your per... More for Aquarius http://bit.ly/whBNNw 
Sun Aug 02 01:02:40 PDT 2015 --  You're more than willing to go along for the ride with an unco... More for Aquarius http://bit.ly/whBNNw 
Sat Aug 01 01:02:40 PDT 2015 --  People seem to think they know what's best for you today, but ... More for Aquarius http://bit.ly/whBNNw 
Fri Jul 31 01:02:39 PDT 2015 --  Sweeping changes are necessary to get your life back on track ... More for Aquarius http://bit.ly/whBNNw 
Thu Jul 30 01:02:44 PDT 2015 --  People might think you're being particularly weird today, but ... More for Aquarius http://bit.ly/whBNNw 
Tue Jul 28 14:26:58 PDT 2015 --  How did a man just snap me a picture of his dick.. Bro if this is what comes with music i fuckin quit
Wed Jul 29 01:02:38 PDT 2015 --  Maintaining objectivity is unlikely today, even as you try to ... More for Aquarius http://bit.ly/whBNNw 
Tue Jul 28 01:02:39 PDT 2015 --  You can't avoid interpersonal attachments now, even if your fe... More for Aquarius http://bit.ly/whBNNw 
Mon Jul 27 14:15:12 PDT 2015 --  If I don't look at good as Jennifer Lopez when I'm 46 I am not going to be happy pic.twitter.com/W4EHDMQbsG
Mon Jul 27 07:02:22 PDT 2015 --  Why was I not born with my eyebrows on fleak
Mon Jul 27 06:01:36 PDT 2015 --  What the fuck even is Kane Larkin
Sun Jul 26 10:52:40 PDT 2015 --  Mum just told me I look like a lesbian because of the top I'm wearing, erm pardon?
Sun Jul 26 07:42:26 PDT 2015 --  EVERYONE has haters, so stop worrying about the people that don't like you and concentrate on the ones that do🏼
Sat Jul 25 01:04:56 PDT 2015 --  Want a staff so bad
Sat Jul 25 01:02:36 PDT 2015 --  You might be obsessed with increasing your personal freedom wh... More for Aquarius http://bit.ly/whBNNw 
Fri Jul 24 01:02:36 PDT 2015 --  You're not afraid of complicated logistics; in fact, you thriv... More for Aquarius http://bit.ly/whBNNw 
Thu Jul 23 01:02:37 PDT 2015 --  Waiting politely for your turn to speak isn't likely to work t... More for Aquarius http://bit.ly/whBNNw 
Wed Jul 22 01:02:39 PDT 2015 --  You could be so goal oriented today that others don't know how... More for Aquarius http://bit.ly/whBNNw 
Mon Jul 20 14:09:31 PDT 2015 --  Relax @RealGeko
Tue Jul 21 01:02:37 PDT 2015 --  You may feel as if you didn't make any progress on the job yes... More for Aquarius http://bit.ly/whBNNw 
Sun Jul 12 17:06:04 PDT 2015 --  AS LONG AS YOU'RE HAPPY WHO THE HELL CARES
Mon Jul 20 13:28:25 PDT 2015 --  How the fuck do I manage to lose things seconds after putting them down?!
Mon Jul 20 05:34:57 PDT 2015 --  It's so much effort for girls to get ready, boys should feel sorry for us not get angry 'cause we taking too long
Sat Jul 18 10:22:46 PDT 2015 --  Such a bad mood
Fri Jul 17 15:11:26 PDT 2015 --  Why is it so fucking hard to get comfy at night but as soon as my alarm goes off in the morning I'm in the comfiest position ever
Fri Jul 17 11:44:38 PDT 2015 --  NEED a cuddle
Fri Jul 17 11:30:27 PDT 2015 --  'IMMA SHOW OFF, NIP SLIP #MADTING @LadyLeshurr
Fri Jul 17 03:41:24 PDT 2015 --  Just found this text between Bobby and Tiffany on Bobby's phone. Now I'm going to rub battery acid in my eyes pic.twitter.com/cNd8NL2fc6
Wed Jul 15 17:01:07 PDT 2015 --  HATE how things change after you leave school🏻
Tue Jul 14 14:07:19 PDT 2015 --  Love island is cracking me up tonight #loveisland
Tue Jul 14 12:03:03 PDT 2015 --  Kim is an actual psyco @Hollyoaks #hollyoaks
Tue Jul 14 10:05:43 PDT 2015 --  honestly baffles me how people can cheat on somebody they "love"🏻🏻🏻
Tue Jul 14 04:47:01 PDT 2015 --  Hate hearing things like that, makes my heart beat uncontrollably.. I feel sick
Mon Jul 13 22:16:00 PDT 2015 --  Stop worrying about people that aren't worried about you.
Mon Jul 13 12:12:01 PDT 2015 --  Feet gross me out.
Mon Jul 13 05:59:29 PDT 2015 --  https://instagram.com/p/5E6a_AgXJV/ 
Sun Jul 12 06:26:20 PDT 2015 --  SAM BARKER ON FACEBOOK https://twitter.com/wealilknowa/status/619587916126228481 …
Sat Jul 11 12:10:04 PDT 2015 --  we all know a skank named Sophie
Sun Jul 12 05:36:46 PDT 2015 --  Wish I was tanned
Sun Jul 12 01:01:40 PDT 2015 --  Love clothes shopping
Sat Jul 11 20:26:01 PDT 2015 --  I fucking hate hiccups
Sat Jul 11 14:29:37 PDT 2015 --  So happy I'm getting a lay in tomorrow
Sat Jul 11 12:22:23 PDT 2015 --  When i was younger £20 felt like £100 and now £20 feels like £1
Sat Jul 11 10:36:24 PDT 2015 --  So happy that I'm a size 6 in jeans now
Fri Jul 10 11:28:43 PDT 2015 --  Always end up fucking moody
Fri Jul 10 10:19:36 PDT 2015 --  Thought my new jeans turned up today, turns out it was mums new clothes, so disappointed
Fri Jul 10 04:42:05 PDT 2015 --  Tomatoes are so disgusting
Fri Jul 10 00:20:14 PDT 2015 --  Mum asked me if I wanted a meal deal for lunch, I said "yeah can I have a wrap please" and she starting spitting bars ffs
Thu Jul 09 13:58:58 PDT 2015 --  Didn't even notice the fat fucking daddy long legs that was chilling in the bath with me until I got out, holy shit
Thu Jul 09 00:42:42 PDT 2015 --  Love getting cute paragraphs
Thu Jul 09 00:08:27 PDT 2015 --  So exited to get my hair done today
Wed Jul 08 13:03:32 PDT 2015 --  Relationships are what turn girls psycho
Wed Jul 08 13:20:51 PDT 2015 --  Not impressed pic.twitter.com/aErnigEJtp
Wed Jul 08 12:35:14 PDT 2015 --  Tired is not the word
Wed Jul 08 04:52:34 PDT 2015 --  So boring when I'm on my lunch break but Perry can't talk cause he's working
Wed Jul 08 00:30:23 PDT 2015 --  I can't wait until I have my own everything
Wed Jul 08 04:27:27 PDT 2015 --  No matter how you spend your day today.........just #ThinkBig and #MakeItCount!!
Wed Jul 08 00:02:09 PDT 2015 --  11 hours at work today
