Wed Aug 26 18:25:13 PDT 2015 --  How to become a Victoria's Secret Angel http://twitter.com/TweetLikeAGirI/status/410607343160684544/photo/1pic.twitter.com/rWHjJ62bHt 
Mon Aug 03 08:16:56 PDT 2015 --  @MtuPombe Hating on someone you never met makes you a bitch nigga you know that right
Mon Jul 27 15:18:38 PDT 2015 --  #IfAfricaWasABar Egypt would call saying they're staying home but you can clearly hear the music from ArabBar in the background.
Mon Jul 27 15:55:16 PDT 2015 --  The beauty of #IfAfricaWasABar is you need to know the political and social structures of these countries to understand some of the jokes
Mon Jul 27 22:12:01 PDT 2015 --  #IfAfricaWasABar Europe and Asia would be the angry landlords always looking for a reason to shut down the noisy African bar
Tue Jul 28 05:09:52 PDT 2015 --  #IfAfricaWasABar Tanzania, Kenya and Uganda would be the guys all hitting on one girl called Victoria. pic.twitter.com/WyCku2RWYI
Tue Jul 28 10:20:00 PDT 2015 --  #IfAfricaWasABar Burundi would be that drunkard who refuses to pay the bill.
Tue Jul 28 10:35:00 PDT 2015 --  #IfAfricaWasABar South Africa would be that guy in the bar that everybody used to love, but changed and grew arrogant.
Sun Jul 26 10:42:49 PDT 2015 --  The only genuine thing in China is probably The Great Wall
Mon Jul 27 09:26:22 PDT 2015 --  If you're wondering y twitter hasn't reacted to Obama's visit to Ethiopia the way it did Kenya: https://twitter.com/smith_rfkennedy/status/625659907321298944 …
Mon Jul 27 09:26:24 PDT 2015 --  This is why young thug pants his finger nails bright red y'all and it's sad we need more… https://instagram.com/p/5pXAIWB-CF/ 
Thu Jul 23 03:59:23 PDT 2015 --  #KOT out to get @CNN for their 'hotbed of terror' ignorance in true Maasai Mara fashion! #SomeoneTellCNN pic.twitter.com/PJke9xp4A8
Thu Jul 23 04:27:06 PDT 2015 --  #SomeoneTellCNN that they have no idea who #KOT are hahahah
Thu Jul 23 04:38:17 PDT 2015 --  Dear CNN, You are accountable to a wide global audience & sensentional/irresponsible headlines will be called out. #KOT #SomeoneTellCNN
Thu Jul 23 05:03:53 PDT 2015 --  #SomeoneTellCNN they have their own agenda in bringing Africa down.If you have nothing to report we'll help you.You won't derail our vision
Mon Jul 13 17:10:01 PDT 2015 --  Damn RIP 50 Cent pic.twitter.com/zpSBpFUIE9
Wed Feb 25 03:18:24 PST 2015 --  LMAOOO @seanamos Hahaha...DWL... " @iMartinKE: ROTFLMFAO!! @masaku_: pic.twitter.com/T9VsNsxfVQ"
Fri Feb 27 05:07:03 PST 2015 --  Well, women suck @Ni_Collo Few will understand pic.twitter.com/X6quiQHHMJ
Thu Jan 01 19:10:51 PST 2015 --  Emotional pain lasts only 12 minutes - anything longer is self-inflicted.”
Tue Feb 17 02:27:02 PST 2015 --  Israel Acknowledges Contraceptive Shots Given to Ethiopian Jews http://shar.es/1WX0Z4  pic.twitter.com/LjU9nFJo6H
Sat Feb 07 02:24:35 PST 2015 --  “ @WorldBaddest: Kim Kardashian pic.twitter.com/M8xbvTyoyD”
Thu Feb 05 11:57:22 PST 2015 --  Is the actual ambience am eating at radisson blue pic.twitter.com/nZum9UYL7k
Thu Feb 05 11:54:10 PST 2015 --  Seriously hypocrites make me sick
Thu Feb 05 11:53:38 PST 2015 --  Acting is the word of the day
