Fri Aug 28 21:31:28 PDT 2015 --  #Virgo knows clearly what they want and dont want.
Tue Aug 25 16:02:19 PDT 2015 --  لا تفكر كثيراً ، بل استغفر كثيراً ، فالله يفتح بالإستغفار أبواباً لا تُفتح بالتفكير .. ♡ استغفر الله العظيم واتوب اليه
Tue Aug 25 16:00:06 PDT 2015 --  يارب, نسألك ان تفتح لأدعيتنا ابواب الاجابة يا من اذا سأله المضطر اجاب, يامن يقول للشيء كن فيكون, اللهم لا تردنا خائبين
Tue Aug 25 12:46:25 PDT 2015 --  في الجنه يموت الحزن تموت الذكرى المؤلمه ﻷنخشى ألم الفقد ولا غدر الزمان، في الجنه يموت الموت ويبدأ الفرح والنعيم الذي لا ينفذ ولا ينقطع.
Tue Aug 25 08:17:40 PDT 2015 --  ((اللَطِيْفُ ))ُ جَلَّ جَلالُهُ المعنى : الذي أحاط علمه بالأمور الدقيقة ، والذي يوصل رحمته و خيره إلى عباده بالطرق الخفية .
Mon Aug 24 20:35:15 PDT 2015 --  قال النبي صلى الله عليه وسلم : " لا يحافظ على صلاة الضحى إلا أوَّابٌ ، وهي صلاة الأوَّابين" الأوَّابُ : كثير الرجوع إلى الله .ٰ كونوا منهم
Sun Aug 23 19:19:59 PDT 2015 --  فعل الإنسان للمعصية ؛ أهون عند الله من اتهام بريء بها ! ﴿ ومن يكسب خطيئة أو إثما ثم يرم به بريئا فقد احتمل بهتاناً وإثماً مبينا ﴾ #الطريفي
Sun Aug 23 19:12:53 PDT 2015 --  Need new clothes, a new city, a new life..
Sun Aug 23 15:45:40 PDT 2015 --  عَود لسّآنك علىُ﴿ آللهمُ آغفِر ليُ﴾ فإن لله سَآعاَت لا يَردُ فيّهآ سَآئلاً…
Wed Aug 12 19:11:46 PDT 2015 --  يقول عروة بن الزبير: "والله إني لأسأل الله -تبارك وتعالى- في صلاتي كل شيء حتى الملح".
Sat Aug 15 17:03:30 PDT 2015 --  ((اللهم صل على محمد ماذكره الذاكرون وغفل عنه الغافلون))
