Sat Aug 15 05:01:43 PDT 2015 --  Today in #AirForce #History pic.twitter.com/hthgSSpdfJ
Fri Aug 14 17:46:17 PDT 2015 --  This should be interesting https://twitter.com/vcstar/status/632351582676381696 …
Fri Aug 14 17:33:39 PDT 2015 --  Mmhmm https://twitter.com/marilyn_aquote/status/632345971356250112 …
Thu Aug 13 17:11:19 PDT 2015 --  Good things are in motion. Details to come soon....
Thu Aug 13 05:33:59 PDT 2015 --  #WakeUpAmerica https://twitter.com/openedminds/status/631792307331813376 …
Thu Aug 13 04:33:33 PDT 2015 --  A favorite https://twitter.com/historyinpics/status/630189024511164416 …
Sat Aug 08 13:52:05 PDT 2015 --  Merica. pic.twitter.com/0ElGSMbzqc
Tue Jul 21 20:35:18 PDT 2015 --  Salute the ones who died, The ones that gave their lives, So we don't have to sacrifice, All the things we love. Rest easy Marines. Merica.
Fri Jun 26 20:30:39 PDT 2015 --  Call her darlin’, not “bae”. Merica.
Sun May 31 15:54:18 PDT 2015 --  Well Vegas was pretty cool. Lost some money but ended up winning a Bluetooth iHome, an AppleTV and a 2 day cruise to the Bahamas... Not bad.
Sun May 24 17:33:49 PDT 2015 --  Baby girl got some work done the other day :) pic.twitter.com/3x1BGZKqIf
Thu Feb 26 22:59:16 PST 2015 --  “ @WhatTheFFacts: Nike is a Greek goddess of victory.”
Thu Feb 26 22:52:35 PST 2015 --  “ @EarlDibblesJr: It doesn’t matter if that dress is white and gold or black and blue. The only colors that matter are Red, White and Blue.”
Tue Feb 10 18:34:10 PST 2015 --  “@JustinDeFratus: Find my open letter to @Baer_Bill in response to his open letter to me here. https://www.facebook.com/permalink.php?story_fbid=998499993512188&id=193361227359406 …”
Thu Jan 29 00:39:55 PST 2015 --  Note to self... Do not sneeze while I'm waiting for my ab muscles to recover from appendix surgery. almost positive I tore a muscle or 2
Wed Jan 21 04:24:50 PST 2015 --  Appendix surgery is no joke. :(
Mon Jan 12 06:47:19 PST 2015 --  You will be sorely missed @MissyPhe. The world lost another shining star. “ @MissyPhe: The kindness abounds! You are more fab, JBows! :)"
Sun Dec 07 16:05:47 PST 2014 --  40,000 feet in the sky... And I wish I was back in North Carolina :(
Tue Nov 04 13:02:06 PST 2014 --  2015 Ford Mustang RTR.... Yes please!
Mon Nov 03 20:55:41 PST 2014 --  Amen to that! “ @Marilyn_AQuote: Don't make time for people that don't make time for you.”
Mon Nov 03 19:02:29 PST 2014 --  I am so glad Halloween is over. I hate seeing pictures of clowns everywhere! Gives me the chills just thinking about clowns
