Mon Apr 06 08:32:09 PDT 2015 --  Todo vuelve, hasta lo inesperado
Fri Aug 21 14:20:04 PDT 2015 --  A #CAPRICORNIO le encanta sentirse querid@, y elogiad@, y sí, que le cubran de halagos de vez en cuando, pero sólo a veces, mucho cansa
Thu Aug 20 16:14:57 PDT 2015 --  Y hoy tocó Extinction. No estivo mal pero evidentemente se asustó más el que pretendía protegerme.
Mon Jun 22 06:38:52 PDT 2015 --  Y esto es, señoras y señores, una persona coherente. pic.twitter.com/gCrsMfYCtE
Wed Aug 19 02:57:15 PDT 2015 --  Estar con la regla = estar malitaNO PODER FOLLAR.
Wed May 27 15:42:03 PDT 2015 --  Pero lo que más me gusta es que no pretendas gustar a todos, solo a mí. (El gusto es mío)
Tue Aug 18 23:53:44 PDT 2015 --  "When you try your best but you don't succeed. When you get what you want but not what you need." - Coldplay.
Wed Aug 19 15:18:58 PDT 2015 --  Hoy fui al cine a ver Ciudades de papel. No paré de fangirlear con Nat Wolff, pero DIOS que puto amo era Ben
Wed Aug 19 01:00:02 PDT 2015 --  La urgencia de enamorarse es un impulso biológico, así como el hambre, la sed, el sueño y el sexo.
Tue Jul 28 21:43:28 PDT 2015 --  I don’t wanna get involved in the drama I just wanna know 103% of the information on what happened
Tue Aug 18 23:47:49 PDT 2015 --  CUNNILINGUS: Sexo oral que se basa en la estimulación de los órganos sexuales femeninos con la boca y lengua, por parte de su pareja
Wed Aug 19 01:12:03 PDT 2015 --  "Todos somos unos genios, pero si juzgas a un pez por su habilidad de escalar un árbol, vivirá su vida pensando que es inútil." (Einstein)
Wed Jun 03 15:31:17 PDT 2015 --  Debilidades. pic.twitter.com/tKUlJqSeTi
Tue Jun 16 14:18:59 PDT 2015 --  Odio esos días en los que no sabes qué te pasa, te falta algo, alguien, no lo sabes, pero estás de bajón.
Tue Aug 18 11:15:04 PDT 2015 --  #CAPRICORNIO: te obsesionas con cosas y tienes fé en que puedes cambiarlas.Y puede ser,pero a veces alargas demasiado todo debiendo cortarlo
Sat Mar 21 04:04:38 PDT 2015 --  Settle down with me. Cover me up. Cuddle me in. Lie down with me and hold me in your arms. - Ed Sheeran
Fri Aug 14 23:35:12 PDT 2015 --  "I can feel you touching even when you're far away from me." - 5SOS.
Mon Aug 17 11:44:08 PDT 2015 --  Maybe it's not my weekend but it's gonna be my year, and I'm so sick of whatching while the minutes past as I go nowhere. - Weightless, ATL
Mon Aug 17 03:58:06 PDT 2015 --  #CAPRICORNIO: extremista y orgulloso, o blanco o negro.
