Tue Aug 11 21:53:41 PDT 2015 --  #Rizztix
Tue Jul 28 20:41:58 PDT 2015 --  Great news from KC: After undergoing cancer treatment, All-Pro Eric Berry cleared to practice: http://es.pn/1JtORj3  pic.twitter.com/ePgN97CFnb
Tue Jul 28 15:04:05 PDT 2015 --  I owe u a 100k contest so here it is: simply RT this tweet for a chance to win 2 tix to tomorrow's game winner will be announced in the AM
Thu Jun 04 08:05:38 PDT 2015 --  I’m going with the Warriors! #SCFinalsVote @SportsCenter http://bit.ly/1H04cGS 
Tue Jun 02 17:03:40 PDT 2015 --  Stanley Cup Prediction Who wins and in how many games? RT ~ Chicago Blackhawks Fav ~ Tampa Bay Lightning pic.twitter.com/YESr3sLeaU
Thu May 21 18:45:08 PDT 2015 --  Baseball or soccer? pic.twitter.com/5NIPSiGFie
Thu May 14 09:02:02 PDT 2015 --  @Doritos why does my bag of air have chips in it? pic.twitter.com/L7QHSqPcUQ
Sat May 02 13:39:06 PDT 2015 --  Floyd Mayweather's earnings breakdown tonight : $180,000,000 for the fight $15,000,000 per round $5,000,000 per minute $83,333 per second
Thu Apr 09 17:02:09 PDT 2015 --  Greatest MLB Stadium • Elite Eight • RT ~ Wrigley Field Fav ~ Busch Stadium pic.twitter.com/umZFJe6y2k
Mon Apr 06 15:12:36 PDT 2015 --  . @macys I vote for #SconnieSpirit to win it all! Who do you pick? #MarchMadness http://mcys.co/1DvO0wE 
Fri Mar 13 15:00:27 PDT 2015 --  Iphone 7 pic.twitter.com/NydxPD792H
Sat Feb 21 18:14:21 PST 2015 --  The best sound in the world https://vine.co/v/MZw26VmY1Xm 
Sat Oct 11 12:30:51 PDT 2014 --  Dak Prescott doesn't play for the name on the back of his jersey. He plays for the name tattooed on his wrist - Mom: http://bit.ly/espnDak 
Sat Sep 20 16:19:24 PDT 2014 --  Take a bow, Amari Cooper. • 10 catches • 201 yards • 3 TDs The Tide rolls the Gators, 42-21. #UFvsBAMA pic.twitter.com/XrzTJ4itkK
Mon Sep 15 10:04:52 PDT 2014 --  hey adrian peterson, remember when you were only 9 yards shy of the single season rushing record? that was god who tackled you.
Wed Aug 27 21:27:08 PDT 2014 --  It's bullshit Josh Gordon gets suspended a year for smoking pot, but Ray Rice gets 2 games for beating his wife
