Sat Aug 29 05:42:42 PDT 2015 --  La la la la la la la Muere te por que no te mueres Maldita sea muere te Yuno-san™
Sat Aug 29 05:22:43 PDT 2015 --  Hoy me toca examen no estudie Y si mato al profe antes no habrá examen por lo tanto no reprobaré :3 Yuno-san™
Sat Aug 29 05:20:34 PDT 2015 --  Si lo amas dejarlo ir si es tu yo regresara si no regresa matarlo al hijo de la gran puta Yuno-san™
Sat Aug 29 05:17:28 PDT 2015 --  Amanecí con ganas de matar a alguien bueno siempre pero hoy con mas ganas Yuno-san™
Fri Aug 28 21:39:24 PDT 2015 --  Descansa recuerda que te observo con un cuchillo soy como el puto chuki Pero mas grande ;3 chuki
Fri Aug 28 21:28:21 PDT 2015 --  Cuantos años pase odservandote eres mi otra mitad malvada Ok puta madre la buena yo soy la puta parte mala :v pic.twitter.com/y9Y5bfdDVn
Fri Aug 28 20:33:02 PDT 2015 --  Un día vi que si quiero conocer bien a una persona la debo conocer desde adentro así que lo abrí y tienen toda la. Razón Yuno -san : 3
Mon Aug 24 13:52:04 PDT 2015 --  Mi problema es que me enamoro de las palabras, en lugar de acciones. Me enamoro de ideas y pensamientos, en lugar de la realidad.
Wed Aug 26 18:03:10 PDT 2015 --  Quiero ir a la friki plaza después recuerdo que estoy solo sin dinero y se me pasa maldita pobreza pic.twitter.com/Zdh4mjqAP7
Wed Aug 26 17:44:18 PDT 2015 --  Cuando hablamos de anime no puede faltar esta chica del genero gore pic.twitter.com/wn3yXpmJ9G
Wed Aug 26 17:17:37 PDT 2015 --  Por mis defectos la señora perfecta se va por mis defectos pic.twitter.com/nqQbYMoJrq
Wed Aug 26 17:10:09 PDT 2015 --  Las imperfecciones forman parte de la belleza
Wed Aug 26 14:52:10 PDT 2015 --  Las clases nunca falta el creidito de el salón que se luce pero cuando contesta mal Jaja Toma la puto xD
Tue Aug 25 19:36:14 PDT 2015 --  El mejor pokemon y sus evoluciones @p pic.twitter.com/ticWwVN7sJ
Tue Aug 25 19:30:40 PDT 2015 --  Por que solo cuando cumples años te dan globos pic.twitter.com/HfxXPBTh4T
Tue Aug 25 18:58:07 PDT 2015 --  Japón tokio :3 Corea seul <3 :3 México df :) Sonora san Luis :( asco
Tue Aug 25 18:45:39 PDT 2015 --  Si nos besamos si nos amamos ahí quedarnos por donde miamos :3
Tue Aug 25 18:40:57 PDT 2015 --  pic.twitter.com/jQD95nZIjQ
Tue Aug 25 13:30:45 PDT 2015 --  Las lluvias se metieron asta mi cama 7. 7que mal plan
