Fri Aug 28 18:34:14 PDT 2015 --  Partyyyyy pic.twitter.com/JZ70xLH3Z2
Sat Aug 29 12:39:59 PDT 2015 --  Supi duppi https://twitter.com/blon87/status/637470881976066048 …
Thu Aug 27 01:13:24 PDT 2015 --  true friendship survives any storm .... false friendship is missing when even with no wind
Tue Aug 25 22:48:00 PDT 2015 --  oh god who has the light turned on in the sky ... I will still sleep
Sat Aug 22 00:32:46 PDT 2015 --  I do not need friends who want to change me ... but so what take me as I am ...
Thu Aug 20 04:18:59 PDT 2015 --  Anyone up for a barbecue pic.twitter.com/T6G1i7Cxmt
Thu Aug 20 00:18:12 PDT 2015 --  good morning world ..life could be so beautiful ... if it was not the whole problem would be that we humans make ourselves
Wed Aug 19 12:53:36 PDT 2015 --  Men realize you one even if you have robbed insulted us or lied to .. we have the best weapon to harm you ... femininity
Wed Aug 19 06:41:49 PDT 2015 --  I like pic.twitter.com/FhAjKCMagk
Wed Aug 19 06:35:32 PDT 2015 --  So this is again one of those days, no one can use the help .....
Wed Aug 19 02:54:04 PDT 2015 --  I do not need the complete me, I need someone who completely accepted me
Tue Aug 18 14:39:47 PDT 2015 --  prefer a man or pizza with your best friend definitely the Pizza
Mon Aug 17 13:38:39 PDT 2015 --  I'm looking for the man of my soul sees ... are you there
Mon Aug 17 03:13:41 PDT 2015 --  there are people with whom one would like to sit at the age on the rocking chair and talking about God and the world..
Sun Aug 16 14:07:58 PDT 2015 --  I want a man who senses when it comes to me no good no matter where he is ... But this is only in the film and in the book
Sun Aug 16 07:18:40 PDT 2015 --  Ich liebe Regen .... Lass uns im Regen tanzen ...I love rain ... let's dance in the rain
Sat Aug 15 08:50:40 PDT 2015 --  Ich bin im Handtuchhimmel
Sat Aug 15 02:20:46 PDT 2015 --  I would now like the Heidi on the alp between dark fir trees and green meadows in the sunshine ... But no now I have to work
Sat Aug 15 02:20:31 PDT 2015 --  Ich wäre jetzt gern die Heidi auf der Alm zwischen dunkle Tannen und grüne Wiesen im Sonnenschein ... Aber nein nun muss ich arbeiten
Sat Aug 15 01:07:22 PDT 2015 --  Guten Morgen zusammen wie war eure Nacht good morning how was your night
Fri Aug 14 05:09:07 PDT 2015 --  Just throw it all away and make new .... actually quite simple and yet so difficult
Fri Aug 14 05:08:25 PDT 2015 --  Einfach alles wegschmeißen und neu machen .... Eigentlich ganz einfach und doch so schwer
Wed Aug 12 22:57:29 PDT 2015 --  my desire is just gone off to seek my motivation ... shit now they are both gone
Wed Aug 12 22:57:03 PDT 2015 --  Meine Lust ist gerade los gegangen um meine Motivation zu suchen ... Schitt jetzt sind sie beide weg ️
Mon Aug 10 23:43:21 PDT 2015 --  An die Person die meine Schuhe versteckt hat als ich auf der Hüpfburg war : WERD ERWACHSEN
Mon Aug 10 12:07:49 PDT 2015 --  Also Feierabend und nun Regen ... Bleibt mir nichts anderes übrig als zu bügeln ... Tollll...
Mon Aug 10 00:26:12 PDT 2015 --  Gleich halb 10 in Deutschland ... Und ich finde mein Knoppers nicht
Fri Aug 07 22:18:58 PDT 2015 --  Guten Morgen Welt ... Ich bin wach pic.twitter.com/sn9vSM7ilc
Tue Aug 04 20:22:23 PDT 2015 --  Der tägliche Wahnsinn kann beginnen ... Ich bin wach !!!! The Daily madness begin...I'm awake !!!
Tue Aug 04 12:07:16 PDT 2015 --  pic.twitter.com/FmixEALV2m
Tue Aug 04 11:51:07 PDT 2015 --  happiness is something , to love something ,to do and something to hope for
Thu Mar 11 10:21:29 PST 2010 --  Heute bin ich geil auf Jagatee, denn der Tee macht alle Männer schee und wenn ich die geilen Kerle seh, denke ich sofort an Jagatee!" ^^
