Wed Aug 26 08:59:10 PDT 2015 --  🏽🏽 https://twitter.com/rhay1991/status/636562385872908288 …
Wed Aug 26 13:07:45 PDT 2015 --  #Pisces surround yourself with people who can truly appreciate your compassionate, generous, and romantic nature
Wed Aug 26 07:31:13 PDT 2015 --  #TeamUca don't you wish the C-Store accepted food stamps ...
Mon Aug 24 09:08:19 PDT 2015 --  Dropped my crushed ice ugh
Tue Aug 18 08:35:23 PDT 2015 --  Fuck weed. Legalize free college.
Sat Aug 22 06:04:03 PDT 2015 --  Running off 2 hours of sleep... Today should be interesting
Thu Aug 20 16:01:26 PDT 2015 --  Wow #JoshDuggar 's skeletons aren't just falling out of the closet, they are opening the door, walking out and taking a seat on the couch.
Thu Aug 20 10:48:43 PDT 2015 --  I hope all the Bears are enjoying their first day of class
Thu Aug 20 10:40:08 PDT 2015 --  Why do we have meters on campus? As if tuition isn't high enough
Thu Aug 20 10:35:31 PDT 2015 --  I wonder if UCA PD could take all the money they make from all the parking citations they give could they get us more parking lots.
Thu Aug 20 10:32:07 PDT 2015 --  #Pisces has the strongest gut feelings amongst the other signs.
Thu Aug 20 09:53:45 PDT 2015 --  I hope my day gets better throughout the day.
Thu Aug 20 09:51:38 PDT 2015 --  Sooooo UCA took away a chunk of student parking for staff parking? But didn't replace the student parking they took away?
Thu Aug 20 07:51:12 PDT 2015 --  Good Morning!!! First day of my last year @ucabears .... Praying for an amazing year
Wed Aug 19 13:10:01 PDT 2015 --  #Pisces has a very spiritual and emotional personality.
Wed Aug 19 13:11:23 PDT 2015 --  If it's raining tomorrow I might just "accidentally" miss the first day of class.
Tue Aug 18 10:54:00 PDT 2015 --  #Pisces won't always call you out on your bullshit, but trust me, they DO see it.
Tue Aug 18 10:42:27 PDT 2015 --  People are calling/texting me, blowin up groupme as if we ALL don't get the same email lol I get it... Conway Daze is postponed!!!
Sun Aug 16 15:08:11 PDT 2015 --  I hate getting attached to people or getting my feelings involved now..
