Mon Jul 06 18:19:33 PDT 2015 --  YOLOUYHH you onli liv onse unles you hav horcruxis
Sun Jul 19 04:28:22 PDT 2015 --  Smile, because life is too short to be unhappy.
Sat May 30 06:01:25 PDT 2015 --  "I want everyone to meet you. You're my favorite person of all time."
Thu Apr 02 00:35:09 PDT 2015 --  i only understand like 9% of life
Fri Mar 27 04:15:01 PDT 2015 --  Your smile makes me smile.
Fri Apr 03 08:15:26 PDT 2015 --  To me, you're so perfect.
Thu Mar 19 20:55:49 PDT 2015 --  I love being around someone who makes me laugh so much
Fri Mar 13 12:05:08 PDT 2015 --  gosh being a princess is exhausting
Thu Jan 29 12:03:07 PST 2015 --  får utdelt matteprøve. reiser meg strekker armene tar en pause går går mot bussen til flyplassen går ombord på et fly kommer aldri tilbake
Sun Dec 21 14:05:06 PST 2014 --  New Years resolution pic.twitter.com/lxthZZukIv
Thu Nov 06 07:19:51 PST 2014 --  Do what makes you happy, and be with someone who makes you smile.
Wed Apr 23 13:25:15 PDT 2014 --  Du er så forbanna deilig
Thu Jul 17 13:26:50 PDT 2014 --  Noen mennesker gjør latteren din litt høyere, smilet ditt bredere og livet litt bedre. Det er de menneskene som er verdt å ta vare på
Wed Aug 07 13:08:03 PDT 2013 --  Vurderer å gjøre noe kult på klassebildet i år. Som å ha 2 fingre bak huet til han ved siden av meg, så tror alle at han er en kanin HAHAHAH
Sun May 25 13:25:57 PDT 2014 --  Mennesker som puser deg frivillig er mennesker du bør ta vare på
Sat May 17 09:59:33 PDT 2014 --  Smiling is contagious.
Sat Apr 05 04:04:02 PDT 2014 --  Elsker jo faktisk de personene som du kan både kødde og samtidig ha dype samtaler med
Sun Jan 19 12:11:47 PST 2014 --  Kjære bestevenn: Du er helt perfekt Både på utsiden og innsiden
Tue Oct 15 10:51:58 PDT 2013 --  Av og til bruker jeg store ord jeg ikke helt forstår, i et ørlite forsøk på å virke litt mer fotosyntese
Thu Dec 19 07:12:36 PST 2013 --  I like people who can keep the conversation going, no matter how random the topics get.
Mon Aug 05 15:06:11 PDT 2013 --  Elske å syng, men høres ut som en torturert hvalross
Tue Jun 25 07:37:54 PDT 2013 --  Kler ikke solbrilla https://vine.co/v/hziPTKTJjOW 
Thu Jan 17 07:05:17 PST 2013 --  Ikke diss gingere! pic.twitter.com/Yyu3AIDr
Tue Jun 18 03:04:13 PDT 2013 --  Swag https://vine.co/v/hBU59DXF57n 
Sat May 25 01:00:42 PDT 2013 --  Å d e helt sykt!! du MÅ(!!!) ha på ørepluggs! D e verdt å følg me på hele, å lukk øyan! aldri åpne dæm! http://tmblr.co/ZVT9Xsl7P22T 
Sat Apr 20 11:27:40 PDT 2013 --  Kjære lærer, du kan flytte meg så mye rundt i klasserommet som du bare vil. Jeg kan føre en samtale med absolutt alle
Fri Dec 28 16:02:03 PST 2012 --  Lærere som klager på at vi ikke leverer 7 rapporter innen fristen mens de bruker 3 uker på å rette en gloseprøve selv, fordi "de har et liv"
Sun Feb 17 14:34:39 PST 2013 --  Når jeg er alene hjemme og hører en lyd pic.twitter.com/OxGbf5qB
