Sat Aug 29 01:14:28 PDT 2015 --  
Fri Aug 28 08:54:18 PDT 2015 --  K, I'm tired of my short hair now. Grow hair, grow!!
Fri Aug 28 08:52:03 PDT 2015 --  No, I like to argue lol https://twitter.com/BestofCapricorn/status/637286450703302656 …
Fri Aug 28 03:27:33 PDT 2015 --  Boy, 13, keeps father alive after he's badly hurt by falling boulder: http://abcn.ws/1JB3bG9  pic.twitter.com/WAuuSBOIA0
Thu Aug 27 12:41:34 PDT 2015 --  The Last Known Ebola... http://www.buzzfeed.com/hayesbrown/the-last-known-ebola-patient-in-sierra-leone-literally-dance?utm_term=.ihaAwPmB7V …
Thu Aug 27 07:40:22 PDT 2015 --  Thursday grind pic.twitter.com/Hwqxh8kNaP
Thu Aug 27 05:17:47 PDT 2015 --  https://youtu.be/VLK3dtzNvNQ 
Thu Aug 27 01:02:06 PDT 2015 --  . @taylorswift13 got @LisaKudrow on stage to perform 'Smelly Cat' pic.twitter.com/F90IsokXcB
Wed Aug 26 13:00:03 PDT 2015 --  I hope you know I need you...
Wed Aug 26 12:58:21 PDT 2015 --  But I cannot see myself without youuuuuuu..
Tue Aug 25 05:12:16 PDT 2015 --  Snapchat, you just made my desire to move to Austin a top priority for me!
Sun Aug 23 00:32:24 PDT 2015 --  THE CATS FACE OH MY GOD https://vine.co/v/enU1M1dO7lQ 
Sat Aug 22 11:46:57 PDT 2015 --  When you start as friends it's hard to say you're never going back.. ♫ http://spoti.fi/1mHqr6O 
Fri Aug 21 16:08:05 PDT 2015 --  A look inside Banksy's "Dismaland," the bleakest amusement park ever http://huff.to/1JwPNVg 
Fri Aug 21 09:24:29 PDT 2015 --  You know it's been a hella long week when your boss starts singing 'I'm a little tea pot' out loud in her office to keep from going crazy
Fri Aug 21 03:42:35 PDT 2015 --  Happy Friday everyone! It's gonna be a good one. https://twitter.com/drthaisspeaks/status/634669358694957056 …
Thu Aug 20 18:43:08 PDT 2015 --  But here I am. THIS, this feeling right now is why I refuse to put myself out there.. don't worry, you won't be hearing from me anymore...
Thu Aug 20 18:39:14 PDT 2015 --  And all of a sudden it's 2011 again, and somehow I'm in the exact same place I was in emotionally. And I could have sworn never again...
Thu Aug 20 05:03:00 PDT 2015 --  This can't be all that there is to life... I hate routine..
Thu Aug 20 04:58:15 PDT 2015 --  You don't say.. https://twitter.com/TIME/status/634330301724930048 …
Wed Aug 19 20:38:11 PDT 2015 --  I'm all alone and I need you now ...
Wed Aug 19 19:53:11 PDT 2015 --  Don't let insecure people make you insecure of yourself. Watch the full message here >> https://www.facebook.com/LikeTrentShelton/videos/965584500187517/ … pic.twitter.com/XxWHQ84cvK
Wed Aug 19 19:53:57 PDT 2015 --  My kinda kid! #toomanyfeels https://twitter.com/ABC/status/634188125560942592 …
Wed Aug 19 13:09:12 PDT 2015 --  How is it only 3 o'clock!?
Tue Aug 18 08:16:05 PDT 2015 --  I appreciate the fact that you clearly care about hygiene, which is awesome, but dude srsly chill on the cologne. #notanothersprayplease
Mon Aug 17 14:35:10 PDT 2015 --  The future belongs to those who believe in the beauty of their dreams. -Eleanor Roosevelt
Mon Aug 17 14:37:57 PDT 2015 --  Yea, it's time to go..
Sun Aug 16 20:00:13 PDT 2015 --  “How's life?" https://vine.co/v/e6nLQQuYJPn 
Mon Aug 17 09:57:56 PDT 2015 --  Tracy Morgan to host SNL in first comedy appearance since car accident http://bzfd.it/1DYpkhj 
Fri Aug 14 03:14:06 PDT 2015 --  Good morning everyone! If you're not where you want to be, why don't you go ahead & get there? #MorningInspiration #SHMS
Thu Aug 13 19:59:20 PDT 2015 --  That moment you realized, you fucked up. #keepmovingforward #iCANdothis #watchme
Thu Aug 13 19:01:06 PDT 2015 --  My life lately pic.twitter.com/mqxAtL2rkV
Thu Aug 13 08:47:25 PDT 2015 --  At this point my body is running purely on coffee and sugar. one class down, one to go!
Wed Aug 12 21:18:28 PDT 2015 --  I really, really, REALLY love Em! Despite his twisted mind lol #jamsession #foreverafan
Tue Aug 11 17:59:21 PDT 2015 --  Make your life spectacular.. continue resting Robin Williams.. https://youtu.be/6csfDT5ovps 
Tue Aug 11 14:15:49 PDT 2015 --  I love the smell of rain on a warm summer day!
Wed Jul 01 09:09:04 PDT 2015 --  Einstein and his therapist. "Happiness in intelligent people is the rarest thing I know." pic.twitter.com/sDKIWBm3z9
Mon Aug 10 13:48:53 PDT 2015 --  Hotel booked ATX I'll be seeing you soon!
