Thu Aug 20 11:30:33 PDT 2015 --  @SvelteTheGreat Let you have it http://facebook.com/qdrillin  https://m.facebook.com/NikiJaiMusic?_rdr … pic.twitter.com/sKCP8uFBwU
Mon Aug 17 09:53:05 PDT 2015 --  I'm also really diggin' THEY DON'T KNOW - @W_angechi X @Fena_menal https://www.youtube.com/watch?v=AMnpawaJta8 … #TeamADELLE
Mon Aug 17 09:51:30 PDT 2015 --  MOOD #bluntblowing pic.twitter.com/66uNvQUJ33
Mon Aug 17 09:12:36 PDT 2015 --  Following spree If I follow you means IFWU
Mon Aug 17 09:11:42 PDT 2015 --  Follow for follow
Sat Aug 15 06:02:17 PDT 2015 --  Meek look happier back then. pic.twitter.com/XDB9YdNovZ
Wed Aug 05 05:16:15 PDT 2015 --  When you accidentally post that Mollis audio kwa family whatsapp group pic.twitter.com/PeRNfNf8fM
Wed Jul 29 21:38:57 PDT 2015 --  #Meek after @Drake dropped that #BackToBack freestyle pic.twitter.com/srKhzttdjr
Sun Jul 26 21:37:38 PDT 2015 --  I slept under the bed... when I read this and the response he got... LoL! #NowThatObamaIsGone pic.twitter.com/lTVThCObcP
Tue Jul 07 18:25:38 PDT 2015 --  Mane I had a chick call me daddy then say after that "you really are my daddy cause my real daddy wasn't in my life" Bruh I nutted so fast.
Wed May 27 17:16:01 PDT 2015 --  When you're trying to smoke but you got the munchies at the same time pic.twitter.com/vhyOFVNb4m
Thu Jul 02 22:07:28 PDT 2015 --  "Would you like a table?" "No, I came to the restaurant to eat on the ground, a carpet for 5 please" #SamWestJokes
Thu Jul 02 22:26:10 PDT 2015 --  Uhuru Kenyatta is Africa's president never 2nd guessed it though #MyPresidentIsCoolerThanYours
Sat Jun 20 12:39:13 PDT 2015 --  fuck boy!!
Fri Jun 19 22:42:45 PDT 2015 --  FUCK UNFOLLOWERS
Sat May 23 03:11:36 PDT 2015 --  Follow me if you're under 5k and I'll help you gain! pic.twitter.com/l2NG9gdTC9
Thu May 07 10:15:37 PDT 2015 --  TotalSlaughterII?
