Tue Aug 18 02:41:26 PDT 2015 --  Ahora. pic.twitter.com/2wPGapmsdK
Mon Aug 17 18:21:58 PDT 2015 --  Mañana hay escuela pic.twitter.com/y8MdC4YwG7
Mon Aug 17 12:58:05 PDT 2015 --  -Amigaa tus cuernos agarran wifi?
Mon Aug 17 07:47:19 PDT 2015 --  Despertarse tarde un feriado era lo mas. No se que hago despierto a esta hora si siempre me despierto a las 3
Sun Aug 16 19:02:20 PDT 2015 --  Mañana es lunes y me desespero porque no tengo la tarea hecha pero me acuerdo que es feriado y se me pasa
Sun Aug 16 18:36:30 PDT 2015 --  La falsedad es la nueva tendencia y se ve que muchas personas estan a la moda
Sun Aug 16 13:54:38 PDT 2015 --  Me desespero cuando estoy stalkeando y se me escapa un fav
Sun Aug 16 05:45:18 PDT 2015 --  -Feliz dia del niño gustavito -Gracias maaa, que me regalaron? -Ya estas grande para regalo - pic.twitter.com/QDcW6W0FjO
Sat Aug 15 18:50:49 PDT 2015 --  Agarrarte los dedos con la puerta del auto es como que te aplasten 20 hipopotamos, 10 ballenas y 70 hombres
Sat Aug 15 18:20:54 PDT 2015 --  Cuando retan a tu hermano pic.twitter.com/xbuEBDQVOr
Sat Aug 15 17:32:06 PDT 2015 --  Se sale fuerte pic.twitter.com/YKv7FcMzLH
Sat Aug 15 14:41:42 PDT 2015 --  No sos nadie si nunca buscaste en el paquete de galletitas variedad una especifica
Sat Aug 15 13:21:26 PDT 2015 --  -Te amo un montón lindo -No me importa tengo un Cofler nuevooo
Sat Aug 15 10:02:23 PDT 2015 --  Prendes el celular despues de cargarlo: %100 Lo usas dos minutos: %20
Sat Aug 15 08:10:02 PDT 2015 --  Sol apareciste. Me extrañaste?
Sat Aug 15 05:28:48 PDT 2015 --  Dormir hasta tarde un sabado era despertarse a las 2. Nose que hago despierto 9.30
Fri Aug 14 17:29:49 PDT 2015 --  Descripcion grafica para el finde: pic.twitter.com/stHEls6mQ0
Fri Aug 14 15:21:17 PDT 2015 --  TÍPICO Salir dos días seguidos, y para tu mamá “Ya vives en la calle"
Fri Aug 14 15:17:34 PDT 2015 --  Celular en silencio: 17 llamadas perdidas 15 mensajes 155 whatsapp Celular en sonido: 0 llamadas 0 mensajes 1 whatsapp de tu mamá
