Sat Aug 29 07:30:02 PDT 2015 --  fuck cults
Sat Aug 29 08:13:05 PDT 2015 --  jery made from capn crunch, cherios, Froot loops, alpha bits count cholula and frosted mini wheats by @jasonmecier pic.twitter.com/AyF91cgvY3
Fri Aug 28 09:01:16 PDT 2015 --  It's the #SummerOfGuns and folks, I have caught #GunFever
Fri Aug 28 17:54:10 PDT 2015 --  tfw u remember its the classic Friday night we all love to enjoy , aka the Beer drink time #ItsTheBeerDrink pic.twitter.com/OJFFayotAJ
Fri Aug 28 18:34:13 PDT 2015 --  GOAT. https://vine.co/v/eIZOeY2Ti71 
Fri Aug 28 11:18:50 PDT 2015 --  pic.twitter.com/U0n6BZN42f
Fri Aug 28 08:24:46 PDT 2015 --  Sarah Palin fucked Glen Rice in like 1988. That era of NBA will never be equaled
Thu Aug 27 08:27:20 PDT 2015 --  HEY ASSHOLES STOP FUCKING SHOOTING EVERYONE, GOD DAMNIT
Thu Aug 27 07:00:00 PDT 2015 --  fuck cucumbers
Wed Aug 26 19:55:22 PDT 2015 --  pic.twitter.com/txSNfHxo7D
Wed Aug 26 12:19:06 PDT 2015 --  Just stumbled into this GIF on @giphy. Not sure where it's from originally, but it's my new favorite thing. pic.twitter.com/2FThY6eDT5
Tue Aug 25 07:20:26 PDT 2015 --  How many trees you climb today bitches? pic.twitter.com/D4G154dVfD
Wed Aug 26 12:38:03 PDT 2015 --  https://vine.co/v/edrOxZUtAaa 
Sun Aug 23 20:01:47 PDT 2015 --  pic.twitter.com/qJulqu9FLQ
Sun Aug 23 18:33:43 PDT 2015 --  49ers are going 0-16 https://vine.co/v/ejuqBj7wK5L 
Sun Aug 23 17:39:12 PDT 2015 --  Papa john in the house . You order my pizza from me. My employees deliver.
Tue Dec 02 12:22:50 PST 2014 --  when you're in the mood for a snack https://vine.co/v/b0BzIJMqxde 
Thu Aug 20 17:34:53 PDT 2015 --  accessory dog pic.twitter.com/CZVf2Pg0SQ
Wed Aug 19 20:27:11 PDT 2015 --  https://vine.co/v/ehP6FATWWj7 
Wed Aug 19 19:40:32 PDT 2015 --  *seibfeld bass riff* ever notice how your penis and the area around it itch all the time?
Wed Aug 19 13:59:33 PDT 2015 --  Nope, it’s legit. https://twitter.com/BustedCollege/status/634107014369538048 …
Wed Aug 19 12:45:37 PDT 2015 --  The 1,000,000th person to make the Jared + footlong = sex joke gets a free sub. Don't miss out.
Tue Aug 18 15:36:29 PDT 2015 --  While we're bashing Jared, the Subway he famously walked to every day was actually directly below his apartment. pic.twitter.com/3iaW1KdyXG
Tue Aug 18 15:55:27 PDT 2015 --  Folks.....it's time for an beer pic.twitter.com/jeml8a2ePV
Tue Aug 18 15:56:24 PDT 2015 --  the size of the subway sandwiches sounds like the size of a normal and very large penis. he is going to prison where people get raped
Tue Aug 18 16:06:48 PDT 2015 --  dude what? come on. RT @tedcruz I still stand with Jared "The Submarine Sandwich Man" Fogle.
Mon Oct 27 21:46:44 PDT 2014 --  We the People need a plan to Restore the Republic.. and @patsajak has it. Please RT #tcot pic.twitter.com/vFfAlYzrcT
Fri Aug 14 19:18:14 PDT 2015 --  Buy the Vandy 'Pain Train' tailgating bus for $15,000 (spotted tonight by @nrichey83) pic.twitter.com/FNwm6F1MxB
Wed Feb 11 21:32:11 PST 2015 --  A bear with a human butt and dick
Thu Aug 13 17:33:34 PDT 2015 --  QUARTERBACK: hey coach, can i try throwing with my left hand this quarter? FOOTBALL COACH ME: it's the preseason. who gives a fuck.
