Sat Aug 29 07:50:33 PDT 2015 --  If your cell phone is over 500$ you're an idiot if you don't have insurance.. #sorrycanthelpyou
Wed Aug 19 18:33:21 PDT 2015 --  Only thing is one of the three have 2 wear my jersey! Or all three!
Wed Aug 19 18:32:05 PDT 2015 --  Got three 1st row tickets 2 the game tomorrow! Who wants them?
Mon Jul 20 11:11:30 PDT 2015 --  Work sucks
Mon Jul 20 06:53:42 PDT 2015 --  Now I need a nap
Mon Jul 20 06:28:14 PDT 2015 --  After that workout they might have inflated to 20's by the end.#bigshitpoppin#fuckyeah#hulkstatus
Mon Jul 20 06:25:47 PDT 2015 --  Decline PR today. 1 solid slow rep for 300. Followed by 10 smooth magestic reps of 225. Great pump this morning #swoll#getbig#20'shereicome
Wed Jul 15 16:11:23 PDT 2015 --  Ah need to get a lift in.... #shitballs #feelfat #gymproblems
Wed Jul 15 15:19:39 PDT 2015 --  Sometimes I just wanna hit someone over the head with a 85lb dumbbell. And I feel like shit because I couldn't workout today. #stayingfit
Wed Jul 08 06:11:07 PDT 2015 --  RT for all those who can't be home with their families today pic.twitter.com/j6wkMnqz3j
Tue Jul 07 11:26:43 PDT 2015 --  Bouta head to the gym to get it in.... shoulders/tris!#lightweight#getbigorgohome
Mon Jul 06 06:17:14 PDT 2015 --  Bench press 300lbs x3.#gainz#allday#keepitmovin#futurearnold
Sun Jul 05 18:19:07 PDT 2015 --  Just bought some new #calaway irons and driver. I'm comin for you tiger
Sun Jul 05 16:09:30 PDT 2015 --  That was a fast first goal. Let's keep doing it!!!! #USWNT
Thu Jul 02 07:33:03 PDT 2015 --  Really thinking about opening up a gym. #fitnessmotivation#hopeful#aspirations# #gongetit
Thu Jul 02 05:34:40 PDT 2015 --  Day 1 of healthy eating and heavy lifting.. let the madness begin! #gainz#musclegrowth#hulksmash#letsgetit#fuckbeingsmall#hellyeah
Tue Jun 30 12:20:06 PDT 2015 --  Nap time
Sun Jun 28 16:47:00 PDT 2015 --  RT if you have a love/hate relationship with food. pic.twitter.com/xLXbv6FsxG
Mon Jun 29 06:10:06 PDT 2015 --  Still gotta lose a few more inches on the waist though#fatty
Mon Jun 29 06:06:47 PDT 2015 --  Set 2 PR's last two chest and bi workouts. 275 for 5 and 225 for 15. Feeling real good. #goals#gainz#heavyweight
Sun Jun 28 14:48:08 PDT 2015 --  Gotta love the customers that come in 10 mins before close for a 40 minute transaction. #suckitBRO
Sun Jun 28 13:16:48 PDT 2015 --  When you haven't greeted someone in 3 hours#sundayblows
Sat Jun 27 15:15:50 PDT 2015 --  Soo damn hungry!
Fri Jun 26 20:46:04 PDT 2015 --  Damn casino got me again.... fuck gambling.... but it's so addicting.. shit balls
Wed Jun 17 08:40:21 PDT 2015 --  BRUH LMFAO pic.twitter.com/93bUm6VZS1
Sat Jun 20 17:59:47 PDT 2015 --  "I GOT A BALD HEAD" pic.twitter.com/HRH9CfEwS1
Thu Jun 25 18:24:32 PDT 2015 --  Jurassic world in 6 seconds http://vine.co/v/OK7x6JWIgzg 
Fri Jun 26 06:37:42 PDT 2015 --  We've had the same store hours for ten years. Yet people still show up and curse at us when they can't come in. My gosh how stupid are you..
Fri Jun 26 06:11:18 PDT 2015 --  Got a good back and trap workout in this morning. Now off to work. Oh the joys! #MoneyInTheBank
Thu Jun 25 13:40:01 PDT 2015 --  Things I say while I'm driving pic.twitter.com/K8GHV9RcWR
Thu Jun 25 13:14:31 PDT 2015 --  2 hours.. No customers..Tmobile Parmatown life... My paycheck is really suffering right now.. Please do something with this mallll. #SoSlow
Thu Jun 25 12:23:02 PDT 2015 --  I just wanna be home with @CBMcCarthy
Thu Jun 25 11:45:57 PDT 2015 --  When people say they are going to kill you while your working.. lmfao.first of all it's just a cell phone and secondly Let's see you try
Thu Jun 25 11:24:44 PDT 2015 --  I think I need a snickers # fuckthis
Thu Jun 25 11:23:58 PDT 2015 --  What don't you understand about. I CAN'T HELP YOU WITH THAT SHIT... it's not my job to hold your damn hand. Grow up and do it yourself fuck.
Thu Jun 25 11:19:09 PDT 2015 --  Why can't work be busy? Why the fuck are we so slow.. need to make money not sir on my ass all day. #fuckme
Wed Jun 24 08:56:06 PDT 2015 --  I voted for @KingJames to win #BestMaleAthlete @ESPYS. http://bit.ly/1IxoDqY 
Wed Jun 24 08:51:52 PDT 2015 --  LEBRON "THE KING "JAMES https://twitter.com/SportsCenter/status/613724496785244160 …
Mon Jun 22 06:51:11 PDT 2015 --  But ready to get back to the grind
Mon Jun 22 06:50:54 PDT 2015 --  1st day of work after a week long vacation.... #shitballs
Fri Jun 12 13:02:16 PDT 2015 --  Time goes by so slowlyyyyyyyy
Fri Jun 12 13:00:59 PDT 2015 --  I can't take waiting to go on vacation... T-minus 11 hours till outer banks.
Thu Jun 11 20:52:38 PDT 2015 --  Glad its over though couldn't watch any longer. So frustrating
Thu Jun 11 20:50:13 PDT 2015 --  Warrior fans are all bandwagon. You never heard of them until this season. And the fake Warrior fans at the game should kill themselves. #SAD
Thu Jun 11 20:46:16 PDT 2015 --  Very upsetting
Thu Jun 11 20:43:23 PDT 2015 --  Dub nation my ass. Cavs mssing wide open shots and not getting the calls. Were gonna win by 20 in golden state sunday. Still cavs in 6.
Thu Jun 11 20:36:41 PDT 2015 --  This is not how you fuckin play. Ugly ugly ugly
Thu Jun 11 20:03:21 PDT 2015 --  Let's keep the momentun . Put the pedal to the metal and close this shit out!!!
Wed Jun 10 08:16:56 PDT 2015 --  #ALLIN
Wed Jun 10 08:16:46 PDT 2015 --  And what a great cavs win! Delly showing up again. Now what do the analysts have to say about him not being talented. 2 games shittin on MVP
Wed Jun 10 08:15:22 PDT 2015 --  1st soccer game in a year last night went..... as good as someone who is out of shape and rusty could go... #soreasfuck
Tue Jun 09 05:43:01 PDT 2015 --  When delli shuts curry down tonight that Will show all the naysayers that it wasn't a fluke. We all know he's a great defender. 102-88 Cle W
Mon Jun 08 18:52:33 PDT 2015 --  US women's team takin care of business against Australia in world cup opener! #USWNT
Mon Jun 08 08:27:39 PDT 2015 --  When there's Noone coming in the door at work and you're eyes are bleeding from staring at the phone screen for hours. #retailproblems
Mon Jun 08 07:46:19 PDT 2015 --  Love everyone talking shit about deli on every source of media. The guy is playing like he wants to win a chanpionship! Keep it up. #ALLIN
Sun Jun 07 20:28:03 PDT 2015 --  Steph: "Can you say daddy?" Riley: "Del.... Dellav.. Dellavedova." pic.twitter.com/FsXxy92Dk2
