Mon Aug 10 17:47:23 PDT 2015 --  Text me pic.twitter.com/yS4s4gmuGB
Wed Jul 29 15:15:27 PDT 2015 --  O.P.P I JUST FOUND OUT WHAT IT REALLLY MEANS DUHHH
Thu Jul 16 18:58:12 PDT 2015 --  Okay so i cut my hair today!!! Finally hope you guys are happy Family Friends!!!! #Yayyymmmyeano!! pic.twitter.com/ChTfvXQeZk
Wed Jul 15 15:51:30 PDT 2015 --  To have a better future you have to be willing to let go of your pass and the bad habits.. #choosesomethinggreaterinlifeforyouonly
Thu Jul 09 22:48:53 PDT 2015 --  wat a fudging
Thu Jul 09 21:04:14 PDT 2015 --  Its my birthday someone made my birthday special tonight @PrettyBoy_Dreas #23
Thu Jul 09 00:07:22 PDT 2015 --  I had a funny and relax convo this morning with @PrettyBoy_Dreas as always ... #bestfriendandbestboyfriend convo lmaooo
Mon Jul 06 22:52:21 PDT 2015 --  When you meet a person that start making your bad days a good day and sad moment a good moment you keep them around @PrettyBoy_Dreas #
Sun Jul 05 21:00:52 PDT 2015 --  Last summer horse riding was great #bestfriendforever pic.twitter.com/k4NqNz3qp3
Sun Jul 05 20:20:58 PDT 2015 --  To be stress free and if you had a bad break up? All you have to is workout and make yourself look good and feel good #Seriouslybeactive
Sun Jul 05 20:10:49 PDT 2015 --  pic.twitter.com/ddFObaTUKS
Sun Jun 28 15:22:34 PDT 2015 --  having a bad day today and is so not okay to have it right now when you watching some Tyler's Perry movie with Madea in action #
Tue Jun 23 22:40:53 PDT 2015 --  beautiful life #secondchangetofigureitout everyone can do so much better!!
Mon Jun 22 19:59:51 PDT 2015 --  how to react to your family culture when you are use to a america culture about your pregnancy? #whatboundariesdotheyhavetorespect
Mon Jun 22 10:35:13 PDT 2015 --  at the ultrasound with yea!!! #imheretoseemychild
Fri Jun 12 20:49:41 PDT 2015 --  being nice doesnt mean for you to let people laugh at you for doing what you need to do to make you happy #envy smh FUDGE U!! move on
Thu Jun 11 22:49:50 PDT 2015 --  positive mind well get you far but positive life style will for ever be yours if you really wanna it...work hard be honest live life #ME
Wed Jun 10 01:32:05 PDT 2015 --  the convo i just had with @PrettyBoy_Dreas was mmmmmm
Mon Jun 08 23:20:16 PDT 2015 --  what a productive and busy day i had.. im happy to help others and that doesnt have a strong family support system.. #iconsideryoufamily
