Sun Jul 26 08:51:50 PDT 2015 --  pic.twitter.com/KkmfvewfsO
Mon Jul 06 21:29:50 PDT 2015 --  test
Fri May 15 01:13:10 PDT 2015 --  Very much looking forward https://twitter.com/limera1nJB/status/598864689158877184 …
Sun Mar 01 05:07:59 PST 2015 --  China Unicom FDD LTE pic.twitter.com/3nG1Igw3Tn
Thu Jan 22 18:04:44 PST 2015 --  【删除CNNIC证书的方法】删除的主要原因是避免“中间人攻击”，删除方法：命令行执行certmgr.msc，“受信任的根证书颁发机构”-“证书”，CNNIC证书上点右键，“停用这个证书的所有目的”，然后确定。
Sun Sep 28 18:36:29 PDT 2014 --  我估计这些天剩余的那些可访问的国外即时通讯应用、照片分享应用应该都会一个接一个地被屏蔽。
Wed Jul 16 09:30:25 PDT 2014 --  Don't speak English.
Sat Feb 16 06:05:38 PST 2013 --  最近流行剪刀手，我也来一张。 pic.twitter.com/0qlgebPU
Mon Feb 04 18:51:40 PST 2013 --  测试。
Mon Jan 28 07:38:40 PST 2013 --  好想你啊…我可爱的老婆…唉…赶紧开学吧… pic.twitter.com/v1hHHdGY
Mon Jan 28 07:37:59 PST 2013 --  我怕的不是我爱你，你不爱我，而是我爱你，你爱我，后来你不爱了，而我还爱着。 pic.twitter.com/O3ZdQ3Iw
Fri Jan 18 20:05:55 PST 2013 --  来给大家养养眼。哈哈。 pic.twitter.com/ugsZjPYB
Mon Nov 19 20:46:08 PST 2012 --  剩下最后一个月了，准备准备该走了… pic.twitter.com/QGiF6CcG
Mon Nov 19 20:43:04 PST 2012 --  pic.twitter.com/VpqgYp8R
Mon Nov 19 20:40:23 PST 2012 --  pic.twitter.com/io8nLBzZ
Mon Nov 19 20:39:55 PST 2012 --  pic.twitter.com/GX89TJnF
Mon Nov 19 20:39:28 PST 2012 --  pic.twitter.com/FqQKExsT
Mon Nov 19 20:39:10 PST 2012 --  pic.twitter.com/f3fjYsYD
Thu Nov 15 20:55:19 PST 2012 --  以后杀人游戏这样玩：天黑请闭眼，学霸请睁眼，学霸请答题，好的，学霸请闭眼；考生请睁眼，考生请作弊，好的，考生请闭眼；监考老师请睁眼，请指认作弊考生，监考老师请统一意见，好的请闭眼；专业老师请睁眼，这个人挂了，救还是不救？好的，天亮了，这个考生挂了。。。
Fri Nov 09 22:38:09 PST 2012 --  我双手搬着砖，就无法抱你，双手放开砖，就无法养你。 pic.twitter.com/oayOqOxc
