Wed Aug 26 15:58:39 PDT 2015 --  @richiesgenial La ilusión de producir LA VOZ KIDS.
Wed Aug 26 15:18:21 PDT 2015 --  ¿Qué tan atrasada está la comedia de Adal que para anunciar su programa usó el "Loret de Mola es un pendejo"? Suerte el sábado...
Wed Aug 26 15:56:08 PDT 2015 --  @richiesgenial Ya no digo nada porque me abuchean en TAG… otra vez.
Thu Aug 27 10:44:11 PDT 2015 --  Hoy un señor me incomodo.. Llego justo cuando estaba cantando y después no se quizo cambiar de lugar el mierda. Me obligo a callarme.
Sat Jul 11 10:34:44 PDT 2015 --  Cómo cuando Oliver fue al IMSS porque le dio gripe y le terminaron cortando las piernas. pic.twitter.com/2qTnUAdOOg
Thu Aug 27 18:57:17 PDT 2015 --  ¿Qué futuro le veías a ese matrimonio si de luna de miel se fueron a Acapulco?
Wed Aug 26 22:31:07 PDT 2015 --  "Que divertido ver un partido de beisbol!" -La mamá del beisbol viendo su reflejo en el río
Wed Aug 26 22:46:50 PDT 2015 --  A ver pendejos el mejor deporte es el de las canicas en la feria ¿ok? Ahí hasta tu figura de hueso te dan
Wed Aug 26 22:48:01 PDT 2015 --  Si esta fuerte la calor pic.twitter.com/G3VA68ILb1
Thu Aug 27 05:27:03 PDT 2015 --  Tipico que vas camino a la escuela y te encuentras con el cucusclan ¿Por que Jesús? pic.twitter.com/X2NcmYnwvk
Sun Aug 23 00:45:00 PDT 2015 --  The 30 most naked dresses of all time. http://on.elle.com/1PsPs4n  pic.twitter.com/KS7Xgnaaut
Sat Aug 22 18:36:01 PDT 2015 --  La marihuana es un enervante no es una droga pa llamarle droga tendría q pasar por una síntesis en un laboratorio químico truchas
Sun Aug 23 00:48:07 PDT 2015 --  Transmitido por periscope desde CD Juarez chihuahua
Sat Aug 22 23:02:17 PDT 2015 --  En sábado no tuiteo
Thu Aug 20 17:09:21 PDT 2015 --  ¿Qué le pasa al mundo? No se si estan peor las narcopanochas o el que escribio la nota "La panela" JAJAJA pic.twitter.com/FvAPEDjJK1
Fri Aug 21 12:19:03 PDT 2015 --  Y todavía lo quieres?.... https://vine.co/v/eDWHhFz5F3t 
Sat Aug 15 11:24:30 PDT 2015 --  Mi máquina favorita del gimnasio es a la que le echas una moneda y sale un gansito.
Thu Aug 20 08:50:39 PDT 2015 --  Cuando todos te dicen que no vuelvas con él y ahí vas de pendeja pic.twitter.com/Aa4iCusEhp
Thu Aug 20 14:24:45 PDT 2015 --  . @LuciaMendezP @TwitterEspanol Orgullosa de ser la primera latina en ser hackeada. ¿Como va a estar bloqueada si la estas usando? JAJAJAAA
Mon Aug 10 20:33:26 PDT 2015 --  Make Way for Ducklings #Boston pic.twitter.com/ocJ1NvP6pJ
Thu Aug 13 10:43:40 PDT 2015 --  Well said, Alfred Hitchcock. pic.twitter.com/OgKv4OCfAV
Tue Aug 18 11:48:35 PDT 2015 --  James Dean fue el Sid Vicious el Kurt Cobain o el John Lennon de los años 50. Marcó una linea inspiradora de rebeldía pic.twitter.com/kODKUaGhUG
Mon Aug 17 20:43:56 PDT 2015 --  pic.twitter.com/0lg8vAGLg3
Tue Aug 18 00:21:43 PDT 2015 --  La estupidez humana bajo el lápiz y talento del ilustrador Steve Cutts. pic.twitter.com/r6sfr8EPy8
Mon Aug 17 18:11:07 PDT 2015 --  Me pregunto qué habrá sentido Axl Rose al escuchar «November Rain» por primera vez; tristeza por la letra, o alegría por su majestuosa obra.
Mon Aug 17 19:30:46 PDT 2015 --  Para todos los nacos pejezombies chairos que critican a Peña Nieto diciendo que se puso las calcetas al revés pic.twitter.com/duQhBRUWRu
Mon Aug 17 14:44:45 PDT 2015 --  Piqué insultando al arbitro: pic.twitter.com/ih3Rfe7dWZ
Sun Aug 16 02:55:26 PDT 2015 --  KE NO PARE LA PARI https://vine.co/v/eXYVM6Wrw3g 
Sun Aug 16 19:11:40 PDT 2015 --  Marlene y la Tamalera necesitan una noche con Radames de Jesus #MasterChefMX
Sun Aug 16 19:14:49 PDT 2015 --  Ahora todos se creen expertos en la cocina si nunca en su vida habian escuchado la palabra Risotto, bola de ridiculos #MasterChefMX
Sun Aug 16 19:29:38 PDT 2015 --  ¿Por qué le dicen risotto a un pinche arroz normal? es #MasterChefMX no Master Chef Italia
Sun Aug 16 19:30:59 PDT 2015 --  Gracias por dedicarme la cancion @El_Komander1 que detallazo
Sun Aug 16 19:51:33 PDT 2015 --  La langosta no es más que un pinche camaronsote y los frijoles aunque pedorros son el caviar del pueblo #MasterChefMX
Sun Aug 16 13:57:11 PDT 2015 --  Si la montaña no va a Mahoma, Mahoma debe dejar de llamar, stalkear y mensajear a la montaña. Hay muchas montañas en el mundo para Mahoma.
Sun Aug 16 14:01:12 PDT 2015 --  Claro que van a contar con mi critica constructiva de los #PremiosBandaMax hoy a las 7 por El Canal de las Estrellas
Sun Aug 16 14:10:22 PDT 2015 --  Hoy me siento como la toalla de Paty Navidad, con ganas de salir.
Sun Aug 16 14:11:33 PDT 2015 --  Lo siento doctora no tenía idea la próxima pido que usted también nos acompañe https://twitter.com/iaurab/status/633021384201887744 …
Sun Aug 16 14:03:53 PDT 2015 --  Yo iba a conducir los #PremiosBandamax pero en el ultimo minuto me cambiaron por @MarjoDSousa
Sun Aug 16 06:24:12 PDT 2015 --  Como te extraño @AcapulcoShore pic.twitter.com/CIMJajLzmP
Thu Aug 13 19:20:12 PDT 2015 --  Hoy los tuve muy abandonados!! Espero remediarlo con esto..... LoveU agapornis pic.twitter.com/DoycFiegjf
Sat Aug 15 21:13:11 PDT 2015 --  Siempre son bien lindos con sus comentarios pic.twitter.com/59R0fVA1jC
Mon Jul 27 08:47:07 PDT 2015 --  Si Cuauhtémoc Blanco golpeó a Faitelson y hoy es Presidente Municipal, el Piojo está haciendo méritos para que le den una gobernatura.
Sat Aug 15 11:41:32 PDT 2015 --  Cada quince dias, fumigo mi casa con gluten para mantener a los hipsters alejados.
Sat Aug 15 13:18:22 PDT 2015 --  Los odio a todos.
Sat Aug 15 13:38:51 PDT 2015 --  Allá usan la Libra Esterlina,el chiste es pretender que yo creía que se trataba del signo zodiacal Libra ¿Ya?Pendeja https://twitter.com/SoyAnnaOsuna/status/632651112730902528 …
Sat Aug 15 13:09:28 PDT 2015 --  Quería ir a Londres pero me dijeron que allá solo aceptan Libras y yo soy Sagitario.
Sat Aug 15 16:35:58 PDT 2015 --  -Espera que me voy a poner guapa para salir -No tenemos 2 años
Fri Aug 14 17:26:28 PDT 2015 --  Sharon Stone se desnuda a sus 57 años y ustedes pinches gordas se meten con playera a la alberca pic.twitter.com/7P5uAGyHta
Fri Aug 14 10:59:47 PDT 2015 --  finding dory toy story 4 cars 3 the incredibles 2 I'M FINALLY HAPPY pic.twitter.com/pCq9Wm59eb
Fri Aug 14 10:57:42 PDT 2015 --  High Res Photos: Toy Story 4, Incredibles 2, Cars 3 & Finding Dory Posters/Show Floor http://bit.ly/1TBuqqw  pic.twitter.com/vJ0JzUKZmB
Thu Aug 13 15:37:16 PDT 2015 --  La protesta que derivó en incidente violento, desde el monitor de las cámaras de seguridad este jueves por la tarde pic.twitter.com/IBM1wJkmy1
Thu Aug 13 15:25:24 PDT 2015 --  No importa la mano, aquí #zurdos y diestros disfrutan por igual. pic.twitter.com/bGk7RNtdLj
Thu Aug 13 10:16:56 PDT 2015 --  ¿Quien durará más tiempo con vida Fidel Castro o Chabelo? ¡HAGAN SUS APUESTAS!
Thu Aug 13 08:24:05 PDT 2015 --  Este es el nuevo Galaxy ¿En serio Samsung? ¿Teclado? Mejor saca un Beeper o un aparato para hacer señales de humo pic.twitter.com/7VwrdU6XBe
Wed Jul 29 19:35:41 PDT 2015 --  Ay, creo que me equivoque de comentarista :S https://vine.co/v/eX6bKvmndhx 
Mon Aug 10 19:02:44 PDT 2015 --  Ve mis lentes. https://vine.co/v/edZ2xWlIIYi 
Wed Aug 12 17:59:56 PDT 2015 --  Happy Birthday Beautiful @caradelevingne pic.twitter.com/VLm5RpBhOu
