Sat Aug 29 00:08:18 PDT 2015 --  get excited about the little things. pic.twitter.com/weLDPhtKA5
Sat Aug 29 01:02:24 PDT 2015 --  Please. pic.twitter.com/UCG1BUdcdo
Sat Aug 29 02:00:48 PDT 2015 --  Yerr ecah merajuk
Mon Aug 24 05:36:21 PDT 2015 --  Intricate Letter Design pic.twitter.com/mhmqXJVAMG
Thu Aug 27 17:31:50 PDT 2015 --  Letter R pic.twitter.com/Zu3WXTgIpa
Sun Mar 22 17:08:24 PDT 2015 --  Two great minds showing each other great respect: pic.twitter.com/7QhD1JGYG6
Fri Aug 28 20:54:11 PDT 2015 --  Ingat, sentiasa simpan satu CD Akon dalam kereta so bila kawan tumpang dan suruh buka aircond, anda boleh buat jenaka bertaraf antarabangsa
Fri Aug 28 06:52:08 PDT 2015 --  How irony when the Westerns invented proverb "Dont judge a book by its cover" but look how they misjudge Quran
Fri Aug 28 06:53:03 PDT 2015 --  pic.twitter.com/NqNVCuFExR
Fri Aug 28 04:26:41 PDT 2015 --  Tok Nan & Tok Uban. Siapakah yg lebih digemari ktk org? RT for Tok Nan FAV for Tok Uban sik suka dua2 reply pic.twitter.com/YWG7pCS48i
Fri Aug 28 06:55:04 PDT 2015 --  No goodbyes from me though, not yet. https://twitter.com/WordsTexts/status/637212935614402560 …
Fri Aug 28 05:31:25 PDT 2015 --  When #Pisces care for a relationship they will fight for it with everything.
Fri Aug 28 06:54:29 PDT 2015 --  Hewhewhew I have Nisekoi season 2
Fri Aug 28 06:31:21 PDT 2015 --  #Pisces can take a lot, but when they've had enough, they've had enough and will not care anymore, and turn cold.
Fri Aug 28 06:15:19 PDT 2015 --  HYAAAKKK!!! //SEPAK KEMALASAN// //TUMBANG SBB MALAS KUAT GIK//
Fri Aug 28 02:46:47 PDT 2015 --  "Boys are different behind close doors, behind the screen." We never know. pic.twitter.com/gkX8nOjghM
Thu Aug 27 23:39:46 PDT 2015 --  i can hear my demons laughing in the moonlight
Fri Aug 28 02:13:52 PDT 2015 --  Penutupan jalan jalan tersebut mulai 29 hb iaitu esok hari. https://twitter.com/Teori_timur/status/637184264128192512 …
Fri Aug 28 02:14:58 PDT 2015 --  Wtf my last rt gave me goosebumps
Fri Aug 28 01:39:53 PDT 2015 --  Leverkusen face Barcelona in Group E. A certain man set a record in 2012. VIDEO: http://uefa.to/1JnxWe1  #UCLdraw pic.twitter.com/SFd7VgP4mO
Sun Aug 16 17:35:03 PDT 2015 --  I am always going to be tired.. pic.twitter.com/YMXWjoZU79
Fri Aug 28 01:52:30 PDT 2015 --  First time in life tgk kucing meniarap nak jd superman... comelnye awak... pic.twitter.com/5WPLZD0wuZ
Fri Aug 28 01:53:49 PDT 2015 --  Zlatan back to Malmö Di Maria back to Real Depay back to PSV Mourinho back to Porto Enrique back to Roma THIS IS CHAMPIONS LEAGUE !!!!
Thu Aug 27 07:14:10 PDT 2015 --  For students. Doa untuk melindungi diri dari emosi atau stress ketika belajar. Elok diamalkan selalu. Kongsikan. pic.twitter.com/iAqr93gNw7
Thu Aug 06 02:07:15 PDT 2015 --  pic.twitter.com/WwCYgEeDuL
Thu Aug 27 19:43:55 PDT 2015 --  The last picture is a face of fear! pic.twitter.com/Vee94RsR82
Wed Aug 05 01:36:55 PDT 2015 --  pic.twitter.com/FM7n0EbYdh
Tue Aug 04 23:40:38 PDT 2015 --  pic.twitter.com/nwIwWoeNB3
Tue Aug 04 06:35:51 PDT 2015 --  pic.twitter.com/hhzm2Dwcb4
Sun Aug 23 21:11:03 PDT 2015 --  Congrats Malaysia! You are now Asia's worst performing currency. pic.twitter.com/vtAw32Rf90
Fri Aug 28 02:00:28 PDT 2015 --  CONFIRMED: Heung-Min Son signs from Leverkusen subject to work permit & international clearance. #HereComesTheSon pic.twitter.com/aXGhzHwYcE
Thu Aug 27 23:11:22 PDT 2015 --  Kakitangan kerajaan negeri yg terlibat dalam #bersih4 tidak akan dikenakan tindakan - CM Sarawak
Thu Aug 27 18:31:44 PDT 2015 --  A #Pisces would rather leave and lose you as a friend then risk being drowned by your drama.
Thu Aug 27 23:10:10 PDT 2015 --  Hak untuk terlibat dalam #bersih4 adalah hak peribadi - CM Sarawak #onlyinsarawak #unity #freedomofexpression pic.twitter.com/P2wpPeeYiy
Thu Aug 27 14:45:57 PDT 2015 --  Many of the things that seem impossible now will become realities tomorrow. –Walt Disney
Thu Aug 27 14:47:01 PDT 2015 --  i wish i could be a youtuber but too awkward don’t have a nice camera not attractive enough not interesting enough not creative in any way
Thu Aug 27 13:38:46 PDT 2015 --  There is only one person you spend your whole life with, and that is yourself. If you aren't ok with you, there is an issue
Thu Aug 27 23:30:31 PDT 2015 --  Saya tangga orang naik tangga.
Thu Aug 27 04:36:23 PDT 2015 --  Might have done a terrible mistake.
Thu Aug 27 03:04:07 PDT 2015 --  Nak alah alah.
Wed Aug 26 01:25:06 PDT 2015 --  To everyone who's having a bad day today pic.twitter.com/a7ZfjevGfl
Tue Aug 11 04:02:20 PDT 2015 --  Never call someone fat or ugly. Because they might grow up and blow your mind. #justsaying pic.twitter.com/mkp0wMTs4v
Tue Aug 25 12:20:10 PDT 2015 --  BMWs are mean AF pic.twitter.com/MchuLQVDQr
Thu Aug 27 01:04:49 PDT 2015 --  I honestly wouldn't mind getting lost here pic.twitter.com/lULPiT9wIF
Thu Aug 27 02:34:42 PDT 2015 --  Stitches // Shawn Mendes
Thu Aug 27 02:32:00 PDT 2015 --  So much for skung gak pic.twitter.com/1QIbSJkNdy
Fri Aug 21 13:25:05 PDT 2015 --  "Just promise me you'll think of me everytime you look up in the sky and see a star." - Eminem
Fri Aug 21 08:35:10 PDT 2015 --  "You are worth too much to lose." - Joe jonas
Fri Aug 21 11:35:01 PDT 2015 --  "I don't know what to do, I'm right in front of you." -Maroon 5
Fri Aug 21 10:28:07 PDT 2015 --  "And maybe someday we will meet, and maybe talk and not just speak." -James blunt
Thu Aug 27 02:26:29 PDT 2015 --  Babun semua barua pegi subway takpe la aku pegi aida je la since memang pokai hahahaha
Wed Aug 26 22:39:42 PDT 2015 --  You ever feel when you met someone and they fill the hole inside you, and when they're gone, you feel the space painfully vaccant?
Thu Aug 27 02:19:46 PDT 2015 --  Subway gaisss, huhu pic.twitter.com/AnjKdHJ6Sm
Thu Aug 27 02:20:09 PDT 2015 --  pic.twitter.com/cqGytRhe7t
Thu Aug 27 02:12:17 PDT 2015 --  minum petang (sikdabah makan juak sebenanya) pic.twitter.com/w7vwFZ5a9m
Thu Aug 27 02:18:46 PDT 2015 --  Subway boiz
Thu Aug 27 02:19:04 PDT 2015 --  Chemistry boiz
Thu Aug 27 02:19:05 PDT 2015 --  Yaw dgn zu sedang bermesra hihihi pasangan bahagia
Thu Aug 27 01:31:56 PDT 2015 --  Mok balit kuching time this weekend boleh. (Sak jak 2 weeks gik tinggal mok balit hmmm )
Wed Aug 26 19:49:44 PDT 2015 --  If you have no football boot w you, fret not, you have garden boot! pic.twitter.com/y5v3ZUQH11
Wed Aug 26 18:27:05 PDT 2015 --  But then again, specifically, even if time travel was possible, then where are the time travellers from the future coming to our time?
Wed Aug 26 18:19:36 PDT 2015 --  Such is why I value space-time travel so much to the point that I want to start it, if He wills it.
Wed Aug 26 18:18:43 PDT 2015 --  But most of the time, I hoped that it had never happened then, or at least let it be me.
Wed Aug 26 18:15:51 PDT 2015 --  Other times, I feel guilty for being ignorant because there is so much that I could've done.
Wed Aug 26 18:15:10 PDT 2015 --  Sometimes I just feel like it's a waste for something like that happen to you.
Wed Aug 26 18:13:50 PDT 2015 --  Why must it be you that is involved in all those shit? And here I am, thinking that I'm the only one broken to pieces and slummed into evil.
Wed Aug 26 17:10:19 PDT 2015 --  It's been almost a year since the last time I had to bring two bags to class.
Tue Aug 25 17:31:21 PDT 2015 --  #Pisces love to express how much they love you in writing.
Tue Aug 25 20:31:43 PDT 2015 --  #Pisces will make sacrifices for the ones they love.
Tue Aug 25 21:31:21 PDT 2015 --  #Pisces is always thinking of ways to make their partner feel special.
Wed Aug 26 05:31:36 PDT 2015 --  #Pisces hates when their partners are distant.
Wed Aug 26 15:14:04 PDT 2015 --  Hmmm https://twitter.com/BestofPisces/status/636516342494023680 …
Wed Aug 26 07:31:31 PDT 2015 --  #Pisces have a huge imagination that takes you to a different level of living.
Wed Aug 26 08:31:11 PDT 2015 --  #Pisces are love. They radiate kindness, love and passion everywhere they go.
Wed Aug 26 09:31:26 PDT 2015 --  When a #Pisces is upset they run away and close themselves off from the world.
Wed Aug 26 10:31:30 PDT 2015 --  #Pisces: I have an ability to see the true colors of others.
Wed Aug 26 12:31:34 PDT 2015 --  With #Pisces they fall for two extremes, losers who take advantage of their kind nature, and heroes who will give them everything.
Wed Aug 26 13:31:31 PDT 2015 --  #Pisces have open minds and are not ones to judge.
Sun Aug 23 21:11:10 PDT 2015 --  are people actually afraid to double text???? i will send 16 messages in a row and feel no shame whatsoever
Sun Aug 23 13:15:05 PDT 2015 --  pic.twitter.com/At93B2OWDn
Sun Aug 23 13:15:23 PDT 2015 --  if u knew me between 2006-2012 i am so sorry
Sun Aug 23 13:17:02 PDT 2015 --  the best kind of people pic.twitter.com/Di9ehVnywd
Sun Aug 23 10:32:30 PDT 2015 --  I admit i've done loads of awful things, but that doesnt mean I still do it. Time leads to maturity
Sun Aug 23 06:53:01 PDT 2015 --  pic.twitter.com/wDX8UXTxLz
Sun Aug 23 06:29:58 PDT 2015 --  Rileks je Bolt leading dari awal sampai ke penamat, bukan macam Tok Gajah, pancut awal. 9.79 saat pic.twitter.com/92EX6NtWC4
Thu Aug 20 05:06:07 PDT 2015 --  "I maybe made some mistakes, but I'm only human." -Eminem
