Fri Aug 28 19:10:33 PDT 2015 --  Don't be pushed by your problems, be led by your dreams.
Fri Aug 28 19:58:17 PDT 2015 --  @LindsayTindle20 @_Miss_Floyd_ https://twitter.com/comedyortruth/status/637444617269436417 …
Fri Aug 28 16:00:18 PDT 2015 --  me as a freshman vs me as a senior pic.twitter.com/MTs5lxNHUH
Fri Aug 28 16:02:26 PDT 2015 --  Where I come from tryin' to make a livin', and workin' hard to get to heaven, where I come from. #AlanJackson
Thu Aug 27 16:56:08 PDT 2015 --  Not wearing make up feels so good until you look in the mirror.
Wed Aug 26 20:03:16 PDT 2015 --  Not ready to give up summer nights, but I am looking forward to football Friday's
Mon Aug 24 12:30:11 PDT 2015 --  Textbooks cost hundreds of dollars but pizza is only ten so what is the obvious choice here
Sun Aug 23 19:17:25 PDT 2015 --  MT @mericanrefugee: Planned Parenthood slaughters 75K 2nd trimester babies a year #DeFundPP #UnbornLivesMatter #PJNET pic.twitter.com/sDd2zIJYTC
Sun Aug 02 12:16:21 PDT 2015 --  the awful moment when a guy is a 10 but his personality is a -10
Sun Aug 23 17:29:21 PDT 2015 --  Keep talking behind my back because that's the easiest way for you to kiss my ass
Sun Aug 23 18:16:05 PDT 2015 --  My mouth can't translate what my heart is saying.
Sun Aug 23 18:16:20 PDT 2015 --  When you explain something to someone and you keep having to repeat yourself pic.twitter.com/aRqRr60AF1
Sun Aug 23 18:24:46 PDT 2015 --  when she's mad, even the demons run for cover
Sun Aug 23 17:34:26 PDT 2015 --  when u go see a friend in another class & the teacher makes you leave https://vine.co/v/edzBEY1ajUa 
Sun Aug 23 17:30:16 PDT 2015 --  Motivate yourself to become better everyday.
Sun Aug 23 15:58:09 PDT 2015 --  Make the rest of your life, the best of your life.
Sun Aug 23 11:06:17 PDT 2015 --  Thinking about school tomorrow pic.twitter.com/40SI5oxiF4
Sun Aug 23 15:30:18 PDT 2015 --  We're alive. Remember that's a blessing in itself
Sun Aug 23 15:48:26 PDT 2015 --  @meghanncheyenne https://twitter.com/laughbook/status/635580961120358400 …
Sun Aug 23 12:54:05 PDT 2015 --  If I could live in leggings and a crew neck I would
Sun Aug 23 12:20:09 PDT 2015 --  She'd never seen a glowing field of fireflies or the twinkle of a star in a southern sky, and she fell in love. #JasonAldean
Sun Aug 23 13:07:24 PDT 2015 --  2 reasons why I'm fat: 1) I eat when I'm bored 2) I'm always bored
Sat Aug 22 21:07:08 PDT 2015 --  SO READY FOR FOOTBALL & HAUNTED HOUSES & BONFIRES & HALLOWEEN & HOMECOMING & FALL & PUMPKINS & DUMB SCARY MOVIES ON TV 24/7
Sat Aug 22 20:53:04 PDT 2015 --  Can we all just be nice so I can resume to watching my movie Bc only 12 year old girls fight on social media
Sat Aug 22 20:55:04 PDT 2015 --  Yeah she'll take her time, but I don't mind, waitin' on a woman. #BradPaisley
Sat Aug 22 19:07:06 PDT 2015 --  why do guys automatically assume when girls ask questions they think we want to argue? like no, i need clarity, is that cool with you?
Sat Aug 22 13:45:05 PDT 2015 --  'Cause love remembers the smell of a summer day, lying in a hammock over fresh cut grass, and the promise of forever. #CraigMorgan
Sat Aug 22 14:30:11 PDT 2015 --  my favorite part about my day is finally getting to lay in bed and listen to music
Sat Aug 22 14:42:33 PDT 2015 --  Tbh I wish @theweeknd would play at the sprint center in KC MO. because I wanna see them in concert so bad.
Sat Aug 22 14:41:53 PDT 2015 --  I have a serious problem with not being able to just ignore stuff
Sat Jun 15 07:20:52 PDT 2013 --  Daddy thinks his brown eyed girl is an angel, she's got a wild side but covers it up so well. #FloridaGeorgiaLine
Sat Aug 22 08:18:14 PDT 2015 --  Sitting out side of @TreyOliver4 house w/ @LindsayTindle20 & @meghanncheyenne while @DaeshiaTurner & I have a honking competition
Fri Aug 21 15:07:00 PDT 2015 --  I want to emphasize the importance of surrounding yourself with people who genuinely care about you and feel proud to have you exist.
Fri Aug 21 15:08:25 PDT 2015 --  when your man pulls you over to his side of the bed while he's asleep in the middle of the night.. all is right in the world
Fri Aug 21 11:28:53 PDT 2015 --  A friend or bae like this>>> pic.twitter.com/uUakNvdke9
Thu Aug 20 11:42:08 PDT 2015 --  When you find out something you were trying so hard to fix was a freaking lie!!
Thu Aug 20 09:06:08 PDT 2015 --  Senior year starts tomorrow... #senior #timegoesby
Thu Aug 20 08:47:06 PDT 2015 --  Life is like a mirror. Smile at it and it smiles back at you.
Wed Aug 19 22:31:58 PDT 2015 --  I don't know why half of us waste time shopping for cute clothes when in reality we know that we're just gonna wear sweatshirts and t-shirts
Wed Aug 19 14:37:47 PDT 2015 --  So you @LindsayTindle20 https://twitter.com/worlddancevines/status/634084632997326848 …
Tue Aug 11 14:10:10 PDT 2015 --  I'm honestly just afraid of someone losing interest in me after getting so attached to them.
Wed Aug 19 11:57:07 PDT 2015 --  Love how you get mad over one conversation.
Mon Aug 17 16:16:57 PDT 2015 --  If I had a dollar for every time someone spelled my name wrong, I could pay for college, semester abroad, a new car, and a mansion in cash.
Tue Aug 18 19:30:08 PDT 2015 --  Dear girls who will soon encounter my best friends as theirs in college, cherish them bc I promise you they'll be nothin less than amazing
Tue Aug 18 18:15:07 PDT 2015 --  reasons why fall is #1: -chilly weather -halloween -sweaters -pumpkins -literally everything - BUGS HAVE RETURNED TO HELL WHERE THEY BELONG
Tue Aug 18 19:07:01 PDT 2015 --  do u think spiders cry themselves to sleep bc they get so much hate
Tue Aug 18 09:35:12 PDT 2015 --  I want dogs to be allowed at more places and I want children under 8 not to be
Mon Aug 17 21:19:47 PDT 2015 --  When your friend's excuse for not inviting you out is, "I thought you were busy." pic.twitter.com/Ox6bL5aU3Y
Mon Aug 17 21:09:05 PDT 2015 --  I hate when people are like "who are your tweets about" They gonna be about u if u dont shut up in 5 seconds
Mon Aug 17 21:17:58 PDT 2015 --  Lol @_Miss_Floyd_ @LindsayTindle20 https://twitter.com/trueforallgirls/status/633481869368029184 …
Mon Aug 17 20:46:58 PDT 2015 --  find someone that will break down the walls you built
Thu Jul 30 11:03:13 PDT 2015 --  you've become so damaged that when someone tries to give you what you deserve, you have no fucking idea how to respond
Mon Aug 17 13:15:29 PDT 2015 --  During hitting lines... pic.twitter.com/HUP3tPOr4E
Sun Aug 16 22:46:37 PDT 2015 --  Absolutely terrified of losing the people closest to me…
Sun Aug 16 20:31:00 PDT 2015 --  Watch the girl in the red hat @LindsayTindle20 https://twitter.com/worlddancevines/status/633118252290449409 …
Sun Aug 16 19:15:53 PDT 2015 --  So ready for Volleyball.
Sun Aug 16 19:24:31 PDT 2015 --  My favorite vine ever https://vine.co/v/ep61lwju1zq 
Sun Aug 16 13:51:09 PDT 2015 --  When you realize you're gonna be a senior https://vine.co/v/MlvUz6UarTa 
Tue Aug 11 08:41:57 PDT 2015 --  i refuse to be a second choice so if i have to fight for your attention, i don't even want it.
Sun Aug 16 11:00:19 PDT 2015 --  the worst part about school starting back is having to see all the people you were avoiding all summer
Sun Aug 16 10:45:06 PDT 2015 --  I want to sleep for 2 years and wake up with a degree, an apartment, and money in the bank
Sun Aug 16 10:10:05 PDT 2015 --  am i allowed to wear a sweatshirt in like the first week of school or is that showing how much i don’t care too early
Sat Aug 15 13:07:01 PDT 2015 --  if you cant handle me at my worst then leave, because i dont have a best im always awful
Sat Aug 15 11:28:19 PDT 2015 --  Fake people are like pennies; two-faced and worthless
Sat Aug 15 11:00:59 PDT 2015 --  You can meet somebody tomorrow who has better intentions for you than someone you've known forever.. time means nothing.. character does
Sat Aug 15 11:06:18 PDT 2015 --  Do you ever meet a person and it's awkward at first, but then you start talking and you're like,"holy shit where have you have all my life?"
Fri Aug 14 23:07:01 PDT 2015 --  i'm excited for fall & football & the fair & haunted houses & leaves & sweaters & yeah ya feel me
Fri Aug 14 23:07:10 PDT 2015 --  Yes https://twitter.com/_miss_floyd_/status/632433100480315392 …
Sat Aug 08 13:24:48 PDT 2015 --  The truth is, she didn't need to be saved; she just needed to feel loved and know that someone out there craved her attention.
Fri Aug 14 22:55:08 PDT 2015 --  I am not one bit excited about 95% of the people I go to school withs presence so I'm not excited to go back
Fri Aug 14 22:39:32 PDT 2015 --  Smh
Thu Aug 13 09:57:07 PDT 2015 --  When you find out someone's been talking shit about you pic.twitter.com/aXQY53ahE8
Thu Aug 13 10:40:33 PDT 2015 --  Yeah @madiproctor7 https://twitter.com/bohlkenlane/status/631882023481815040 …
Tue Jul 14 09:33:58 PDT 2015 --  Mobile programmatic: It's kind of a big deal for video advertisers. Here's why! https://cards.twitter.com/cards/cnvl8/ll3g …
Wed Aug 12 19:35:22 PDT 2015 --  THIS pic.twitter.com/YyOupRxQRh
