Wed Feb 04 08:56:21 PST 2015 --  Oh Air Canada... http://ift.tt/1zK0tJG  pic.twitter.com/bSrOpze73p”
Mon Dec 22 07:51:57 PST 2014 --  Feeling nostalgic for the time when my kids still believed in Santa Claus. And me.
Sun Nov 30 09:50:55 PST 2014 --  http://www.thesadrobot.com  - Congrats to 10 year old Julius! #kidart #art #greetingcard #Vancouver #vancouverisawesome pic.twitter.com/YuALTbjlEP
Fri Oct 31 12:55:28 PDT 2014 --  Jehovah's witnesses don't celebrate Halloween, I guess they don't appreciate random strangers knocking on their doors.
Tue Sep 09 13:58:53 PDT 2014 --  iWant
Sat Sep 06 08:39:13 PDT 2014 --  False advertising corrected! Support the teachers! #bctf #BCTF2014 #supporttheteachers #christyclark pic.twitter.com/tUSQ79vACK
Fri Sep 05 00:03:30 PDT 2014 --  Worst use of soc media @bcedplan $375 mill is over 5 yrs which is $75 mill/yr; far cry from court estimate of $300 mill/yr #bced #bcpoli
Sun Aug 31 12:22:50 PDT 2014 --  “ @News1130radio @christyclarkbc She is not available. Getting her son ready for school." - now that's funny, because it's TRUE!!!
Thu Aug 28 12:35:48 PDT 2014 --  Apparently four Wongs make a Wright pic.twitter.com/HUjrsEqIiQ
Thu Aug 28 13:25:42 PDT 2014 --  Open letter from high school student to Premier Christy Clark on B.C. teachers’ strike http://j.mp/1pN909Q 
Sun Aug 24 18:04:59 PDT 2014 --  This might make me sound old but the music today is so generic and I just sat on my balls. #MTVVMAs
Fri Jul 25 18:37:00 PDT 2014 --  It's like the beer Olympics, only different.
Fri Jul 25 17:37:39 PDT 2014 --  It's a start, but so far to go! #unhappyhour http://www.straight.com/food/694851/bc-updates-liquor-pricing-pitchers-beer-and-cider …
Tue Jul 22 17:23:59 PDT 2014 --  “ @StupidFootball: So kind. pic.twitter.com/0WES6OHLja” - now that's funny!!!
Sun Jul 20 05:00:30 PDT 2014 --  me as a parent https://vine.co/v/Mx1rM2KLX5O 
Sun Jul 20 06:00:04 PDT 2014 --  Brilliant! https://vine.co/v/hLmhQ9ulwX9 
Sun Jul 20 06:00:30 PDT 2014 --  he wasn't ready man.. https://vine.co/v/Mt0gEeZ0imT 
