Thu Aug 27 20:27:37 PDT 2015 --  OMG, I feel so related! https://twitter.com/cutesy/status/637103752080592896 …
Thu Aug 27 19:10:21 PDT 2015 --  El cambio de imagen de tuiter también es parte de la conspiración??
Thu Aug 27 17:28:52 PDT 2015 --  Worst advice ever given to someone: "To be a successful woman in the job market you need not look womanly"
Thu Aug 27 16:10:12 PDT 2015 --  Alguien que me cuente la teoría de la conspiración detrás de los cambios en el gobierno federal.
Wed Aug 12 20:54:58 PDT 2015 --  Lo único que vuelve si lo ignoras es el hambre.
Wed Aug 19 19:50:04 PDT 2015 --  La @CNDanzaMX te lleva a viajar por el tiempo en esta Gala de ballet #SuiteDeRaymonda 27 y 29 agosto @PalacioOficial pic.twitter.com/rmYU96Qc27
Thu Aug 20 11:33:07 PDT 2015 --  I only hope to take a decent selfie for once in my life :P ... And find a bloody place where they make great risotto.
Wed Aug 19 21:27:39 PDT 2015 --  I used to write letters I used to sign my name I used to sleep at night... I used to wait http://www.thewildernessdowntown.com 
Wed Aug 19 21:07:21 PDT 2015 --  Iugh my rusty english
Wed Aug 19 06:52:24 PDT 2015 --  Quiero uno de estos https://twitter.com/forbes/status/633999609514299392 …
Mon Aug 17 19:15:23 PDT 2015 --  Me acordé de ti y lo que decíamos el jueves, @prisc_jo XD https://twitter.com/la_princesilla/status/633099489650176000 …
Mon Aug 17 18:23:56 PDT 2015 --  La política social ha hecho esfuerzos en reducir carencias. Se require estrategia económica para reducir pobreza de 55 millones de personas
Sun Aug 16 17:39:57 PDT 2015 --  Pffff, por favor! https://twitter.com/oswaldoaacosta/status/631818432674156544 …
Sun Aug 16 16:54:45 PDT 2015 --  The perfect definition for happy times is FRIENDSHIP. Thank you so much @rfm4! IU!!
Sat Aug 15 15:31:45 PDT 2015 --  Monetary policy is a combinaton of witchcraft and luck with a little bit of knowledge https://twitter.com/prosyn/status/632679929700679680 …
Fri Aug 14 19:09:03 PDT 2015 --  Hola @RescateAnimal, hay un perrito abandonado en el parque hundido, si les es posible, por favor ayúdenlo :( pic.twitter.com/5xMOjI3Kmi
Fri Aug 14 18:02:36 PDT 2015 --  @MundoPatitas este perrito eta abandonado en el parque hundido, en el área de perros, alguien que pueda ayudarnos? pic.twitter.com/a8y9CI8Q6p
Thu Aug 13 15:52:50 PDT 2015 --  I have to confess that economics still frighten me a bit :S
Tue Aug 11 20:44:33 PDT 2015 --  Lo peor que te puede pasar no es perder a quien amas. Es perderte a ti en el intento de que te ame alguien que sabes que nunca lo hará.
Sun Aug 09 05:27:14 PDT 2015 --  Uuuuu!! Qué buena cita! https://twitter.com/rodo2801/status/630217554494001152 …
Sat Aug 08 17:57:39 PDT 2015 --  To my two loves: happy #InternationalCatDay
Wed Aug 05 08:53:44 PDT 2015 --  Gente que tiene el volumen del maldito celular encendido en la oficina: ojalá que se los trague una ballena. O el metro. O algo.
Sun Aug 02 10:07:47 PDT 2015 --  ¿Cómo se suelta lo que no se tiene?
Sat Aug 01 12:16:40 PDT 2015 --  La esperanza es lo ultimo que se pierde, primero la dignidad y luego la silueta.
Sat Aug 01 18:11:04 PDT 2015 --  Champagne lovers might like to know that the second brightest star in the Southern Cross, Beta Crux, is also called “Mimosa"
Sat Aug 01 18:23:23 PDT 2015 --  Prefiero una vorágine de emociones a la calma de la mediocridad.
Sat Aug 01 10:36:35 PDT 2015 --  Modus videndi pic.twitter.com/jZCuUj2FTn
Sat Aug 01 10:39:21 PDT 2015 --  Pesadilla de fin de semana: un puesto de control @PGR_mx en KM 34 de la carretera Querétaro- San Luis Potosí entorpeciendo el tráfico
Thu Jul 30 14:45:08 PDT 2015 --  I am the giggle at a funeral.
Thu Jul 30 05:33:09 PDT 2015 --  Uuuuuyyy!!! Esto deberían de leerlo unas cuantas personas. Afortunadamente el mío no es "ese" tipo de jefe. https://twitter.com/el_pais/status/626643903677104128 …
Sat Jul 25 15:44:35 PDT 2015 --  The only heaven I'll be sent to is when I'm alone with you - Hozier
Fri Jul 24 18:54:55 PDT 2015 --  @pauladafne54 Pau, claro que te extraño amiga. He andado bien ocupado, pero ojalá y ahora sí podamos vernos aunque sea un ratito.
Fri Jul 24 13:38:51 PDT 2015 --  Yo tenía un amigo que se llamaba @elpin8 y ahora ya ni me habla :(
Fri Jul 24 09:51:03 PDT 2015 --  Tacos de canasta #overdosed
Thu Jul 23 09:00:03 PDT 2015 --  Que cosa hermosa las personas que te hacen reír cuando estás triste.
Thu Jul 23 09:40:00 PDT 2015 --  D: https://twitter.com/coneval/status/624222995813236736 …
Thu Jul 23 08:51:50 PDT 2015 --  Me atasqué tan rápido un croissant con jamón y queso que ahora quiero vomitar
Fri Jul 17 19:07:05 PDT 2015 --  Leo DiCaprio https://twitter.com/capitalmexico/status/622099491076739073 …
Thu Jul 16 20:06:17 PDT 2015 --  Muchos dudan de la versión oficial sobre el chapo pero al mismo tiempo creen en todo lo que esta en redes paradójico no?
Thu Jul 16 11:05:48 PDT 2015 --  Projects and mechanisms that finance #infrastructure, including #PPPs, should share risks, rewards fairly: http://wrld.bg/PBX6E  #Fin4Dev
Wed Jul 15 22:35:05 PDT 2015 --  ¿Miedo a las Matemáticas? Mexicanos ganan seis medallas en la en Olimpiada Internacional http://bit.ly/1fKlM7o  pic.twitter.com/nbaH12VlY9
Sat Aug 02 13:26:13 PDT 2014 --  "Amor, esa palabra. No veo nada, no entiendo nada...Quizá lo que hay que hacer es no comprender. Sólo ser" JBanville
Tue Jul 14 10:52:15 PDT 2015 --  Ay, Facebook...
Mon Jul 13 21:03:21 PDT 2015 --  Unrequited.
Mon Jul 13 10:30:15 PDT 2015 --  No recuerdo que escribir un discurso costara tanto trabajo: #vejez
Sun Jul 12 15:59:21 PDT 2015 --  Los aaaaadoro @rfm4 @chiodelmar @Frinne @anferoti!! pic.twitter.com/aqExv6pP3q
Sun Jul 12 14:51:35 PDT 2015 --  Que onda los que flashean ser algo que no son para caerle bien a la gente ojala les caiga un piano en la cabeza
Sun Jul 12 14:18:09 PDT 2015 --  The IMF has concluded that Greece's debts are unpayable. No kidding: http://econ.st/1JWhhDt  pic.twitter.com/gwD4EvzGBy
Sun Jul 12 14:25:28 PDT 2015 --  Creo que cometí un error estético. Ahora debo peinarme todos los días #haircolor
Sat Jul 11 07:47:23 PDT 2015 --  #SerenaSlam! I love her. What an athlete, what a role model, what a woman!
Sat Jul 11 07:55:14 PDT 2015 --  Serena Williams wins Wimbledon, securing another 'Serena Slam' http://ti.me/1HmttcR  pic.twitter.com/9BHCiMQFRd
Mon Jul 06 12:42:27 PDT 2015 --  Dicen que los griegos votaron NO por dignidad. Ok, ya tienen mucha dignidad pero y ahora, ¿con que van a comer?
Mon Jul 06 09:48:46 PDT 2015 --  Eso de "se renta depto" y luego "no se aceptan animales"; más animales son los que cuelgan el anuncio. Idiotas.
Sun Jul 05 20:30:39 PDT 2015 --  En #México, la educación financiera no existe, mucho menos bursátil http://ow.ly/OWinS  #MercadoBursátil pic.twitter.com/TlB8FOwpkD
Sun Jul 05 20:24:10 PDT 2015 --  Ardillas
Sun Jul 05 18:19:15 PDT 2015 --  Una película que se llame "Eternal moonlight of the restless mind"
Sat Jul 04 18:29:28 PDT 2015 --  Los poderosos detestan a los artistas, porque el arte es pregunta y el poder no admite discusión.
