Tue Aug 25 09:23:41 PDT 2015 --  Hj é dia de @masterchefbr #Ansioso #GOGOGOChefs
Mon Aug 24 15:37:52 PDT 2015 --  Juntos & Misturados :) #Amigos https://instagram.com/p/6yHxjbCkOn/ 
Sun Aug 23 13:11:55 PDT 2015 --  "Tu vens, tu vens. Eu já escuto os seus sinais" https://instagram.com/p/6vSRzxikFR/ 
Sun Aug 23 07:21:25 PDT 2015 --  Aquele momento em que eu to vendo o anime do Naruto, e vejo isso. #OsNerdPira #NarutoShippuden https://instagram.com/p/6uqKprCkBy/ 
Sat Aug 22 11:40:42 PDT 2015 --  "Quando espero a chuva chegar, tu vens com teu vento. Quando espero tua voz estrondar, tu vens com o… https://instagram.com/p/6sjCwYCkDe/ 
Fri Aug 21 04:45:42 PDT 2015 --  Encontrei essas árvores no meio de uma comunidade em que eu estava realizando uma missão, são 2… https://instagram.com/p/6pOwVHCkE_/ 
Fri Aug 21 04:42:49 PDT 2015 --  Revendo os amigos, #IrmãosEmCristo https://instagram.com/p/6pObXpikEN/ 
Fri Aug 21 04:40:37 PDT 2015 --  Senhor, só para ti quero viver! Ilumina meu caminho para que eu possa trilha-lo em teu nome :) https://instagram.com/p/6pOLIPCkDn/ 
Fri Aug 14 14:58:35 PDT 2015 --  Aquele momento em que acaba a aula. https://instagram.com/p/6YTUAWCkMs/ 
Fri Aug 14 06:21:45 PDT 2015 --  Bom dia #Escola #AmigosEmCristo https://instagram.com/p/6XYLlACkJf/ 
Mon Apr 13 14:15:08 PDT 2015 --  Comentei sobre a série How to Get Away with Murder (1ª Temporada) no #Filmow http://filmow.com/comentarios/5482627/ …
Fri Dec 05 06:37:28 PST 2014 --  As vezes é amor, outras vezes é nervoso, mas no momento é só dor de barriga mesmo. :3 #Amigos… http://instagram.com/p/wOoh5bikOC/ 
Tue Dec 02 11:49:12 PST 2014 --  Hj #CatequeseParaAsCrianças #BoaTarde http://instagram.com/p/wHd0b9CkEp/ 
Sun Nov 23 11:28:09 PST 2014 --  Casamento ontem :3 #LindalvaEAdriano #Parabéns http://instagram.com/p/vwQQZRCkAC/ 
Sun Nov 23 11:25:03 PST 2014 --  #AssistindoDivergente *-* u.u http://instagram.com/p/vwP5sZikMk/ 
Tue Nov 18 05:07:05 PST 2014 --  #HorárioVago :3 #SóOsTop #SQN :P #BomDia http://instagram.com/p/visrEMikKZ/ 
Tue Nov 18 05:05:05 PST 2014 --  #HorárioVago :3 #SóOsTop #SQN :P #BomDia http://instagram.com/p/viscWHikJJ/ 
Tue Nov 18 04:49:11 PST 2014 --  Booomm diaaaaa. Haha #CaraDeSono http://instagram.com/p/viqn7uikAc/ 
Tue Nov 18 04:25:53 PST 2014 --  Incrível como um final de semana pode mudar como você vê toda a sua vida!!! #BomDia http://instagram.com/p/vin9P0ikEr/ 
Tue Nov 04 03:59:40 PST 2014 --  #BomDia #Escola #HorárioVago *-* http://instagram.com/p/u-h1B2ikIB/ 
Sat Nov 01 20:43:10 PDT 2014 --  Dia perfeito!! Nada melhor que reunir com os amigos por uma causa tão nobre . (Tbm valeu apena ganhar… http://instagram.com/p/u4fauyCkPj/ 
Sat Nov 01 20:30:26 PDT 2014 --  #HaHa #PartiuCírioDePirabas *-* #HomenagemDaEscola #ANossaSenhora :D http://instagram.com/p/u4d9hkCkNQ/ 
