Sat Aug 22 22:17:42 PDT 2015 --  Inked for my first time tomorrow morning with mi chulooo
Sat Aug 22 01:53:26 PDT 2015 --  Me af' back in the days #smh #copcallers #punkassbitches #middleschool #highschool https://instagram.com/p/6rf1l1OtG4/ 
Mon Aug 17 20:22:50 PDT 2015 --  pic.twitter.com/VzA1hGOspY
Mon Aug 17 08:48:55 PDT 2015 --  @FlakitaUhTrip lol I'm already knowing man that was crazy smh can't believe it actually happened
Mon Aug 17 08:01:53 PDT 2015 --  I needa get you da fuck outta my life for this reason, got me all negative when you around, bye pendeja
Mon Aug 17 08:00:30 PDT 2015 --  Telling our own mother how you wanna fight me, but didnt when you had the chance
Mon Aug 17 07:57:46 PDT 2015 --  Disrespect me in front of my son, then wanna run, haha no fuckz given if you're my blood, nope not anymore
Mon Aug 17 07:56:42 PDT 2015 --  All i know is when i see you next time it aint gonna be all talk this time, i got chu bitch
Thu Aug 13 23:47:00 PDT 2015 --  An #Aquarius is more sure of what they don�t want than what they do want.
Fri Aug 14 11:47:02 PDT 2015 --  #Aquarians will always hold off on something until they are entirely certain that the timing is right.
Fri Aug 14 15:29:20 PDT 2015 --  Fuck hempfest , i prefer drinking abuelita and being cuddled with the bf and mi baby
Fri Aug 14 15:27:55 PDT 2015 --  Hopefully soon i can feel like myself again.
Fri Aug 14 15:25:06 PDT 2015 --  He who doesn't understand your silence, will probably never understand your words.
Fri Aug 14 15:22:10 PDT 2015 --  Sucks that my c section keeps me in pain, and I wont be fully recovered until 1 fuckin year, my son still worth it though
Fri Aug 14 15:20:34 PDT 2015 --  Hopefully mi amor and I get our tats tomorrow
Wed Aug 12 14:09:50 PDT 2015 --  Gonna leave me sittin in the dark with my baby lol
Wed Aug 12 14:08:51 PDT 2015 --  Just hope the power dont go out
Wed Aug 12 14:08:36 PDT 2015 --  This rain and thunder though, yessss
Tue Aug 11 09:44:10 PDT 2015 --  Going from 129 lbs down to 111 lbs in just 3 weeks is relieving but I can't wait till my pain is gone so I can lose the belly some more
Tue Aug 11 09:42:03 PDT 2015 --  But on the upside I gotta sip on the corona I been craving all my pregnancy
Tue Aug 11 09:40:09 PDT 2015 --  It's too overwhelming for me, idk how y'all do it for a year
Tue Aug 11 09:39:34 PDT 2015 --  I salute breast feeding moms, I couldn't even last a month
Wed Jul 29 10:48:03 PDT 2015 --  at his first appointment in his monkey outfit that his tia @itsdianaess got him. #michangito <3 https://instagram.com/p/5up8QXutPr/ 
Thu Jul 16 07:16:35 PDT 2015 --  I’m a mess of a person but I’m loyal and I’ll love you with everything I have.☊
Wed Jul 01 10:45:59 PDT 2015 --  When an #Aquarius loves, they love strong. When they get upset, it's not random. Don't underestimate the reason behind their emotions.
Wed Jul 15 14:01:51 PDT 2015 --  After my appt. today my baby should be here soon, hopefully this weekend
Wed Jul 15 12:40:50 PDT 2015 --  #GrowingUpHispanic When u clean the House, do the dishes, & do everything yo mom asked but she still calls you lazy. pic.twitter.com/VsMxp4EOmP
Wed Jul 15 12:35:37 PDT 2015 --  La chismosa, La grandota, La piojosa y La enfadosa haha https://twitter.com/pettingthedog/status/621201692017569792 …
Wed Jul 15 07:38:14 PDT 2015 --  #GrowingUpMexican My mom and Tia's had this picture in the kitchen pic.twitter.com/VTGXBVJrKL
Tue Jul 14 14:41:30 PDT 2015 --  Been getting $$ this whole time n still have the audacity to ask for more fuck your pity party
Tue Jul 14 14:39:28 PDT 2015 --  Come to find out I ain't owing shit now I'll give you a reason to talk down on me money hungry hoe
Tue Jul 14 14:38:45 PDT 2015 --  Got me feeling like a burden like I owe you something
Tue Jul 14 14:38:19 PDT 2015 --  Family my ass, you ain't there you ain't care
