Wed Aug 19 07:20:40 PDT 2015 --  Just because I'm smiling, doesn't mean I don't want to hit you in the face.
Wed Aug 19 06:57:58 PDT 2015 --  you're girl is the only one that fr got you
Wed Aug 19 05:50:06 PDT 2015 --  Ready for the reservations? @Briansito88
Mon Aug 17 18:05:09 PDT 2015 --  Don't you ever think that your not good enough for that one person?
Mon Aug 17 17:55:30 PDT 2015 --  I stay fucking up.
Sun Aug 16 13:48:21 PDT 2015 --  School tomorrow man wtf
Sun Aug 16 09:15:53 PDT 2015 --  What a scrappy match
Sat Aug 15 11:24:30 PDT 2015 --  Finding Dory will be in theaters June 17, 2016 pic.twitter.com/oSksIpTlBw
Sat Aug 15 12:20:27 PDT 2015 --  11 years later. That theater will be filled with a lot of 18,19,20 year olds. pic.twitter.com/hoUDsXp9xV
Sat Aug 15 05:03:06 PDT 2015 --  stress is caused by giving a fuck
Sat Aug 15 06:17:08 PDT 2015 --  rt if ur an asshole
Sat Aug 15 07:00:24 PDT 2015 --  Human skin is made up of keratin, which is the same material the makes up the scales of snakes and armadillos.
Sat Aug 15 08:14:23 PDT 2015 --  Silly teens, babies are for adults.
Sat Aug 15 08:30:41 PDT 2015 --  The more wives a man has, the greater his risk of heart disease, according to a new study.
Sat Aug 15 08:31:45 PDT 2015 --  Taco overdose is a real thing, please be careful everyone and share to save a life
Sat Aug 15 08:31:50 PDT 2015 --  when I was little, I only had la loteria to play with but now mi hermano tiene iPad.
Thu Aug 13 20:20:22 PDT 2015 --  when will mythbusters do an episode on bush doing 9/11
Sat Aug 15 09:30:09 PDT 2015 --  A study found that President Obama has the most followers of any world leader on Twitter but Pope Francis' Twitter is more influential.
Sat Aug 15 10:03:06 PDT 2015 --  Dortmund are tearin shit up!
Tue Aug 11 16:24:10 PDT 2015 --  What if
Tue Aug 11 15:55:05 PDT 2015 --  Why women live longer than men pic.twitter.com/TBubZ4gytU
Tue Aug 11 16:16:23 PDT 2015 --  Time flies man better start taking advantage before it's to late
Tue Aug 11 16:13:25 PDT 2015 --  Sometimes pain runs deeper then blood, sometimes Karma comes back on the people you love, sometimes we have to let go and turn the other way
Sat Aug 01 08:05:06 PDT 2015 --  Parent: Why don't you come socialize with the family? Me: *sits with family* Me: *gets insulted by entire family* Me: *goes back to bedroom*
Mon Apr 13 02:50:44 PDT 2015 --  pic.twitter.com/BHASbj4ccI
Mon Apr 13 02:36:14 PDT 2015 --  pic.twitter.com/3L7tkr3rC3
