Mon Aug 24 19:21:46 PDT 2015 --  good morning! #ALDUBLOVEONTOP
Fri Aug 21 18:31:22 PDT 2015 --  amen. https://twitter.com/JoelOsteen/status/614265614564241408 …
Fri Aug 21 18:30:12 PDT 2015 --  palpitations.
Fri Aug 21 17:41:43 PDT 2015 --  Masama na naman ang pakiramdam ko.. Ano kaya ang mangyayari mamaya? Matutuloy kaya ang kasal o mahihimatay na naman ako? Abangan. Charing.
Thu Aug 20 23:48:12 PDT 2015 --  What's meant to be will ALWAYS find its way. Naniniwala pa din ako sa forever nating dalawa, Alden. #ALDUBKeepTheFaith
Fri Aug 21 00:07:39 PDT 2015 --  You're the best mistake I've ever made.
Thu Aug 20 23:29:49 PDT 2015 --  umiiyak ang buong mundo sa episode ng ngayon.. #ALDUBKeepTheFaith @mainedcm @aldenrichards02 @allanklownz @AngPoetNyo @EatBulaga @pochoy29
Thu Aug 20 23:01:03 PDT 2015 --  Napakahusay talagang artista ni Wally Bayola at @aldenrichards02 magaling magpatawa pero nakakaiyak din. #ALDUBKeepTheFaith
Thu Aug 20 23:10:39 PDT 2015 --  WHAT A ROLLER COASTER EPISODE! KUDOS TO @EatBulaga @mainedcm @allanklownz @aldenrichards02 @AngPoetNyo @pochoy29 #ALDUBKeepTheFaith
Thu Aug 20 23:06:41 PDT 2015 --  Yung tipong naiiyak kana kanina pero biglang nagpakita santol ni Lola. Laptrip! #AlDubKeepTheFaith @EBdabarkads
Wed Aug 19 23:02:46 PDT 2015 --  IM READY TO MINGLE #ALDUBisforREAL https://twitter.com/KapitanBatchi/status/634243382676557824 …
Wed Aug 19 23:16:16 PDT 2015 --  MAINE Forever!!! #ALDUBisforREAL
Wed Aug 19 06:23:54 PDT 2015 --  cause i miss you sooo.. #missinghim #yam #pogipause #frustratedartist #suboklang https://instagram.com/p/6kQZwSjvrA/ 
Wed Aug 19 00:16:06 PDT 2015 --  me and my redlips.. https://instagram.com/p/6jmUGsjvgr/ 
Mon Aug 17 18:12:46 PDT 2015 --  O V E R.. https://instagram.com/p/6gX8E3Dvri/ 
Sun Aug 16 22:10:47 PDT 2015 --  In a minute.. #AlDubTrueLoveWaits
Sun Aug 16 20:45:18 PDT 2015 --  @allanklownz @sam_yg @EatBulaga @mainedcm konting hinga nalang #AlDubYou na #AldubTrueLoveWaits
Sun Aug 16 21:30:45 PDT 2015 --  Eat bulaga na! #aldub #AldubTrueLoveWaits
Fri Aug 14 18:55:45 PDT 2015 --  Abangan mga Dabarkads 11:30am palang #KiligPaMore na. 🏻
