Fri Aug 21 10:00:35 PDT 2015 --  #trustthetuskegeetrajectory #trustthetuskegeetradition pic.twitter.com/6lFuGWpKtV
Tue Aug 11 13:58:18 PDT 2015 --  Interested in the Phenix City-Russell County Library? Come in tomorrow and tell us what you think! pic.twitter.com/r3RkYWCqOn
Sat Aug 15 14:45:46 PDT 2015 --  The Fourth Street family wishes First Lady Emeritus, Sis. Robena Gaines-Flakes a very blessed and happy birthday... http://fb.me/3mNpbKtZX 
Fri Aug 21 14:49:06 PDT 2015 --  Happy belated birthday Mrs. Flakes https://twitter.com/4thStBaptist/status/632669537977139201 …
Mon Aug 17 17:51:42 PDT 2015 --  Join the Singles Ministry on Sat., Aug 29 at 1pm for a "Movies in the Afternoon" event to see the Christian film:... http://fb.me/1PCvzsoQp 
Tue Aug 18 12:43:48 PDT 2015 --  Singles Ministry: Movie in the Afternoon event on August 29 at 1pm: WAR ROOM http://fb.me/4DA9RFL3W 
Wed Aug 19 15:45:20 PDT 2015 --  DAILY DEVOTION - Psalm 3:1 "Lord, how they have increased who trouble me." A friend of mine, handed another... http://fb.me/4sn2R2tQt 
Wed Aug 12 12:42:36 PDT 2015 --  @redclaybrew @90Gaysin @334805daffy Thanks for following!
Thu Aug 13 19:22:08 PDT 2015 --  Images of China’s Tianjin port city before and after the deadly explosions http://wapo.st/1Tzyl1L 
Thu Aug 13 19:17:11 PDT 2015 --  Go @ChuckLongIowa! Go Hawks! https://twitter.com/BTNLive/status/631963358518865920 …
Thu Aug 13 19:21:29 PDT 2015 --  Get after this Hawk fans! Support one of our own! GH! IOWA #MissAmericaVote https://twitter.com/MissIowaOrg/status/632013342245265408 …
Thu Aug 13 19:16:03 PDT 2015 --  Joe Biden wades further into 2016 presidential bid http://nyti.ms/1Poc0Ul  pic.twitter.com/PZ6DpmPZTs
Wed Aug 12 10:29:42 PDT 2015 --  COMING SOON: Our 115th Church Anniversary Celebration on Sept 27. Here's a look back at the 60s-70s in a video... http://fb.me/6Vl89Ri8T 
Thu Aug 06 09:50:28 PDT 2015 --  Coming to the @IowaStateFair -- new UI booth designed by @ui3ddesign students! pic.twitter.com/Bv8d6U5qI7
Fri Aug 07 02:17:37 PDT 2015 --  A group of @uiowa students set to impress at the state fair. @FBSaunders tells us what they plan to do on your KCRG First News this morning.
Tue Nov 13 07:57:55 PST 2012 --  the funeral for the late Rev. Dr. J.H. Flakes, Jr. is Friday, November 16, 2012 at 11 AM at Fourth Street Missionary Baptist Church.
Fri Nov 16 11:20:41 PST 2012 --  "Outstanding Sentences in Life's Chapters" - Rev. Dr. Julius Scruggs' eulogy for Dr. J. H. Flakes, Jr. #FlakesMemorial @4thStBaptist
Sun Oct 16 13:00:56 PDT 2011 --  Enjoy viewing photos from last night's 50th Pastor's Anniversary Gala honoring Dr. J. H. Flakes, Jr. A special... http://fb.me/Y6MX6HLG 
Sun Nov 27 18:16:08 PST 2011 --  Fourth Street Missionary Baptist Church would like to thank ALL who made Dr. J. H. Flakes, Jr. 50th Anniversary... http://fb.me/1ijRBVqsn 
