Fri Aug 28 11:55:14 PDT 2015 --  Open the doors & enter #RamCountry. pic.twitter.com/rbWRzWAceW
Thu Jul 16 06:42:59 PDT 2015 --  Cold Showers (Vine by @xLouisGiordanox) https://vine.co/v/em0UtH7HV0M 
Wed Jul 15 14:48:39 PDT 2015 --  When the beat is TOO nasty to stay asleep https://vine.co/v/ere1KPW6BIu 
Sun Jul 12 12:36:23 PDT 2015 --  when el chapo escapes maximum security jail twice and you still can't get out the friendzone pic.twitter.com/j6DiA11HXz
Mon Jul 06 09:17:12 PDT 2015 --  Humans could fly on the surface of "Titan" if wings are attached to their arms..... pic.twitter.com/j6CPGhHic1
Tue Jul 07 14:07:11 PDT 2015 --  Pablo Escobar, a Colombian drug lord was so rich that he would spend around $2500 a month just to buy rubber bands to hold his wads of cash.
Sat May 02 08:55:31 PDT 2015 --  RT for Challenger Fav for Camaro pic.twitter.com/n8TFHdERkG
Sun May 10 08:55:17 PDT 2015 --  Every day this week will be the same backwards: 5/10/15 5/11/15 5/12/15 5/13/15 5/14/15 5/15/15 5/16/15 5/17/15
Thu Apr 02 13:41:19 PDT 2015 --  Grab her waist... Pull her close... Pick her up... Batista bomb her... Pin her... You are now the WWE champion.
Sun Apr 05 21:20:02 PDT 2015 --  This candy is the shit pic.twitter.com/eloUko93Uu
Tue Apr 07 21:20:14 PDT 2015 --  "Tattoos will look terrible on you when your older" pic.twitter.com/W6v7wKmXhU
Wed Apr 01 20:06:18 PDT 2015 --  a short poem: do teachers understand that you take other classes
Mon Mar 23 20:07:50 PDT 2015 --  this > pic.twitter.com/brgpY0hTvi
Sat Mar 21 09:15:00 PDT 2015 --  True shit pic.twitter.com/EaU3pTg341
Fri Mar 20 17:35:08 PDT 2015 --  Truth pic.twitter.com/ScajWK6r4f
Thu Mar 19 04:32:06 PDT 2015 --  Me: time to start this homework *four hours later* Me: time to start this homework
Fri Mar 20 08:32:06 PDT 2015 --  Things I haven't learned in high school: how to: pay bills buy a house apply for college but thank god I can graph a polynomial function
Fri Mar 20 13:32:04 PDT 2015 --  To all 8th graders: if you think you're group will stay together through high school you are wrong
