Fri Aug 28 12:07:18 PDT 2015 --  — ¿Y tu cómo te ves a futuro? — Pues... pic.twitter.com/2nQnhdDGgJ
Fri Aug 28 12:02:58 PDT 2015 --  — Una CocaCola, por favor. — Hay Pepsi, lleve esa, es casi lo mismo. — pic.twitter.com/yd0wVoU8sO
Thu Aug 27 14:29:05 PDT 2015 --  Necesito un tutorial en Youtube que me enseñe a como salir de la friendzone.
Thu Aug 27 14:29:58 PDT 2015 --  No entiendo a la gente que diciéndote que te extraña, no sale a buscarte.
Thu Aug 27 09:20:43 PDT 2015 --  Stalkear es perjudicial para el estado del ánimo.
Tue Aug 25 23:44:27 PDT 2015 --  Usted me puede importar mucho, pero rogarle tampoco.
Tue Aug 25 13:33:38 PDT 2015 --  —¿Cuál es tu celular? —Un iPhone. —No, dime el número. —Seis.
Tue Aug 25 13:34:35 PDT 2015 --  —Ay mi amor eres la mujer más celosa del mundo —No —Entonces eres la quinta más celosa del mundo —¿QUINTA IMBECIL? ¿QUIÉN ES LA PRIMERA?
Mon Aug 24 18:45:25 PDT 2015 --  Dicen que cuando alguien te quiere de verdad, busca la forma de verte, se da modos, inventa coincidencias absurdas pic.twitter.com/V3h0ObLpZu
Mon Aug 24 18:59:54 PDT 2015 --  Yo no se para que tengo celular si nadie me habla, nadie me llama, Nadie me deja ni un mensaje de texto, nadie nada.
Thu Aug 20 18:20:51 PDT 2015 --  Miraa jjajajajaja @tatianariatiga https://twitter.com/TheHijueputa/status/634527390476181505 …
Mon Aug 17 09:00:17 PDT 2015 --  Le juro que cuando usted me escribe algo bonito, yo lo leo como diez veces.
Mon Aug 17 19:33:27 PDT 2015 --  Niñas que les da asco cuando las lame un perro, pero no les da asco besarse con cuanto man encuentren en una discoteca. ¡OTZEA REATZIONEN!
Mon Aug 17 20:21:14 PDT 2015 --  — MIJOOOOOOO, BAJE A COMEEEEEER. — Sí mami, ya voy. — QUÉÉÉÉ BAJEEEEE. — Sí mira mamá, ya deja de ser intensa o esto no puede funcionar así.
Mon Aug 17 20:23:16 PDT 2015 --  -Hijo que haces fumando marihuana! -Mamá, no puedes ser mas discreta! -Bueno, uy ñero porque lo está pegando solo!!
Mon Aug 17 20:17:19 PDT 2015 --  Hay niñas que son realmente intensas, pero jamás se compararán con la intensidad de las mamás cuando dicen "BAJE A COMER" como 22 mil veces.
Mon Aug 17 20:18:02 PDT 2015 --  pic.twitter.com/8NtVlnh6XZ
Mon Aug 17 20:19:28 PDT 2015 --  pic.twitter.com/Nu1dYQXB0M
Mon Aug 17 08:33:09 PDT 2015 --  Yo también conozco personas que encuentran el ''amor de su vida'' cada 2 meses.
Sun Aug 16 22:05:10 PDT 2015 --  @_ELBRAYAN_ Ella puede con la QK JAJAJAJAJA pic.twitter.com/XCviuE816X
Sun Aug 16 21:00:18 PDT 2015 --  Uno es como: "OIGAN, ¿QUÉ LES PASA? YO LOS PRESENTÉ, SALGAMOS LOS TRES, PORFIS :("
Sun Aug 16 21:04:41 PDT 2015 --  Tu eres muy madura y yo todavía le hago muecas a los bebés hasta que lloran. Claramente no somos el uno para el otro.
Sun Aug 16 21:56:25 PDT 2015 --  Esas relaciones que hablan de todo, hasta de la más mínima bobada y no se aburren. Esas son las que valen la pena.
Sun Aug 16 21:57:44 PDT 2015 --  Uno sabe que ya no triunfó en la vida, cuando es la hora que todavía no sabe destapar una cerveza con una cuchara.
Sun Aug 16 20:30:04 PDT 2015 --  Usted es mas falso que el "sí, entendí" en una clase de matemáticas.
Sun Aug 16 20:43:51 PDT 2015 --  Stalkear a una persona y terminar stalkeando a otras 10 para poder tener la información completa.
Sun Aug 16 20:56:44 PDT 2015 --  — Sa sa sa — Yacuza Yacuza — Sa sa sa — Yacuza Yacuza — Sa-Sa-Salomé no me coja de parche que yo soy su Papá pic.twitter.com/REQL7LCpEj
Sun Aug 16 20:56:08 PDT 2015 --  Yo en la vida soy como ese pelado que presenta a dos amigos, luego empiezan a salir sin él y tiene que retirarse sin amigos y sin dignidad.
Sun Aug 16 18:37:10 PDT 2015 --  Si estoy cortante ponte a pensar en que te equivocaste
Sun Aug 16 21:06:37 PDT 2015 --  ¿No les pasa que mandan un mensaje y se quedan ahí esperando mientras se va el tiempo junto son su dignidad?
Sun Aug 16 16:30:04 PDT 2015 --  Yo también sé olvidar y fingir que nada me importa, no se preocupe.
Sun Aug 16 15:00:06 PDT 2015 --  Con o sin usted, también puedo ser feliz, el dato.
Sun Aug 16 16:01:53 PDT 2015 --  Hoy es de esos días que uno no está ni triste, ni feliz, respirando y ya.
Sun Aug 16 16:12:57 PDT 2015 --  Que :) lindo :) es :) que:) se :) demore :) horas:) en :) responder :) que :) alegria :) tan :) HIJUEPUTA :)
Sun Aug 16 16:14:19 PDT 2015 --  Yo veo su ''en línea'' cuando no está hablando conmigo y me da una rabia ni la más hijueputa.
Sun Aug 16 11:57:35 PDT 2015 --  ¿No les pasa que ustedes responden al segundo y a ustedes cada 45 años?
Sun Aug 16 11:17:51 PDT 2015 --  Si usted es de esos que pasa los fines de semana acostado sin nada qué hacer, usted es yo.
Sun Aug 16 13:42:27 PDT 2015 --  Seria muy chimba que mis fines de semana fueran a su lado.
Sat Aug 15 22:05:53 PDT 2015 --  O ese momento en el que recogen plata para tomar y tienes que irte alejando lentamente, junto con tu pobreza y dignidad.
Sat Aug 15 21:27:34 PDT 2015 --  Un día le van a fallar y se va a dar cuenta de lo chimba que yo fui con usted. Y ese día yo no voy a estar.
Sat Aug 15 18:55:02 PDT 2015 --  — Princesa, ¿Te llamas Kelly? — No, me llamo laura, ¿Por qué? — Porque Kellynda eres:3 — Agh, madure malparido hijueputa.
