Sat Mar 21 11:13:08 PDT 2015 --  En mi currículum debería poner "abre mazapanes sin romperlos".
Thu Aug 27 23:14:07 PDT 2015 --  Gracias @vetustamorla @ Plaza Condesa (OCESA) https://instagram.com/p/66qX6jGzH1/ 
Tue Aug 25 13:07:41 PDT 2015 --  Jesús "Chucho" Navarro. https://instagram.com/p/60bYkEmzK9/ 
Sat Aug 22 11:54:19 PDT 2015 --  Durango sin filtros. @ La Fundidora La Ferreria https://instagram.com/p/6skmkgmzMf/ 
Sat Aug 22 10:12:27 PDT 2015 --  Lo retrógradas que se ven los coahuilenses al rogar para ver como matan animales...
Fri Aug 21 16:25:10 PDT 2015 --  Working on a short song for iamlealou #CadenaRecords https://instagram.com/p/6qezYFGzOx/ 
Fri Aug 21 14:28:38 PDT 2015 --  "Ya no voy a cantar Taylor Swift contigo" - la peor amenaza que @feralanis92 me pudo haber hecho
Fri Aug 21 13:38:31 PDT 2015 --  Gracias por tanto, Daniel Rabinovich.
Fri Aug 21 13:16:58 PDT 2015 --  Uno más. https://instagram.com/p/6qJRC8mzEf/ 
Thu Aug 20 15:13:55 PDT 2015 --  ¿Qué onda con el cutter en la juguetería de @palaciohierro Santa Fe? pic.twitter.com/XZjSi4O2fY
Thu Aug 20 14:43:50 PDT 2015 --  Idea multimillonaria: un Centro de atención a clientes de @Telcel donde atiendan.
Wed Aug 19 09:34:21 PDT 2015 --  Me cambié a @Telcel hace dos semanas y ya dice que no tengo servicio... Empezando bien.
Wed Aug 19 00:08:45 PDT 2015 --  Ayotzinapa, el Chapo, la casa blanca, entre otras cosas menos importantes que aclarar que los calcetines del presidente don @EPN
Tue Aug 18 22:55:01 PDT 2015 --  Con la aclaración de @EPN sobre los calcetines, lo único que me quedó claro es por qué estamos jodidos. Dale importancia a otras cosas…
Mon Aug 17 22:42:22 PDT 2015 --  Me gustó un video de @YouTube de @daniyel97 http://youtu.be/NFHq952e9rU?a  Slipknot - "Custer" Music Video (Fanmade)
Sat Aug 15 14:17:20 PDT 2015 --  Quería encerrar a mi gato y me encerré yo. Premio al pendejo del año.
Fri Aug 14 16:16:15 PDT 2015 --  A todos los del Barça que se ríen cuando les digo que le voy al @AthleticClub http://youtu.be/ckhssjvFRlE  (Segundo 12)
Thu Aug 13 20:02:16 PDT 2015 --  No te deseo mal, pero ojalá respires Salsa Tabasco.
Thu Aug 13 08:46:31 PDT 2015 --  No hay mayor mentira que "Escribe tu nombre y cuando seas grande cambias tu firma."
